"Step","GNN_cnv_soft_1 - assay_ap","GNN_cnv_soft_1 - assay_ap__MIN","GNN_cnv_soft_1 - assay_ap__MAX","GNN_cnv_soft_999 - assay_ap","GNN_cnv_soft_999 - assay_ap__MIN","GNN_cnv_soft_999 - assay_ap__MAX","GNN_cnv_soft_42 - assay_ap","GNN_cnv_soft_42 - assay_ap__MIN","GNN_cnv_soft_42 - assay_ap__MAX","GNN_expression_1 - assay_ap","GNN_expression_1 - assay_ap__MIN","GNN_expression_1 - assay_ap__MAX","GNN_expression_999 - assay_ap","GNN_expression_999 - assay_ap__MIN","GNN_expression_999 - assay_ap__MAX","GNN_expression_42 - assay_ap","GNN_expression_42 - assay_ap__MIN","GNN_expression_42 - assay_ap__MAX","GNN_cnv_1 - assay_ap","GNN_cnv_1 - assay_ap__MIN","GNN_cnv_1 - assay_ap__MAX","GNN_cnv_999 - assay_ap","GNN_cnv_999 - assay_ap__MIN","GNN_cnv_999 - assay_ap__MAX","GNN_cnv_42 - assay_ap","GNN_cnv_42 - assay_ap__MIN","GNN_cnv_42 - assay_ap__MAX"
"0","0.4029884341485911","0.4029884341485911","0.4029884341485911","0.4153627687938064","0.4153627687938064","0.4153627687938064","0.41286926595390094","0.41286926595390094","0.41286926595390094","0.4046052325304247","0.4046052325304247","0.4046052325304247","0.40183831380953183","0.40183831380953183","0.40183831380953183","0.4071468357615634","0.4071468357615634","0.4071468357615634","0.39399591728139244","0.39399591728139244","0.39399591728139244","0.41633610564654067","0.41633610564654067","0.41633610564654067","0.413210102811438","0.413210102811438","0.413210102811438"
"1","0.388500286832844","0.388500286832844","0.388500286832844","0.407875281793556","0.407875281793556","0.407875281793556","0.4134481220796869","0.4134481220796869","0.4134481220796869","0.39462703339321026","0.39462703339321026","0.39462703339321026","0.40853350968076974","0.40853350968076974","0.40853350968076974","0.41403876828103453","0.41403876828103453","0.41403876828103453","0.38244032673115275","0.38244032673115275","0.38244032673115275","0.4033309686352021","0.4033309686352021","0.4033309686352021","0.4063685097555349","0.4063685097555349","0.4063685097555349"
"2","0.40061348312918293","0.40061348312918293","0.40061348312918293","0.39623187910795654","0.39623187910795654","0.39623187910795654","0.39942257631735967","0.39942257631735967","0.39942257631735967","0.40895181390290175","0.40895181390290175","0.40895181390290175","0.4000901375276948","0.4000901375276948","0.4000901375276948","0.4099338451385708","0.4099338451385708","0.4099338451385708","0.40485320436652483","0.40485320436652483","0.40485320436652483","0.40560896055618206","0.40560896055618206","0.40560896055618206","0.42094790099061136","0.42094790099061136","0.42094790099061136"
"3","0.38992217488571507","0.38992217488571507","0.38992217488571507","0.41355083698697614","0.41355083698697614","0.41355083698697614","0.4077463721474951","0.4077463721474951","0.4077463721474951","0.42650743261892365","0.42650743261892365","0.42650743261892365","0.4108745326999068","0.4108745326999068","0.4108745326999068","0.4082806907412083","0.4082806907412083","0.4082806907412083","0.3957555233607247","0.3957555233607247","0.3957555233607247","0.39920739281691964","0.39920739281691964","0.39920739281691964","0.427213715017062","0.427213715017062","0.427213715017062"
"4","0.4139372915659416","0.4139372915659416","0.4139372915659416","0.40816842830608896","0.40816842830608896","0.40816842830608896","0.40436711578660256","0.40436711578660256","0.40436711578660256","0.41922653270756866","0.41922653270756866","0.41922653270756866","0.4075434382457148","0.4075434382457148","0.4075434382457148","0.4203721832058128","0.4203721832058128","0.4203721832058128","0.40806819872890315","0.40806819872890315","0.40806819872890315","0.39093268386175406","0.39093268386175406","0.39093268386175406","0.3961741708945957","0.3961741708945957","0.3961741708945957"
"5","0.4164923599695019","0.4164923599695019","0.4164923599695019","0.438105731246766","0.438105731246766","0.438105731246766","0.4070869551001207","0.4070869551001207","0.4070869551001207","0.4211711462453659","0.4211711462453659","0.4211711462453659","0.40632686949020286","0.40632686949020286","0.40632686949020286","0.44271449968793614","0.44271449968793614","0.44271449968793614","0.39323578323958713","0.39323578323958713","0.39323578323958713","0.3997146621024468","0.3997146621024468","0.3997146621024468","0.38749336237152626","0.38749336237152626","0.38749336237152626"
"6","0.42800930035115964","0.42800930035115964","0.42800930035115964","0.4252098408976272","0.4252098408976272","0.4252098408976272","0.4106477002624826","0.4106477002624826","0.4106477002624826","0.4109802066853268","0.4109802066853268","0.4109802066853268","0.43742322336685135","0.43742322336685135","0.43742322336685135","0.4177419835281791","0.4177419835281791","0.4177419835281791","0.39391362043281797","0.39391362043281797","0.39391362043281797","0.39624259688112656","0.39624259688112656","0.39624259688112656","0.4480900324294652","0.4480900324294652","0.4480900324294652"
"7","0.39169979873752386","0.39169979873752386","0.39169979873752386","0.4123440106955383","0.4123440106955383","0.4123440106955383","0.4183588703610021","0.4183588703610021","0.4183588703610021","0.4400233751813903","0.4400233751813903","0.4400233751813903","0.4119204464780995","0.4119204464780995","0.4119204464780995","0.4179973233087448","0.4179973233087448","0.4179973233087448","0.4064127859084595","0.4064127859084595","0.4064127859084595","0.38584353539807587","0.38584353539807587","0.38584353539807587","0.4136314805631578","0.4136314805631578","0.4136314805631578"
"8","0.4342303731887808","0.4342303731887808","0.4342303731887808","0.4105637934896632","0.4105637934896632","0.4105637934896632","0.41292480717203056","0.41292480717203056","0.41292480717203056","0.4224516555033603","0.4224516555033603","0.4224516555033603","0.4235615764601225","0.4235615764601225","0.4235615764601225","0.42580073421866016","0.42580073421866016","0.42580073421866016","0.4070407656942928","0.4070407656942928","0.4070407656942928","0.37510648665694846","0.37510648665694846","0.37510648665694846","0.41739705839581603","0.41739705839581603","0.41739705839581603"
"9","0.42992540509241595","0.42992540509241595","0.42992540509241595","0.42664835380003835","0.42664835380003835","0.42664835380003835","0.4166318575539184","0.4166318575539184","0.4166318575539184","0.4293016108021135","0.4293016108021135","0.4293016108021135","0.41069167149727237","0.41069167149727237","0.41069167149727237","0.43940390955105463","0.43940390955105463","0.43940390955105463","0.3880090871135687","0.3880090871135687","0.3880090871135687","0.4246873824885923","0.4246873824885923","0.4246873824885923","0.43738287288341077","0.43738287288341077","0.43738287288341077"
