"Step","GNN_cnv_soft_1 - gene_ap","GNN_cnv_soft_1 - gene_ap__MIN","GNN_cnv_soft_1 - gene_ap__MAX","GNN_cnv_soft_999 - gene_ap","GNN_cnv_soft_999 - gene_ap__MIN","GNN_cnv_soft_999 - gene_ap__MAX","GNN_cnv_soft_42 - gene_ap","GNN_cnv_soft_42 - gene_ap__MIN","GNN_cnv_soft_42 - gene_ap__MAX","GNN_expression_1 - gene_ap","GNN_expression_1 - gene_ap__MIN","GNN_expression_1 - gene_ap__MAX","GNN_expression_999 - gene_ap","GNN_expression_999 - gene_ap__MIN","GNN_expression_999 - gene_ap__MAX","GNN_expression_42 - gene_ap","GNN_expression_42 - gene_ap__MIN","GNN_expression_42 - gene_ap__MAX","GNN_cnv_1 - gene_ap","GNN_cnv_1 - gene_ap__MIN","GNN_cnv_1 - gene_ap__MAX","GNN_cnv_999 - gene_ap","GNN_cnv_999 - gene_ap__MIN","GNN_cnv_999 - gene_ap__MAX","GNN_cnv_42 - gene_ap","GNN_cnv_42 - gene_ap__MIN","GNN_cnv_42 - gene_ap__MAX"
"0","0.40176142368700524","0.40176142368700524","0.40176142368700524","0.4028790909499047","0.4028790909499047","0.4028790909499047","0.4012234929840351","0.4012234929840351","0.4012234929840351","0.4012775950689035","0.4012775950689035","0.4012775950689035","0.3958300219924919","0.3958300219924919","0.3958300219924919","0.40086579890715174","0.40086579890715174","0.40086579890715174","0.40251642136341165","0.40251642136341165","0.40251642136341165","0.3980138329696448","0.3980138329696448","0.3980138329696448","0.39958621960634444","0.39958621960634444","0.39958621960634444"
"1","0.4248877231338125","0.4248877231338125","0.4248877231338125","0.4395963492217581","0.4395963492217581","0.4395963492217581","0.4349819869361841","0.4349819869361841","0.4349819869361841","0.43325780004393094","0.43325780004393094","0.43325780004393094","0.4025819166481802","0.4025819166481802","0.4025819166481802","0.41473118761888234","0.41473118761888234","0.41473118761888234","0.41907713480875","0.41907713480875","0.41907713480875","0.4067929165347297","0.4067929165347297","0.4067929165347297","0.4328019329926608","0.4328019329926608","0.4328019329926608"
"2","0.4402500320963063","0.4402500320963063","0.4402500320963063","0.4418931727450383","0.4418931727450383","0.4418931727450383","0.4504055429430633","0.4504055429430633","0.4504055429430633","0.43976452402736116","0.43976452402736116","0.43976452402736116","0.42089901790508205","0.42089901790508205","0.42089901790508205","0.42988282550441376","0.42988282550441376","0.42988282550441376","0.44100132704451495","0.44100132704451495","0.44100132704451495","0.43886524655860776","0.43886524655860776","0.43886524655860776","0.44588818026876026","0.44588818026876026","0.44588818026876026"
"3","0.4486590200866417","0.4486590200866417","0.4486590200866417","0.4464893714054119","0.4464893714054119","0.4464893714054119","0.44219709671259444","0.44219709671259444","0.44219709671259444","0.4443894739847688","0.4443894739847688","0.4443894739847688","0.442331908647957","0.442331908647957","0.442331908647957","0.44816655286983914","0.44816655286983914","0.44816655286983914","0.44644882866567076","0.44644882866567076","0.44644882866567076","0.45427371974328473","0.45427371974328473","0.45427371974328473","0.44084217970285433","0.44084217970285433","0.44084217970285433"
"4","0.4440881019065437","0.4440881019065437","0.4440881019065437","0.449377564945043","0.449377564945043","0.449377564945043","0.44267325485627834","0.44267325485627834","0.44267325485627834","0.442632689962933","0.442632689962933","0.442632689962933","0.44029636903077085","0.44029636903077085","0.44029636903077085","0.4358746475045365","0.4358746475045365","0.4358746475045365","0.43560709992866004","0.43560709992866004","0.43560709992866004","0.4419749105219017","0.4419749105219017","0.4419749105219017","0.4516368983049297","0.4516368983049297","0.4516368983049297"
"5","0.4452989864437291","0.4452989864437291","0.4452989864437291","0.44984378097521294","0.44984378097521294","0.44984378097521294","0.4381953151343478","0.4381953151343478","0.4381953151343478","0.44441963293186565","0.44441963293186565","0.44441963293186565","0.4429868895108921","0.4429868895108921","0.4429868895108921","0.4493452098541201","0.4493452098541201","0.4493452098541201","0.44344728267631434","0.44344728267631434","0.44344728267631434","0.44866037911889955","0.44866037911889955","0.44866037911889955","0.4643222528289165","0.4643222528289165","0.4643222528289165"
"6","0.4482791038479419","0.4482791038479419","0.4482791038479419","0.4381215626699078","0.4381215626699078","0.4381215626699078","0.4419907896840774","0.4419907896840774","0.4419907896840774","0.4404996410033331","0.4404996410033331","0.4404996410033331","0.4442473473659055","0.4442473473659055","0.4442473473659055","0.4331351506926625","0.4331351506926625","0.4331351506926625","0.4705456051683121","0.4705456051683121","0.4705456051683121","0.4538060245416329","0.4538060245416329","0.4538060245416329","0.4546758883928161","0.4546758883928161","0.4546758883928161"
"7","0.4553730407180714","0.4553730407180714","0.4553730407180714","0.44439379083897806","0.44439379083897806","0.44439379083897806","0.4471732777105603","0.4471732777105603","0.4471732777105603","0.4469370699006354","0.4469370699006354","0.4469370699006354","0.4450379686978918","0.4450379686978918","0.4450379686978918","0.43209124665614435","0.43209124665614435","0.43209124665614435","0.44643762632035633","0.44643762632035633","0.44643762632035633","0.46355043449090766","0.46355043449090766","0.46355043449090766","0.4489865754258438","0.4489865754258438","0.4489865754258438"
"8","0.4524481111722572","0.4524481111722572","0.4524481111722572","0.4421522657262309","0.4421522657262309","0.4421522657262309","0.4460453256702153","0.4460453256702153","0.4460453256702153","0.4436868598875932","0.4436868598875932","0.4436868598875932","0.45402638366230924","0.45402638366230924","0.45402638366230924","0.4424247355034607","0.4424247355034607","0.4424247355034607","0.4640017151432702","0.4640017151432702","0.4640017151432702","0.4540684771604061","0.4540684771604061","0.4540684771604061","0.45370445692133937","0.45370445692133937","0.45370445692133937"
"9","0.45211653911014754","0.45211653911014754","0.45211653911014754","0.4375201769709973","0.4375201769709973","0.4375201769709973","0.44636886654159263","0.44636886654159263","0.44636886654159263","0.4392881201307624","0.4392881201307624","0.4392881201307624","0.4512594960934481","0.4512594960934481","0.4512594960934481","0.4369000381869115","0.4369000381869115","0.4369000381869115","0.4651486447667665","0.4651486447667665","0.4651486447667665","0.44938520827246714","0.44938520827246714","0.44938520827246714","0.446243757565107","0.446243757565107","0.446243757565107"
