"Step","GNN_expression_cnv_1 - assay_ap","GNN_expression_cnv_1 - assay_ap__MIN","GNN_expression_cnv_1 - assay_ap__MAX","GNN_expression_cnv_999 - assay_ap","GNN_expression_cnv_999 - assay_ap__MIN","GNN_expression_cnv_999 - assay_ap__MAX","GNN_expression_cnv_42 - assay_ap","GNN_expression_cnv_42 - assay_ap__MIN","GNN_expression_cnv_42 - assay_ap__MAX","GNN_cnv_expression_1 - assay_ap","GNN_cnv_expression_1 - assay_ap__MIN","GNN_cnv_expression_1 - assay_ap__MAX","GNN_cnv_expression_999 - assay_ap","GNN_cnv_expression_999 - assay_ap__MIN","GNN_cnv_expression_999 - assay_ap__MAX","GNN_cnv_expression_42 - assay_ap","GNN_cnv_expression_42 - assay_ap__MIN","GNN_cnv_expression_42 - assay_ap__MAX","GNN_cnv_soft_1 - assay_ap","GNN_cnv_soft_1 - assay_ap__MIN","GNN_cnv_soft_1 - assay_ap__MAX","GNN_cnv_soft_999 - assay_ap","GNN_cnv_soft_999 - assay_ap__MIN","GNN_cnv_soft_999 - assay_ap__MAX","GNN_cnv_soft_42 - assay_ap","GNN_cnv_soft_42 - assay_ap__MIN","GNN_cnv_soft_42 - assay_ap__MAX","GNN_expression_1 - assay_ap","GNN_expression_1 - assay_ap__MIN","GNN_expression_1 - assay_ap__MAX","GNN_expression_999 - assay_ap","GNN_expression_999 - assay_ap__MIN","GNN_expression_999 - assay_ap__MAX","GNN_expression_42 - assay_ap","GNN_expression_42 - assay_ap__MIN","GNN_expression_42 - assay_ap__MAX","GNN_cnv_1 - assay_ap","GNN_cnv_1 - assay_ap__MIN","GNN_cnv_1 - assay_ap__MAX","GNN_cnv_999 - assay_ap","GNN_cnv_999 - assay_ap__MIN","GNN_cnv_999 - assay_ap__MAX","GNN_cnv_42 - assay_ap","GNN_cnv_42 - assay_ap__MIN","GNN_cnv_42 - assay_ap__MAX"
"10","0.47952839792991836","0.47952839792991836","0.47952839792991836","0.48776092411253047","0.48776092411253047","0.48776092411253047","0.47703720861545007","0.47703720861545007","0.47703720861545007","0.4720309802501511","0.4720309802501511","0.4720309802501511","0.4849379239137853","0.4849379239137853","0.4849379239137853","0.4620483181121484","0.4620483181121484","0.4620483181121484","0.5057575211786077","0.5057575211786077","0.5057575211786077","0.5011091028504193","0.5011091028504193","0.5011091028504193","0.49490961268341294","0.49490961268341294","0.49490961268341294","0.4701566553395859","0.4701566553395859","0.4701566553395859","0.4925769043451993","0.4925769043451993","0.4925769043451993","0.4778362959869005","0.4778362959869005","0.4778362959869005","0.4700328736422254","0.4700328736422254","0.4700328736422254","0.4614969472406911","0.4614969472406911","0.4614969472406911","0.4756130826047903","0.4756130826047903","0.4756130826047903"
"11","0.506644512914972","0.506644512914972","0.506644512914972","0.49735425722559695","0.49735425722559695","0.49735425722559695","0.49161438522122564","0.49161438522122564","0.49161438522122564","0.49282641978578173","0.49282641978578173","0.49282641978578173","0.5006314076206415","0.5006314076206415","0.5006314076206415","0.4843431342240869","0.4843431342240869","0.4843431342240869","0.5148072253965029","0.5148072253965029","0.5148072253965029","0.5097007285580946","0.5097007285580946","0.5097007285580946","0.5146220195080591","0.5146220195080591","0.5146220195080591","0.4912404066631953","0.4912404066631953","0.4912404066631953","0.4869079084745654","0.4869079084745654","0.4869079084745654","0.47858722884845567","0.47858722884845567","0.47858722884845567","0.4748606852366533","0.4748606852366533","0.4748606852366533","0.4668516659197169","0.4668516659197169","0.4668516659197169","0.48674801536433077","0.48674801536433077","0.48674801536433077"
"12","0.521924359257002","0.521924359257002","0.521924359257002","0.500449939978451","0.500449939978451","0.500449939978451","0.4976571743449929","0.4976571743449929","0.4976571743449929","0.4984357894081602","0.4984357894081602","0.4984357894081602","0.500034372577684","0.500034372577684","0.500034372577684","0.48223632409551803","0.48223632409551803","0.48223632409551803","0.4990718005018134","0.4990718005018134","0.4990718005018134","0.5222890671110615","0.5222890671110615","0.5222890671110615","0.5347271141431492","0.5347271141431492","0.5347271141431492","0.4948929204672036","0.4948929204672036","0.4948929204672036","0.49451475884309753","0.49451475884309753","0.49451475884309753","0.5123804509188495","0.5123804509188495","0.5123804509188495","0.4818873113796195","0.4818873113796195","0.4818873113796195","0.4700574948039897","0.4700574948039897","0.4700574948039897","0.4813497693429051","0.4813497693429051","0.4813497693429051"
"13","0.5125736255417767","0.5125736255417767","0.5125736255417767","0.5114621368990917","0.5114621368990917","0.5114621368990917","0.49370107513305167","0.49370107513305167","0.49370107513305167","0.5096782766703257","0.5096782766703257","0.5096782766703257","0.5305772112096844","0.5305772112096844","0.5305772112096844","0.4964870990839103","0.4964870990839103","0.4964870990839103","0.5451332386950939","0.5451332386950939","0.5451332386950939","0.5200091893524716","0.5200091893524716","0.5200091893524716","0.538737839908701","0.538737839908701","0.538737839908701","0.4996996710082853","0.4996996710082853","0.4996996710082853","0.5121891579781106","0.5121891579781106","0.5121891579781106","0.5023683036499801","0.5023683036499801","0.5023683036499801","0.48876787416579237","0.48876787416579237","0.48876787416579237","0.4886685441876679","0.4886685441876679","0.4886685441876679","0.48156899882359067","0.48156899882359067","0.48156899882359067"
"14","0.5133418257690398","0.5133418257690398","0.5133418257690398","0.5295432608540661","0.5295432608540661","0.5295432608540661","0.523143004685703","0.523143004685703","0.523143004685703","0.5101014862837638","0.5101014862837638","0.5101014862837638","0.5250504764016476","0.5250504764016476","0.5250504764016476","0.5005100776770469","0.5005100776770469","0.5005100776770469","0.5311810571783434","0.5311810571783434","0.5311810571783434","0.5160314263486638","0.5160314263486638","0.5160314263486638","0.5262391966274318","0.5262391966274318","0.5262391966274318","0.4794081304431704","0.4794081304431704","0.4794081304431704","0.5031682628296805","0.5031682628296805","0.5031682628296805","0.49792910273041935","0.49792910273041935","0.49792910273041935","0.4939234909970834","0.4939234909970834","0.4939234909970834","0.47453850005646614","0.47453850005646614","0.47453850005646614","0.5021941873488256","0.5021941873488256","0.5021941873488256"
"15","0.5367556916855906","0.5367556916855906","0.5367556916855906","0.5302423172386238","0.5302423172386238","0.5302423172386238","0.507985576745134","0.507985576745134","0.507985576745134","0.5198032420691705","0.5198032420691705","0.5198032420691705","0.5231066213187492","0.5231066213187492","0.5231066213187492","0.4903628661367992","0.4903628661367992","0.4903628661367992","0.5266637562877895","0.5266637562877895","0.5266637562877895","0.5296507891096095","0.5296507891096095","0.5296507891096095","0.5621247137626465","0.5621247137626465","0.5621247137626465","0.4994975827440661","0.4994975827440661","0.4994975827440661","0.5224816852810934","0.5224816852810934","0.5224816852810934","0.5080165823083711","0.5080165823083711","0.5080165823083711","0.49390062750973895","0.49390062750973895","0.49390062750973895","0.4758069085255155","0.4758069085255155","0.4758069085255155","0.511591744522805","0.511591744522805","0.511591744522805"
"16","0.5209439646863153","0.5209439646863153","0.5209439646863153","0.5288926328182463","0.5288926328182463","0.5288926328182463","0.5245488458569996","0.5245488458569996","0.5245488458569996","0.5229576956717119","0.5229576956717119","0.5229576956717119","0.5222276191042987","0.5222276191042987","0.5222276191042987","0.5090832405654492","0.5090832405654492","0.5090832405654492","0.5455401874888386","0.5455401874888386","0.5455401874888386","0.5360696616510542","0.5360696616510542","0.5360696616510542","0.5653000263783484","0.5653000263783484","0.5653000263783484","0.5079590461122478","0.5079590461122478","0.5079590461122478","0.5277339061364386","0.5277339061364386","0.5277339061364386","0.5291727079815828","0.5291727079815828","0.5291727079815828","0.4996031191976466","0.4996031191976466","0.4996031191976466","0.4874900280195535","0.4874900280195535","0.4874900280195535","0.4987853332920017","0.4987853332920017","0.4987853332920017"
"17","0.5059346228826395","0.5059346228826395","0.5059346228826395","0.5371845003967546","0.5371845003967546","0.5371845003967546","0.5389576177857612","0.5389576177857612","0.5389576177857612","0.5169691448914527","0.5169691448914527","0.5169691448914527","0.5270380745723405","0.5270380745723405","0.5270380745723405","0.5122418174274457","0.5122418174274457","0.5122418174274457","0.5463199547522282","0.5463199547522282","0.5463199547522282","0.5343636016335895","0.5343636016335895","0.5343636016335895","0.5889671239858973","0.5889671239858973","0.5889671239858973","0.5022795072027774","0.5022795072027774","0.5022795072027774","0.5132854449661378","0.5132854449661378","0.5132854449661378","0.5268802734660795","0.5268802734660795","0.5268802734660795","0.5044100740975231","0.5044100740975231","0.5044100740975231","0.5077265671556268","0.5077265671556268","0.5077265671556268","0.5051058518350641","0.5051058518350641","0.5051058518350641"
"18","0.5351141545701366","0.5351141545701366","0.5351141545701366","0.5084795398405786","0.5084795398405786","0.5084795398405786","0.5288020655020904","0.5288020655020904","0.5288020655020904","0.5219320758976378","0.5219320758976378","0.5219320758976378","0.5129727198061708","0.5129727198061708","0.5129727198061708","0.5089467904545396","0.5089467904545396","0.5089467904545396","0.5735972484795276","0.5735972484795276","0.5735972484795276","0.577713625290304","0.577713625290304","0.577713625290304","0.6064325460566582","0.6064325460566582","0.6064325460566582","0.5359603765381369","0.5359603765381369","0.5359603765381369","0.5262153106427846","0.5262153106427846","0.5262153106427846","0.5412533938791273","0.5412533938791273","0.5412533938791273","0.525093403495489","0.525093403495489","0.525093403495489","0.49120659634659225","0.49120659634659225","0.49120659634659225","0.502854838423846","0.502854838423846","0.502854838423846"
"19","0.5370030541739675","0.5370030541739675","0.5370030541739675","0.5500261372329833","0.5500261372329833","0.5500261372329833","0.5305098328485638","0.5305098328485638","0.5305098328485638","0.5409371499078466","0.5409371499078466","0.5409371499078466","0.5428785647584037","0.5428785647584037","0.5428785647584037","0.5258911025698647","0.5258911025698647","0.5258911025698647","0.546843366407677","0.546843366407677","0.546843366407677","0.5619315823343747","0.5619315823343747","0.5619315823343747","0.5758383724535634","0.5758383724535634","0.5758383724535634","0.5127035275019671","0.5127035275019671","0.5127035275019671","0.5283662150653587","0.5283662150653587","0.5283662150653587","0.5136488238374103","0.5136488238374103","0.5136488238374103","0.5116310984227388","0.5116310984227388","0.5116310984227388","0.5064715565965974","0.5064715565965974","0.5064715565965974","0.509174905768121","0.509174905768121","0.509174905768121"
"20","0.5387336993506171","0.5387336993506171","0.5387336993506171","0.5418344478770937","0.5418344478770937","0.5418344478770937","0.5339003472141017","0.5339003472141017","0.5339003472141017","0.5407342640187449","0.5407342640187449","0.5407342640187449","0.5541697893442151","0.5541697893442151","0.5541697893442151","0.5218124793096183","0.5218124793096183","0.5218124793096183","0.5863801026812485","0.5863801026812485","0.5863801026812485","0.5592664814962743","0.5592664814962743","0.5592664814962743","0.6123893468856635","0.6123893468856635","0.6123893468856635","0.5183221099928581","0.5183221099928581","0.5183221099928581","0.5491409069710922","0.5491409069710922","0.5491409069710922","0.5586757071954274","0.5586757071954274","0.5586757071954274","0.5031644819105734","0.5031644819105734","0.5031644819105734","0.5168824697755837","0.5168824697755837","0.5168824697755837","0.5123910346161081","0.5123910346161081","0.5123910346161081"
"21","0.5542243786880967","0.5542243786880967","0.5542243786880967","0.5706583801653382","0.5706583801653382","0.5706583801653382","0.5448955252719989","0.5448955252719989","0.5448955252719989","0.5523097864280064","0.5523097864280064","0.5523097864280064","0.5715729211194958","0.5715729211194958","0.5715729211194958","0.5436420137017705","0.5436420137017705","0.5436420137017705","0.6003169141991037","0.6003169141991037","0.6003169141991037","0.553682385238444","0.553682385238444","0.553682385238444","0.5922100915826111","0.5922100915826111","0.5922100915826111","0.5371640910361817","0.5371640910361817","0.5371640910361817","0.5512530301099757","0.5512530301099757","0.5512530301099757","0.539175456337116","0.539175456337116","0.539175456337116","0.5218590931470335","0.5218590931470335","0.5218590931470335","0.5134625678348264","0.5134625678348264","0.5134625678348264","0.5324757583380212","0.5324757583380212","0.5324757583380212"
"22","0.5641500266074185","0.5641500266074185","0.5641500266074185","0.5624894942391083","0.5624894942391083","0.5624894942391083","0.544195814132337","0.544195814132337","0.544195814132337","0.5632987766018126","0.5632987766018126","0.5632987766018126","0.5661099763962574","0.5661099763962574","0.5661099763962574","0.546204169118572","0.546204169118572","0.546204169118572","0.6074737336586709","0.6074737336586709","0.6074737336586709","0.5707233143313245","0.5707233143313245","0.5707233143313245","0.6100054425975772","0.6100054425975772","0.6100054425975772","0.5561407758826284","0.5561407758826284","0.5561407758826284","0.545228458404676","0.545228458404676","0.545228458404676","0.5460108961956042","0.5460108961956042","0.5460108961956042","0.5249899982072247","0.5249899982072247","0.5249899982072247","0.5354540335327431","0.5354540335327431","0.5354540335327431","0.5337638789441282","0.5337638789441282","0.5337638789441282"
"23","0.5788128841255468","0.5788128841255468","0.5788128841255468","0.5301342597020631","0.5301342597020631","0.5301342597020631","0.5567580376432837","0.5567580376432837","0.5567580376432837","0.581962074948556","0.581962074948556","0.581962074948556","0.5375802985216944","0.5375802985216944","0.5375802985216944","0.5493872693649992","0.5493872693649992","0.5493872693649992","0.6124560433906155","0.6124560433906155","0.6124560433906155","0.6156088793191209","0.6156088793191209","0.6156088793191209","0.6251831703565865","0.6251831703565865","0.6251831703565865","0.5326773489207479","0.5326773489207479","0.5326773489207479","0.5598307300782188","0.5598307300782188","0.5598307300782188","0.5574743213420535","0.5574743213420535","0.5574743213420535","0.5308525831020191","0.5308525831020191","0.5308525831020191","0.5242833563670526","0.5242833563670526","0.5242833563670526","0.5437202076850162","0.5437202076850162","0.5437202076850162"
"24","0.5485601776649944","0.5485601776649944","0.5485601776649944","0.5615843256880827","0.5615843256880827","0.5615843256880827","0.5508440046748483","0.5508440046748483","0.5508440046748483","0.5452093937065338","0.5452093937065338","0.5452093937065338","0.5559384705600839","0.5559384705600839","0.5559384705600839","0.5499389456695861","0.5499389456695861","0.5499389456695861","0.5821849170796606","0.5821849170796606","0.5821849170796606","0.6004846435090502","0.6004846435090502","0.6004846435090502","0.6256041924482163","0.6256041924482163","0.6256041924482163","0.5480285949656657","0.5480285949656657","0.5480285949656657","0.5633441151418473","0.5633441151418473","0.5633441151418473","0.5617925987506052","0.5617925987506052","0.5617925987506052","0.5398437538792656","0.5398437538792656","0.5398437538792656","0.5333738997586243","0.5333738997586243","0.5333738997586243","0.5320438152616783","0.5320438152616783","0.5320438152616783"
"25","0.5716270295612222","0.5716270295612222","0.5716270295612222","0.5863962739951522","0.5863962739951522","0.5863962739951522","0.5765890961605966","0.5765890961605966","0.5765890961605966","0.5457142818200069","0.5457142818200069","0.5457142818200069","0.5787039077388257","0.5787039077388257","0.5787039077388257","0.5644937359765432","0.5644937359765432","0.5644937359765432","0.5996799249230241","0.5996799249230241","0.5996799249230241","0.5835313581888105","0.5835313581888105","0.5835313581888105","0.6314631438464996","0.6314631438464996","0.6314631438464996","0.5373640588441985","0.5373640588441985","0.5373640588441985","0.5819256856817825","0.5819256856817825","0.5819256856817825","0.5697846757472524","0.5697846757472524","0.5697846757472524","0.5336949771832088","0.5336949771832088","0.5336949771832088","0.5332582377414117","0.5332582377414117","0.5332582377414117","0.5503961897276063","0.5503961897276063","0.5503961897276063"
