"Step","GNN_bp_1 - gene_ap","GNN_bp_1 - gene_ap__MIN","GNN_bp_1 - gene_ap__MAX","GNN_bp_999 - gene_ap","GNN_bp_999 - gene_ap__MIN","GNN_bp_999 - gene_ap__MAX","GNN_bp_42 - gene_ap","GNN_bp_42 - gene_ap__MIN","GNN_bp_42 - gene_ap__MAX","GNN_cp_1 - gene_ap","GNN_cp_1 - gene_ap__MIN","GNN_cp_1 - gene_ap__MAX","GNN_cp_999 - gene_ap","GNN_cp_999 - gene_ap__MIN","GNN_cp_999 - gene_ap__MAX","GNN_cp_42 - gene_ap","GNN_cp_42 - gene_ap__MIN","GNN_cp_42 - gene_ap__MAX","GNN_go_1 - gene_ap","GNN_go_1 - gene_ap__MIN","GNN_go_1 - gene_ap__MAX","GNN_go_999 - gene_ap","GNN_go_999 - gene_ap__MIN","GNN_go_999 - gene_ap__MAX","GNN_go_42 - gene_ap","GNN_go_42 - gene_ap__MIN","GNN_go_42 - gene_ap__MAX","GNN_cgp_1 - gene_ap","GNN_cgp_1 - gene_ap__MIN","GNN_cgp_1 - gene_ap__MAX","GNN_cgp_999 - gene_ap","GNN_cgp_999 - gene_ap__MIN","GNN_cgp_999 - gene_ap__MAX","GNN_cgp_42 - gene_ap","GNN_cgp_42 - gene_ap__MIN","GNN_cgp_42 - gene_ap__MAX"
"10","0.5705261556681502","0.5705261556681502","0.5705261556681502","0.5402990122733613","0.5402990122733613","0.5402990122733613","0.5845602403804191","0.5845602403804191","0.5845602403804191","0.5843798060277164","0.5843798060277164","0.5843798060277164","0.5822214607396576","0.5822214607396576","0.5822214607396576","0.5633503951417622","0.5633503951417622","0.5633503951417622","0.5960620307744009","0.5960620307744009","0.5960620307744009","0.6117273565285338","0.6117273565285338","0.6117273565285338","0.5750144186850833","0.5750144186850833","0.5750144186850833","0.5790167765718238","0.5790167765718238","0.5790167765718238","0.5621461155550119","0.5621461155550119","0.5621461155550119","0.5831577126320107","0.5831577126320107","0.5831577126320107"
"11","0.6000883545810785","0.6000883545810785","0.6000883545810785","0.5618448403137387","0.5618448403137387","0.5618448403137387","0.5948639352611762","0.5948639352611762","0.5948639352611762","0.621128424770457","0.621128424770457","0.621128424770457","0.6055047755123222","0.6055047755123222","0.6055047755123222","0.575541017380757","0.575541017380757","0.575541017380757","0.5995572274716932","0.5995572274716932","0.5995572274716932","0.5904426525349692","0.5904426525349692","0.5904426525349692","0.6004658396358556","0.6004658396358556","0.6004658396358556","0.5829786705220318","0.5829786705220318","0.5829786705220318","0.5834499572486956","0.5834499572486956","0.5834499572486956","0.6048336927947033","0.6048336927947033","0.6048336927947033"
"12","0.5802629281345925","0.5802629281345925","0.5802629281345925","0.5899057955282638","0.5899057955282638","0.5899057955282638","0.572861270604162","0.572861270604162","0.572861270604162","0.6178318435523261","0.6178318435523261","0.6178318435523261","0.5773806251848168","0.5773806251848168","0.5773806251848168","0.6039584562666881","0.6039584562666881","0.6039584562666881","0.6170019610260407","0.6170019610260407","0.6170019610260407","0.5882632855546144","0.5882632855546144","0.5882632855546144","0.6189267225894959","0.6189267225894959","0.6189267225894959","0.5946664238992346","0.5946664238992346","0.5946664238992346","0.5902958303774174","0.5902958303774174","0.5902958303774174","0.5893296829890766","0.5893296829890766","0.5893296829890766"
"13","0.6135315110209273","0.6135315110209273","0.6135315110209273","0.5959262310512885","0.5959262310512885","0.5959262310512885","0.6134058594480525","0.6134058594480525","0.6134058594480525","0.6024871922950366","0.6024871922950366","0.6024871922950366","0.6238852188130368","0.6238852188130368","0.6238852188130368","0.6157337162622771","0.6157337162622771","0.6157337162622771","0.6478260682661318","0.6478260682661318","0.6478260682661318","0.6178511263140335","0.6178511263140335","0.6178511263140335","0.6393081785202802","0.6393081785202802","0.6393081785202802","0.6152567594367634","0.6152567594367634","0.6152567594367634","0.6038499949910754","0.6038499949910754","0.6038499949910754","0.6218128862740642","0.6218128862740642","0.6218128862740642"
"14","0.6181151648177982","0.6181151648177982","0.6181151648177982","0.5838967632244896","0.5838967632244896","0.5838967632244896","0.6234271650757089","0.6234271650757089","0.6234271650757089","0.6357749425087033","0.6357749425087033","0.6357749425087033","0.5957843395048733","0.5957843395048733","0.5957843395048733","0.599006680160489","0.599006680160489","0.599006680160489","0.6196963317632651","0.6196963317632651","0.6196963317632651","0.618757312475104","0.618757312475104","0.618757312475104","0.6301864794629822","0.6301864794629822","0.6301864794629822","0.635774109624578","0.635774109624578","0.635774109624578","0.6329656635593541","0.6329656635593541","0.6329656635593541","0.5851264488322782","0.5851264488322782","0.5851264488322782"
"15","0.6397718896248339","0.6397718896248339","0.6397718896248339","0.596137616374213","0.596137616374213","0.596137616374213","0.6267278873628515","0.6267278873628515","0.6267278873628515","0.6300628477988597","0.6300628477988597","0.6300628477988597","0.6078464378339761","0.6078464378339761","0.6078464378339761","0.6053301069008828","0.6053301069008828","0.6053301069008828","0.6168655656482658","0.6168655656482658","0.6168655656482658","0.6559176013669151","0.6559176013669151","0.6559176013669151","0.6337398325004429","0.6337398325004429","0.6337398325004429","0.6437998340859253","0.6437998340859253","0.6437998340859253","0.6343233190787723","0.6343233190787723","0.6343233190787723","0.6315304847034009","0.6315304847034009","0.6315304847034009"
"16","0.6329173682100823","0.6329173682100823","0.6329173682100823","0.6170438871530383","0.6170438871530383","0.6170438871530383","0.625744504730426","0.625744504730426","0.625744504730426","0.6245567380809417","0.6245567380809417","0.6245567380809417","0.6361507970092996","0.6361507970092996","0.6361507970092996","0.6421573852916284","0.6421573852916284","0.6421573852916284","0.6213688136336953","0.6213688136336953","0.6213688136336953","0.6752077424396603","0.6752077424396603","0.6752077424396603","0.6344013947634823","0.6344013947634823","0.6344013947634823","0.641485076152193","0.641485076152193","0.641485076152193","0.6366499819671475","0.6366499819671475","0.6366499819671475","0.6568359148829499","0.6568359148829499","0.6568359148829499"
"17","0.6484784233913289","0.6484784233913289","0.6484784233913289","0.6361932165732611","0.6361932165732611","0.6361932165732611","0.6378931278104634","0.6378931278104634","0.6378931278104634","0.6837614204371426","0.6837614204371426","0.6837614204371426","0.6582326153704694","0.6582326153704694","0.6582326153704694","0.6527334724895038","0.6527334724895038","0.6527334724895038","0.6766597359345091","0.6766597359345091","0.6766597359345091","0.6654907519709867","0.6654907519709867","0.6654907519709867","0.6502603302665213","0.6502603302665213","0.6502603302665213","0.6576671625234645","0.6576671625234645","0.6576671625234645","0.6224551408714111","0.6224551408714111","0.6224551408714111","0.6566150758964922","0.6566150758964922","0.6566150758964922"
"18","0.6607610556558553","0.6607610556558553","0.6607610556558553","0.6568229910287113","0.6568229910287113","0.6568229910287113","0.6648609544859684","0.6648609544859684","0.6648609544859684","0.6622044645497717","0.6622044645497717","0.6622044645497717","0.6467094203959768","0.6467094203959768","0.6467094203959768","0.6418733022651011","0.6418733022651011","0.6418733022651011","0.6595104685051766","0.6595104685051766","0.6595104685051766","0.6844396031017858","0.6844396031017858","0.6844396031017858","0.6623178986048717","0.6623178986048717","0.6623178986048717","0.6534926068236427","0.6534926068236427","0.6534926068236427","0.6602546534542759","0.6602546534542759","0.6602546534542759","0.654309988493271","0.654309988493271","0.654309988493271"
"19","0.6533752605854384","0.6533752605854384","0.6533752605854384","0.6459907700514154","0.6459907700514154","0.6459907700514154","0.677775270868562","0.677775270868562","0.677775270868562","0.6558749925223895","0.6558749925223895","0.6558749925223895","0.6545067805740304","0.6545067805740304","0.6545067805740304","0.6702747221369155","0.6702747221369155","0.6702747221369155","0.6669356720748384","0.6669356720748384","0.6669356720748384","0.6913002908256349","0.6913002908256349","0.6913002908256349","0.6510402047161464","0.6510402047161464","0.6510402047161464","0.6664988051145307","0.6664988051145307","0.6664988051145307","0.6760973632237879","0.6760973632237879","0.6760973632237879","0.6710038236742613","0.6710038236742613","0.6710038236742613"
