"Step","GNN_bp_1 - assay_ap","GNN_bp_1 - assay_ap__MIN","GNN_bp_1 - assay_ap__MAX","GNN_bp_999 - assay_ap","GNN_bp_999 - assay_ap__MIN","GNN_bp_999 - assay_ap__MAX","GNN_bp_42 - assay_ap","GNN_bp_42 - assay_ap__MIN","GNN_bp_42 - assay_ap__MAX","GNN_cgp_1 - assay_ap","GNN_cgp_1 - assay_ap__MIN","GNN_cgp_1 - assay_ap__MAX","GNN_cgp_999 - assay_ap","GNN_cgp_999 - assay_ap__MIN","GNN_cgp_999 - assay_ap__MAX","GNN_cgp_42 - assay_ap","GNN_cgp_42 - assay_ap__MIN","GNN_cgp_42 - assay_ap__MAX","GNN_go_1 - assay_ap","GNN_go_1 - assay_ap__MIN","GNN_go_1 - assay_ap__MAX","GNN_go_999 - assay_ap","GNN_go_999 - assay_ap__MIN","GNN_go_999 - assay_ap__MAX","GNN_go_42 - assay_ap","GNN_go_42 - assay_ap__MIN","GNN_go_42 - assay_ap__MAX","GNN_cp_1 - assay_ap","GNN_cp_1 - assay_ap__MIN","GNN_cp_1 - assay_ap__MAX","GNN_cp_999 - assay_ap","GNN_cp_999 - assay_ap__MIN","GNN_cp_999 - assay_ap__MAX","GNN_cp_42 - assay_ap","GNN_cp_42 - assay_ap__MIN","GNN_cp_42 - assay_ap__MAX"
"10","0.7007142012752093","0.7007142012752093","0.7007142012752093","0.701004499158765","0.701004499158765","0.701004499158765","0.6751119674813351","0.6751119674813351","0.6751119674813351","0.7068320463160334","0.7068320463160334","0.7068320463160334","0.6899018954191383","0.6899018954191383","0.6899018954191383","0.7044919577454525","0.7044919577454525","0.7044919577454525","0.6969761724118921","0.6969761724118921","0.6969761724118921","0.6803172520020662","0.6803172520020662","0.6803172520020662","0.6907629606584724","0.6907629606584724","0.6907629606584724","0.7004628602812882","0.7004628602812882","0.7004628602812882","0.7014379513089498","0.7014379513089498","0.7014379513089498","0.70661084078647","0.70661084078647","0.70661084078647"
"11","0.6968453815964989","0.6968453815964989","0.6968453815964989","0.71201691838408","0.71201691838408","0.71201691838408","0.674504895952693","0.674504895952693","0.674504895952693","0.726964147957309","0.726964147957309","0.726964147957309","0.6872434868856235","0.6872434868856235","0.6872434868856235","0.7092751588355956","0.7092751588355956","0.7092751588355956","0.718014725230214","0.718014725230214","0.718014725230214","0.7001892502062396","0.7001892502062396","0.7001892502062396","0.7254485740646466","0.7254485740646466","0.7254485740646466","0.6994211338964437","0.6994211338964437","0.6994211338964437","0.6779696149393079","0.6779696149393079","0.6779696149393079","0.7070406417797075","0.7070406417797075","0.7070406417797075"
"12","0.7200283827079591","0.7200283827079591","0.7200283827079591","0.7142109965921173","0.7142109965921173","0.7142109965921173","0.7193958164870482","0.7193958164870482","0.7193958164870482","0.7300719908972545","0.7300719908972545","0.7300719908972545","0.7046720125407719","0.7046720125407719","0.7046720125407719","0.7257106947870928","0.7257106947870928","0.7257106947870928","0.7104688295292874","0.7104688295292874","0.7104688295292874","0.7033424151764913","0.7033424151764913","0.7033424151764913","0.7079661523225633","0.7079661523225633","0.7079661523225633","0.6809301780236491","0.6809301780236491","0.6809301780236491","0.7221013819904338","0.7221013819904338","0.7221013819904338","0.7234478003190201","0.7234478003190201","0.7234478003190201"
"13","0.7149378351553903","0.7149378351553903","0.7149378351553903","0.7082777630702414","0.7082777630702414","0.7082777630702414","0.7238273944073694","0.7238273944073694","0.7238273944073694","0.7170114623573206","0.7170114623573206","0.7170114623573206","0.7130797706392596","0.7130797706392596","0.7130797706392596","0.7232914695361014","0.7232914695361014","0.7232914695361014","0.7261756839762417","0.7261756839762417","0.7261756839762417","0.7211538522558593","0.7211538522558593","0.7211538522558593","0.7280478539861651","0.7280478539861651","0.7280478539861651","0.7201347680937951","0.7201347680937951","0.7201347680937951","0.6961120626881993","0.6961120626881993","0.6961120626881993","0.7373721654842499","0.7373721654842499","0.7373721654842499"
"14","0.7386972036372083","0.7386972036372083","0.7386972036372083","0.7130530217568359","0.7130530217568359","0.7130530217568359","0.7347629600806578","0.7347629600806578","0.7347629600806578","0.7255249100829018","0.7255249100829018","0.7255249100829018","0.7329057076288591","0.7329057076288591","0.7329057076288591","0.7206794761527915","0.7206794761527915","0.7206794761527915","0.726922633655011","0.726922633655011","0.726922633655011","0.7279687119582459","0.7279687119582459","0.7279687119582459","0.737820284289397","0.737820284289397","0.737820284289397","0.7185278220529299","0.7185278220529299","0.7185278220529299","0.7015395567337804","0.7015395567337804","0.7015395567337804","0.7426480562545545","0.7426480562545545","0.7426480562545545"
"15","0.7366963151903634","0.7366963151903634","0.7366963151903634","0.7033725816690148","0.7033725816690148","0.7033725816690148","0.7389107925969247","0.7389107925969247","0.7389107925969247","0.7426323460829525","0.7426323460829525","0.7426323460829525","0.7357458841014666","0.7357458841014666","0.7357458841014666","0.7456231440090483","0.7456231440090483","0.7456231440090483","0.7345601570983352","0.7345601570983352","0.7345601570983352","0.731081018502356","0.731081018502356","0.731081018502356","0.7405540874114361","0.7405540874114361","0.7405540874114361","0.7368998607633088","0.7368998607633088","0.7368998607633088","0.7317756466013436","0.7317756466013436","0.7317756466013436","0.7155124785146512","0.7155124785146512","0.7155124785146512"
"16","0.7549144708395074","0.7549144708395074","0.7549144708395074","0.7158119228591145","0.7158119228591145","0.7158119228591145","0.732880871447828","0.732880871447828","0.732880871447828","0.7474024173216736","0.7474024173216736","0.7474024173216736","0.7208102102826783","0.7208102102826783","0.7208102102826783","0.7329750449484059","0.7329750449484059","0.7329750449484059","0.722487648086243","0.722487648086243","0.722487648086243","0.742393467205887","0.742393467205887","0.742393467205887","0.7448769571396506","0.7448769571396506","0.7448769571396506","0.7179848545169171","0.7179848545169171","0.7179848545169171","0.736190597104748","0.736190597104748","0.736190597104748","0.751180371718594","0.751180371718594","0.751180371718594"
"17","0.7578791653187961","0.7578791653187961","0.7578791653187961","0.73093914841824","0.73093914841824","0.73093914841824","0.7553917585163255","0.7553917585163255","0.7553917585163255","0.7430114842503422","0.7430114842503422","0.7430114842503422","0.751075529424436","0.751075529424436","0.751075529424436","0.7523962603059146","0.7523962603059146","0.7523962603059146","0.7421648769699276","0.7421648769699276","0.7421648769699276","0.7477106220149062","0.7477106220149062","0.7477106220149062","0.7738309091362215","0.7738309091362215","0.7738309091362215","0.7481151920743092","0.7481151920743092","0.7481151920743092","0.7188906370421472","0.7188906370421472","0.7188906370421472","0.7593732125730638","0.7593732125730638","0.7593732125730638"
"18","0.733684891721547","0.733684891721547","0.733684891721547","0.7384058151465414","0.7384058151465414","0.7384058151465414","0.7456207855412245","0.7456207855412245","0.7456207855412245","0.7529932914803977","0.7529932914803977","0.7529932914803977","0.729628129613556","0.729628129613556","0.729628129613556","0.7488512680415258","0.7488512680415258","0.7488512680415258","0.7480687753462786","0.7480687753462786","0.7480687753462786","0.7380942646518417","0.7380942646518417","0.7380942646518417","0.7671222267118277","0.7671222267118277","0.7671222267118277","0.7221866734659101","0.7221866734659101","0.7221866734659101","0.7414896341490798","0.7414896341490798","0.7414896341490798","0.7637037404838033","0.7637037404838033","0.7637037404838033"
"19","0.7574960038919574","0.7574960038919574","0.7574960038919574","0.7510704521206056","0.7510704521206056","0.7510704521206056","0.754994195245782","0.754994195245782","0.754994195245782","0.7574321043334634","0.7574321043334634","0.7574321043334634","0.7405715767533337","0.7405715767533337","0.7405715767533337","0.7417901240825638","0.7417901240825638","0.7417901240825638","0.7485075650772444","0.7485075650772444","0.7485075650772444","0.7610644481669692","0.7610644481669692","0.7610644481669692","0.7595498319245088","0.7595498319245088","0.7595498319245088","0.7537536832988461","0.7537536832988461","0.7537536832988461","0.7545970813819609","0.7545970813819609","0.7545970813819609","0.7597379747995666","0.7597379747995666","0.7597379747995666"
