"Step","GNN_bp_1 - assay_ap","GNN_bp_1 - assay_ap__MIN","GNN_bp_1 - assay_ap__MAX","GNN_bp_999 - assay_ap","GNN_bp_999 - assay_ap__MIN","GNN_bp_999 - assay_ap__MAX","GNN_bp_42 - assay_ap","GNN_bp_42 - assay_ap__MIN","GNN_bp_42 - assay_ap__MAX","GNN_cp_1 - assay_ap","GNN_cp_1 - assay_ap__MIN","GNN_cp_1 - assay_ap__MAX","GNN_cp_999 - assay_ap","GNN_cp_999 - assay_ap__MIN","GNN_cp_999 - assay_ap__MAX","GNN_cp_42 - assay_ap","GNN_cp_42 - assay_ap__MIN","GNN_cp_42 - assay_ap__MAX","GNN_go_1 - assay_ap","GNN_go_1 - assay_ap__MIN","GNN_go_1 - assay_ap__MAX","GNN_go_999 - assay_ap","GNN_go_999 - assay_ap__MIN","GNN_go_999 - assay_ap__MAX","GNN_go_42 - assay_ap","GNN_go_42 - assay_ap__MIN","GNN_go_42 - assay_ap__MAX","GNN_cgp_1 - assay_ap","GNN_cgp_1 - assay_ap__MIN","GNN_cgp_1 - assay_ap__MAX","GNN_cgp_999 - assay_ap","GNN_cgp_999 - assay_ap__MIN","GNN_cgp_999 - assay_ap__MAX","GNN_cgp_42 - assay_ap","GNN_cgp_42 - assay_ap__MIN","GNN_cgp_42 - assay_ap__MAX"
"10","0.7011734309138685","0.7011734309138685","0.7011734309138685","0.6789294644141779","0.6789294644141779","0.6789294644141779","0.7112485701169572","0.7112485701169572","0.7112485701169572","0.7363258778270939","0.7363258778270939","0.7363258778270939","0.7248501875852185","0.7248501875852185","0.7248501875852185","0.717061442511319","0.717061442511319","0.717061442511319","0.6917723618610621","0.6917723618610621","0.6917723618610621","0.7163305175046407","0.7163305175046407","0.7163305175046407","0.722803544441729","0.722803544441729","0.722803544441729","0.7098351949179047","0.7098351949179047","0.7098351949179047","0.7019984313860008","0.7019984313860008","0.7019984313860008","0.6843910907611092","0.6843910907611092","0.6843910907611092"
"11","0.7204396462772532","0.7204396462772532","0.7204396462772532","0.7040855829135413","0.7040855829135413","0.7040855829135413","0.7148504083003224","0.7148504083003224","0.7148504083003224","0.7252464656714032","0.7252464656714032","0.7252464656714032","0.7122008530504228","0.7122008530504228","0.7122008530504228","0.7382661997396885","0.7382661997396885","0.7382661997396885","0.712328728401073","0.712328728401073","0.712328728401073","0.7316947649358244","0.7316947649358244","0.7316947649358244","0.7311960457012279","0.7311960457012279","0.7311960457012279","0.7170388826953614","0.7170388826953614","0.7170388826953614","0.7154575041732028","0.7154575041732028","0.7154575041732028","0.719922844808687","0.719922844808687","0.719922844808687"
"12","0.7048939618867721","0.7048939618867721","0.7048939618867721","0.7111699395212181","0.7111699395212181","0.7111699395212181","0.7254849034536116","0.7254849034536116","0.7254849034536116","0.7400878172898832","0.7400878172898832","0.7400878172898832","0.7284751451075114","0.7284751451075114","0.7284751451075114","0.7284689022831632","0.7284689022831632","0.7284689022831632","0.7230447986155425","0.7230447986155425","0.7230447986155425","0.7515869317730751","0.7515869317730751","0.7515869317730751","0.7486543543390711","0.7486543543390711","0.7486543543390711","0.746048115666188","0.746048115666188","0.746048115666188","0.7213879339743487","0.7213879339743487","0.7213879339743487","0.7248605217235538","0.7248605217235538","0.7248605217235538"
"13","0.7256698111788605","0.7256698111788605","0.7256698111788605","0.7199763919222457","0.7199763919222457","0.7199763919222457","0.7268530345769288","0.7268530345769288","0.7268530345769288","0.714069135373226","0.714069135373226","0.714069135373226","0.7311034908588643","0.7311034908588643","0.7311034908588643","0.755510911281611","0.755510911281611","0.755510911281611","0.7407346495487953","0.7407346495487953","0.7407346495487953","0.7435412940996425","0.7435412940996425","0.7435412940996425","0.7390086391456877","0.7390086391456877","0.7390086391456877","0.7363882532714615","0.7363882532714615","0.7363882532714615","0.7206338479243642","0.7206338479243642","0.7206338479243642","0.7397867438908893","0.7397867438908893","0.7397867438908893"
"14","0.7551651524890315","0.7551651524890315","0.7551651524890315","0.7329121413927577","0.7329121413927577","0.7329121413927577","0.7229982461636191","0.7229982461636191","0.7229982461636191","0.7495057003556146","0.7495057003556146","0.7495057003556146","0.7399553898836952","0.7399553898836952","0.7399553898836952","0.7551090948898566","0.7551090948898566","0.7551090948898566","0.7286873090076618","0.7286873090076618","0.7286873090076618","0.7365514637988039","0.7365514637988039","0.7365514637988039","0.744672008620278","0.744672008620278","0.744672008620278","0.7558367594377209","0.7558367594377209","0.7558367594377209","0.740433701778603","0.740433701778603","0.740433701778603","0.7415210700937168","0.7415210700937168","0.7415210700937168"
"15","0.7392885257254591","0.7392885257254591","0.7392885257254591","0.7341061191594107","0.7341061191594107","0.7341061191594107","0.7380002462747424","0.7380002462747424","0.7380002462747424","0.7380076764943748","0.7380076764943748","0.7380076764943748","0.7415498048063961","0.7415498048063961","0.7415498048063961","0.7539864798874117","0.7539864798874117","0.7539864798874117","0.7378454286671905","0.7378454286671905","0.7378454286671905","0.7754774654385328","0.7754774654385328","0.7754774654385328","0.7535865046853178","0.7535865046853178","0.7535865046853178","0.749040621255544","0.749040621255544","0.749040621255544","0.7458800783391157","0.7458800783391157","0.7458800783391157","0.7466269699701624","0.7466269699701624","0.7466269699701624"
"16","0.7401944479335208","0.7401944479335208","0.7401944479335208","0.7419693815646943","0.7419693815646943","0.7419693815646943","0.7478681335179571","0.7478681335179571","0.7478681335179571","0.7555237862182043","0.7555237862182043","0.7555237862182043","0.7556307422484995","0.7556307422484995","0.7556307422484995","0.774234677710731","0.774234677710731","0.774234677710731","0.7646296111515969","0.7646296111515969","0.7646296111515969","0.7633397801980824","0.7633397801980824","0.7633397801980824","0.7553183177470264","0.7553183177470264","0.7553183177470264","0.7664576206620065","0.7664576206620065","0.7664576206620065","0.7529643795696942","0.7529643795696942","0.7529643795696942","0.7575011564073221","0.7575011564073221","0.7575011564073221"
"17","0.7334911423425727","0.7334911423425727","0.7334911423425727","0.7381153155292212","0.7381153155292212","0.7381153155292212","0.7421221584637263","0.7421221584637263","0.7421221584637263","0.7652756576076583","0.7652756576076583","0.7652756576076583","0.7570759781653732","0.7570759781653732","0.7570759781653732","0.7743032039853822","0.7743032039853822","0.7743032039853822","0.7542851279687321","0.7542851279687321","0.7542851279687321","0.7649038104603175","0.7649038104603175","0.7649038104603175","0.769345744350567","0.769345744350567","0.769345744350567","0.750302048779753","0.750302048779753","0.750302048779753","0.7418524866668971","0.7418524866668971","0.7418524866668971","0.76301049449236","0.76301049449236","0.76301049449236"
"18","0.7518660001354808","0.7518660001354808","0.7518660001354808","0.7588346135272257","0.7588346135272257","0.7588346135272257","0.7474361484580652","0.7474361484580652","0.7474361484580652","0.7585813518306772","0.7585813518306772","0.7585813518306772","0.7517397241356174","0.7517397241356174","0.7517397241356174","0.7865266462265961","0.7865266462265961","0.7865266462265961","0.767260323514883","0.767260323514883","0.767260323514883","0.7759911853932352","0.7759911853932352","0.7759911853932352","0.7674601049640268","0.7674601049640268","0.7674601049640268","0.7632752540570041","0.7632752540570041","0.7632752540570041","0.7741857648264432","0.7741857648264432","0.7741857648264432","0.7477666248876256","0.7477666248876256","0.7477666248876256"
"19","0.7685453542876419","0.7685453542876419","0.7685453542876419","0.758173581445378","0.758173581445378","0.758173581445378","0.7651229922652295","0.7651229922652295","0.7651229922652295","0.7614741931848571","0.7614741931848571","0.7614741931848571","0.7582295505188922","0.7582295505188922","0.7582295505188922","0.7756827646640735","0.7756827646640735","0.7756827646640735","0.7583741463834862","0.7583741463834862","0.7583741463834862","0.7696034816614844","0.7696034816614844","0.7696034816614844","0.7801856618932926","0.7801856618932926","0.7801856618932926","0.7730688740798929","0.7730688740798929","0.7730688740798929","0.7669177411714931","0.7669177411714931","0.7669177411714931","0.765124734679609","0.765124734679609","0.765124734679609"
"20","0.7600834544078855","0.7600834544078855","0.7600834544078855","0.7632642771990865","0.7632642771990865","0.7632642771990865","0.7727247945061682","0.7727247945061682","0.7727247945061682","0.7759970482087074","0.7759970482087074","0.7759970482087074","0.7725143950486476","0.7725143950486476","0.7725143950486476","0.7684343017751424","0.7684343017751424","0.7684343017751424","0.7631560968868836","0.7631560968868836","0.7631560968868836","0.781615690855918","0.781615690855918","0.781615690855918","0.7731048299207302","0.7731048299207302","0.7731048299207302","0.7832096522277466","0.7832096522277466","0.7832096522277466","0.7632621975745383","0.7632621975745383","0.7632621975745383","0.7629965002116037","0.7629965002116037","0.7629965002116037"
"21","0.7763021494808119","0.7763021494808119","0.7763021494808119","0.7479090653927474","0.7479090653927474","0.7479090653927474","0.7684357749603085","0.7684357749603085","0.7684357749603085","0.7681337775218048","0.7681337775218048","0.7681337775218048","0.7778723282788026","0.7778723282788026","0.7778723282788026","0.7864703196357908","0.7864703196357908","0.7864703196357908","0.7692227779974324","0.7692227779974324","0.7692227779974324","0.7827232785301859","0.7827232785301859","0.7827232785301859","0.7786778777441941","0.7786778777441941","0.7786778777441941","0.7728697755184686","0.7728697755184686","0.7728697755184686","0.7742375923666426","0.7742375923666426","0.7742375923666426","0.7668228304267894","0.7668228304267894","0.7668228304267894"
"22","0.7759701778063174","0.7759701778063174","0.7759701778063174","0.774394801635791","0.774394801635791","0.774394801635791","0.7617918438603531","0.7617918438603531","0.7617918438603531","0.7798523420295866","0.7798523420295866","0.7798523420295866","0.7801515044064982","0.7801515044064982","0.7801515044064982","0.7842687059241177","0.7842687059241177","0.7842687059241177","0.7801559858943775","0.7801559858943775","0.7801559858943775","0.7844786050661259","0.7844786050661259","0.7844786050661259","0.7821416911807149","0.7821416911807149","0.7821416911807149","0.8099265348601847","0.8099265348601847","0.8099265348601847","0.7806967050739138","0.7806967050739138","0.7806967050739138","0.7832269883218135","0.7832269883218135","0.7832269883218135"
"23","0.7766887027932384","0.7766887027932384","0.7766887027932384","0.7728308024853934","0.7728308024853934","0.7728308024853934","0.7862644728332553","0.7862644728332553","0.7862644728332553","0.7590257924409717","0.7590257924409717","0.7590257924409717","0.7925758126697149","0.7925758126697149","0.7925758126697149","0.7836437784424644","0.7836437784424644","0.7836437784424644","0.789093466487691","0.789093466487691","0.789093466487691","0.7733676770245546","0.7733676770245546","0.7733676770245546","0.7820073510201924","0.7820073510201924","0.7820073510201924","0.7991601418241988","0.7991601418241988","0.7991601418241988","0.7828918986496871","0.7828918986496871","0.7828918986496871","0.7959228822253257","0.7959228822253257","0.7959228822253257"
"24","0.7777992069592016","0.7777992069592016","0.7777992069592016","0.7550496543642516","0.7550496543642516","0.7550496543642516","0.7765900506188117","0.7765900506188117","0.7765900506188117","0.7919063284672732","0.7919063284672732","0.7919063284672732","0.7736030176791544","0.7736030176791544","0.7736030176791544","0.79202003237582","0.79202003237582","0.79202003237582","0.7890495183427977","0.7890495183427977","0.7890495183427977","0.7913572519493975","0.7913572519493975","0.7913572519493975","0.783917033848123","0.783917033848123","0.783917033848123","0.8100933797496729","0.8100933797496729","0.8100933797496729","0.785162747917566","0.785162747917566","0.785162747917566","0.8081941581448285","0.8081941581448285","0.8081941581448285"
"25","0.7846048018447721","0.7846048018447721","0.7846048018447721","0.7644728135513628","0.7644728135513628","0.7644728135513628","0.7743490608915529","0.7743490608915529","0.7743490608915529","0.7927010331481508","0.7927010331481508","0.7927010331481508","0.7809148120137551","0.7809148120137551","0.7809148120137551","0.7922181592505033","0.7922181592505033","0.7922181592505033","0.7932706926122455","0.7932706926122455","0.7932706926122455","0.8007549804960705","0.8007549804960705","0.8007549804960705","0.7977043224942666","0.7977043224942666","0.7977043224942666","0.8046092356725207","0.8046092356725207","0.8046092356725207","0.7815367175082752","0.7815367175082752","0.7815367175082752","0.786927422891987","0.786927422891987","0.786927422891987"
"26","0.8071342830217201","0.8071342830217201","0.8071342830217201","0.7784148660021283","0.7784148660021283","0.7784148660021283","0.7999714304673898","0.7999714304673898","0.7999714304673898","0.7866466076894266","0.7866466076894266","0.7866466076894266","0.7925333905018501","0.7925333905018501","0.7925333905018501","0.8174519548564245","0.8174519548564245","0.8174519548564245","0.797323461122674","0.797323461122674","0.797323461122674","0.7992842804971797","0.7992842804971797","0.7992842804971797","0.7933902592152233","0.7933902592152233","0.7933902592152233","0.806714372990702","0.806714372990702","0.806714372990702","0.7760581192058621","0.7760581192058621","0.7760581192058621","0.8122560142209505","0.8122560142209505","0.8122560142209505"
"27","0.7914068038148157","0.7914068038148157","0.7914068038148157","0.7910637139377659","0.7910637139377659","0.7910637139377659","0.8031258527300806","0.8031258527300806","0.8031258527300806","0.7888180688654888","0.7888180688654888","0.7888180688654888","0.7930245815293188","0.7930245815293188","0.7930245815293188","0.8033967893917506","0.8033967893917506","0.8033967893917506","0.8011578447066862","0.8011578447066862","0.8011578447066862","0.7914629134573489","0.7914629134573489","0.7914629134573489","0.8147211646048543","0.8147211646048543","0.8147211646048543","0.8060348982649311","0.8060348982649311","0.8060348982649311","0.7867147127651853","0.7867147127651853","0.7867147127651853","0.800639105375207","0.800639105375207","0.800639105375207"
"28","0.7913482804012354","0.7913482804012354","0.7913482804012354","0.7795371913510517","0.7795371913510517","0.7795371913510517","0.7982193492502511","0.7982193492502511","0.7982193492502511","0.7840756862722675","0.7840756862722675","0.7840756862722675","0.7977353707711066","0.7977353707711066","0.7977353707711066","0.810729424723213","0.810729424723213","0.810729424723213","0.8077166131957705","0.8077166131957705","0.8077166131957705","0.8010493591556576","0.8010493591556576","0.8010493591556576","0.8121338307068446","0.8121338307068446","0.8121338307068446","0.806024599330892","0.806024599330892","0.806024599330892","0.7964361568175151","0.7964361568175151","0.7964361568175151","0.7995972639674481","0.7995972639674481","0.7995972639674481"
"29","0.7987810554004837","0.7987810554004837","0.7987810554004837","0.7915286153976302","0.7915286153976302","0.7915286153976302","0.7974040154839259","0.7974040154839259","0.7974040154839259","0.8167749945731171","0.8167749945731171","0.8167749945731171","0.8029072003406466","0.8029072003406466","0.8029072003406466","0.8127669524020908","0.8127669524020908","0.8127669524020908","0.8063601491462441","0.8063601491462441","0.8063601491462441","0.790951214307108","0.790951214307108","0.790951214307108","0.8001840437293413","0.8001840437293413","0.8001840437293413","0.8094959150820066","0.8094959150820066","0.8094959150820066","0.8036233266159069","0.8036233266159069","0.8036233266159069","0.8191632885627141","0.8191632885627141","0.8191632885627141"
