"Step","GNN_bp_1 - gene_ap","GNN_bp_1 - gene_ap__MIN","GNN_bp_1 - gene_ap__MAX","GNN_bp_999 - gene_ap","GNN_bp_999 - gene_ap__MIN","GNN_bp_999 - gene_ap__MAX","GNN_bp_42 - gene_ap","GNN_bp_42 - gene_ap__MIN","GNN_bp_42 - gene_ap__MAX","GNN_cgp_1 - gene_ap","GNN_cgp_1 - gene_ap__MIN","GNN_cgp_1 - gene_ap__MAX","GNN_cgp_999 - gene_ap","GNN_cgp_999 - gene_ap__MIN","GNN_cgp_999 - gene_ap__MAX","GNN_cgp_42 - gene_ap","GNN_cgp_42 - gene_ap__MIN","GNN_cgp_42 - gene_ap__MAX","GNN_go_1 - gene_ap","GNN_go_1 - gene_ap__MIN","GNN_go_1 - gene_ap__MAX","GNN_go_999 - gene_ap","GNN_go_999 - gene_ap__MIN","GNN_go_999 - gene_ap__MAX","GNN_go_42 - gene_ap","GNN_go_42 - gene_ap__MIN","GNN_go_42 - gene_ap__MAX","GNN_cp_1 - gene_ap","GNN_cp_1 - gene_ap__MIN","GNN_cp_1 - gene_ap__MAX","GNN_cp_999 - gene_ap","GNN_cp_999 - gene_ap__MIN","GNN_cp_999 - gene_ap__MAX","GNN_cp_42 - gene_ap","GNN_cp_42 - gene_ap__MIN","GNN_cp_42 - gene_ap__MAX"
"0","0.45452148010773114","0.45452148010773114","0.45452148010773114","0.4442919685782875","0.4442919685782875","0.4442919685782875","0.44478571361008257","0.44478571361008257","0.44478571361008257","0.45711468380681197","0.45711468380681197","0.45711468380681197","0.44989844431076664","0.44989844431076664","0.44989844431076664","0.46034454966875393","0.46034454966875393","0.46034454966875393","0.45683803290966307","0.45683803290966307","0.45683803290966307","0.448705867543733","0.448705867543733","0.448705867543733","0.4688871855083671","0.4688871855083671","0.4688871855083671","0.4560883427793013","0.4560883427793013","0.4560883427793013","0.45685375524651545","0.45685375524651545","0.45685375524651545","0.46633903723934456","0.46633903723934456","0.46633903723934456"
"1","0.47075983639877234","0.47075983639877234","0.47075983639877234","0.4501971045110336","0.4501971045110336","0.4501971045110336","0.4497476328011961","0.4497476328011961","0.4497476328011961","0.4698090799341769","0.4698090799341769","0.4698090799341769","0.4632147881790025","0.4632147881790025","0.4632147881790025","0.46172401656393625","0.46172401656393625","0.46172401656393625","0.45796184454222477","0.45796184454222477","0.45796184454222477","0.4634199319747415","0.4634199319747415","0.4634199319747415","0.4479985507561519","0.4479985507561519","0.4479985507561519","0.4599247805009574","0.4599247805009574","0.4599247805009574","0.450350561220986","0.450350561220986","0.450350561220986","0.4648397853364972","0.4648397853364972","0.4648397853364972"
"2","0.47804863657278207","0.47804863657278207","0.47804863657278207","0.4926584780205517","0.4926584780205517","0.4926584780205517","0.462074259110217","0.462074259110217","0.462074259110217","0.48177205274629115","0.48177205274629115","0.48177205274629115","0.47431691074961624","0.47431691074961624","0.47431691074961624","0.4755027430881787","0.4755027430881787","0.4755027430881787","0.48412787321520356","0.48412787321520356","0.48412787321520356","0.4805204267639608","0.4805204267639608","0.4805204267639608","0.47883742915961286","0.47883742915961286","0.47883742915961286","0.4782264834235406","0.4782264834235406","0.4782264834235406","0.4862733857462738","0.4862733857462738","0.4862733857462738","0.5143558502983673","0.5143558502983673","0.5143558502983673"
"3","0.4762096159805699","0.4762096159805699","0.4762096159805699","0.46182139190674026","0.46182139190674026","0.46182139190674026","0.4776648874538353","0.4776648874538353","0.4776648874538353","0.5141531573483142","0.5141531573483142","0.5141531573483142","0.5180244403645077","0.5180244403645077","0.5180244403645077","0.4856707444296362","0.4856707444296362","0.4856707444296362","0.4901320877815878","0.4901320877815878","0.4901320877815878","0.522357996642181","0.522357996642181","0.522357996642181","0.5160403634579592","0.5160403634579592","0.5160403634579592","0.4824147652160329","0.4824147652160329","0.4824147652160329","0.4777269857403033","0.4777269857403033","0.4777269857403033","0.4972566651605587","0.4972566651605587","0.4972566651605587"
"4","0.5083016326740692","0.5083016326740692","0.5083016326740692","0.4848271971487757","0.4848271971487757","0.4848271971487757","0.48374568200799295","0.48374568200799295","0.48374568200799295","0.5101228752216824","0.5101228752216824","0.5101228752216824","0.4786611160945684","0.4786611160945684","0.4786611160945684","0.5195084818074821","0.5195084818074821","0.5195084818074821","0.49077695824220463","0.49077695824220463","0.49077695824220463","0.517011907146172","0.517011907146172","0.517011907146172","0.4911856874508321","0.4911856874508321","0.4911856874508321","0.501047785662474","0.501047785662474","0.501047785662474","0.4831136646606543","0.4831136646606543","0.4831136646606543","0.4980523949512529","0.4980523949512529","0.4980523949512529"
"5","0.5316398613005366","0.5316398613005366","0.5316398613005366","0.5114644310747731","0.5114644310747731","0.5114644310747731","0.5022440657847483","0.5022440657847483","0.5022440657847483","0.5350750322209836","0.5350750322209836","0.5350750322209836","0.5020058554160713","0.5020058554160713","0.5020058554160713","0.5078262065344118","0.5078262065344118","0.5078262065344118","0.5037638068209367","0.5037638068209367","0.5037638068209367","0.5126104463760265","0.5126104463760265","0.5126104463760265","0.5105728420136186","0.5105728420136186","0.5105728420136186","0.4993865144934704","0.4993865144934704","0.4993865144934704","0.518813975770535","0.518813975770535","0.518813975770535","0.5051410752650051","0.5051410752650051","0.5051410752650051"
"6","0.5502033077595458","0.5502033077595458","0.5502033077595458","0.5033261852248994","0.5033261852248994","0.5033261852248994","0.4824511884012516","0.4824511884012516","0.4824511884012516","0.5714153801632729","0.5714153801632729","0.5714153801632729","0.5226549453511341","0.5226549453511341","0.5226549453511341","0.5302539819839885","0.5302539819839885","0.5302539819839885","0.5420878182671502","0.5420878182671502","0.5420878182671502","0.5384255723305563","0.5384255723305563","0.5384255723305563","0.5363676274952789","0.5363676274952789","0.5363676274952789","0.5210326679090823","0.5210326679090823","0.5210326679090823","0.513607912138384","0.513607912138384","0.513607912138384","0.537232219829441","0.537232219829441","0.537232219829441"
"7","0.5334553740843035","0.5334553740843035","0.5334553740843035","0.537249591392244","0.537249591392244","0.537249591392244","0.5515656063829997","0.5515656063829997","0.5515656063829997","0.5632325937292517","0.5632325937292517","0.5632325937292517","0.5377592517483324","0.5377592517483324","0.5377592517483324","0.5314054686674674","0.5314054686674674","0.5314054686674674","0.5393771463447569","0.5393771463447569","0.5393771463447569","0.5672326034111053","0.5672326034111053","0.5672326034111053","0.5439690358621387","0.5439690358621387","0.5439690358621387","0.521021587353738","0.521021587353738","0.521021587353738","0.5379460857747626","0.5379460857747626","0.5379460857747626","0.5443072835667975","0.5443072835667975","0.5443072835667975"
"8","0.5484677876690893","0.5484677876690893","0.5484677876690893","0.5531585168380462","0.5531585168380462","0.5531585168380462","0.5307041209088613","0.5307041209088613","0.5307041209088613","0.5543093351003595","0.5543093351003595","0.5543093351003595","0.5573844068669145","0.5573844068669145","0.5573844068669145","0.5876019853684161","0.5876019853684161","0.5876019853684161","0.5536881705876201","0.5536881705876201","0.5536881705876201","0.5625671117486659","0.5625671117486659","0.5625671117486659","0.5279770655207497","0.5279770655207497","0.5279770655207497","0.5455136117623636","0.5455136117623636","0.5455136117623636","0.5543333256318792","0.5543333256318792","0.5543333256318792","0.5719700415066373","0.5719700415066373","0.5719700415066373"
"9","0.5822747132531163","0.5822747132531163","0.5822747132531163","0.5546523361219257","0.5546523361219257","0.5546523361219257","0.5356545293891017","0.5356545293891017","0.5356545293891017","0.5701360613881582","0.5701360613881582","0.5701360613881582","0.5318965337116222","0.5318965337116222","0.5318965337116222","0.5870177851901999","0.5870177851901999","0.5870177851901999","0.5777763006924581","0.5777763006924581","0.5777763006924581","0.5796298565967423","0.5796298565967423","0.5796298565967423","0.5774503276801344","0.5774503276801344","0.5774503276801344","0.5615935867063954","0.5615935867063954","0.5615935867063954","0.554057707009227","0.554057707009227","0.554057707009227","0.5952624621036584","0.5952624621036584","0.5952624621036584"
