"Step","GNN_expression_cnv_1 - gene_ap","GNN_expression_cnv_1 - gene_ap__MIN","GNN_expression_cnv_1 - gene_ap__MAX","GNN_expression_cnv_999 - gene_ap","GNN_expression_cnv_999 - gene_ap__MIN","GNN_expression_cnv_999 - gene_ap__MAX","GNN_expression_cnv_42 - gene_ap","GNN_expression_cnv_42 - gene_ap__MIN","GNN_expression_cnv_42 - gene_ap__MAX","GNN_cnv_expression_1 - gene_ap","GNN_cnv_expression_1 - gene_ap__MIN","GNN_cnv_expression_1 - gene_ap__MAX","GNN_cnv_expression_999 - gene_ap","GNN_cnv_expression_999 - gene_ap__MIN","GNN_cnv_expression_999 - gene_ap__MAX","GNN_cnv_expression_42 - gene_ap","GNN_cnv_expression_42 - gene_ap__MIN","GNN_cnv_expression_42 - gene_ap__MAX","GNN_cnv_soft_1 - gene_ap","GNN_cnv_soft_1 - gene_ap__MIN","GNN_cnv_soft_1 - gene_ap__MAX","GNN_cnv_soft_999 - gene_ap","GNN_cnv_soft_999 - gene_ap__MIN","GNN_cnv_soft_999 - gene_ap__MAX","GNN_cnv_soft_42 - gene_ap","GNN_cnv_soft_42 - gene_ap__MIN","GNN_cnv_soft_42 - gene_ap__MAX","GNN_expression_1 - gene_ap","GNN_expression_1 - gene_ap__MIN","GNN_expression_1 - gene_ap__MAX","GNN_expression_999 - gene_ap","GNN_expression_999 - gene_ap__MIN","GNN_expression_999 - gene_ap__MAX","GNN_expression_42 - gene_ap","GNN_expression_42 - gene_ap__MIN","GNN_expression_42 - gene_ap__MAX","GNN_cnv_1 - gene_ap","GNN_cnv_1 - gene_ap__MIN","GNN_cnv_1 - gene_ap__MAX","GNN_cnv_999 - gene_ap","GNN_cnv_999 - gene_ap__MIN","GNN_cnv_999 - gene_ap__MAX","GNN_cnv_42 - gene_ap","GNN_cnv_42 - gene_ap__MIN","GNN_cnv_42 - gene_ap__MAX"
"10","0.4417409386545526","0.4417409386545526","0.4417409386545526","0.4427502068969901","0.4427502068969901","0.4427502068969901","0.4459825972013246","0.4459825972013246","0.4459825972013246","0.44723535793904906","0.44723535793904906","0.44723535793904906","0.45410752607829963","0.45410752607829963","0.45410752607829963","0.44086660029556335","0.44086660029556335","0.44086660029556335","0.44326585749107345","0.44326585749107345","0.44326585749107345","0.43957937169356776","0.43957937169356776","0.43957937169356776","0.4458859712911291","0.4458859712911291","0.4458859712911291","0.44015747174299125","0.44015747174299125","0.44015747174299125","0.44500078627440265","0.44500078627440265","0.44500078627440265","0.441216428194892","0.441216428194892","0.441216428194892","0.44384266916675197","0.44384266916675197","0.44384266916675197","0.4394559170675809","0.4394559170675809","0.4394559170675809","0.4507422394075618","0.4507422394075618","0.4507422394075618"
"11","0.4399199900258277","0.4399199900258277","0.4399199900258277","0.4404793691675974","0.4404793691675974","0.4404793691675974","0.4437541731240641","0.4437541731240641","0.4437541731240641","0.44942544318965094","0.44942544318965094","0.44942544318965094","0.44587168297220625","0.44587168297220625","0.44587168297220625","0.44569070869246213","0.44569070869246213","0.44569070869246213","0.4417533389944483","0.4417533389944483","0.4417533389944483","0.4366107674981781","0.4366107674981781","0.4366107674981781","0.44519576857952736","0.44519576857952736","0.44519576857952736","0.44374279302564656","0.44374279302564656","0.44374279302564656","0.4476115077044419","0.4476115077044419","0.4476115077044419","0.45913355770803144","0.45913355770803144","0.45913355770803144","0.44525785595689527","0.44525785595689527","0.44525785595689527","0.44062007870802217","0.44062007870802217","0.44062007870802217","0.44267228681975923","0.44267228681975923","0.44267228681975923"
"12","0.4533708907772276","0.4533708907772276","0.4533708907772276","0.441198912887386","0.441198912887386","0.441198912887386","0.4468530187902054","0.4468530187902054","0.4468530187902054","0.438370420905873","0.438370420905873","0.438370420905873","0.44959678265136394","0.44959678265136394","0.44959678265136394","0.43700585780019313","0.43700585780019313","0.43700585780019313","0.4366410298721005","0.4366410298721005","0.4366410298721005","0.44471135808590445","0.44471135808590445","0.44471135808590445","0.44745218478876647","0.44745218478876647","0.44745218478876647","0.44725897198612863","0.44725897198612863","0.44725897198612863","0.45359901227899085","0.45359901227899085","0.45359901227899085","0.4445900370149648","0.4445900370149648","0.4445900370149648","0.44953353837245874","0.44953353837245874","0.44953353837245874","0.43613460914446944","0.43613460914446944","0.43613460914446944","0.44992682765409303","0.44992682765409303","0.44992682765409303"
"13","0.44716275672140465","0.44716275672140465","0.44716275672140465","0.44439629405073083","0.44439629405073083","0.44439629405073083","0.44651134302397655","0.44651134302397655","0.44651134302397655","0.4424647553496188","0.4424647553496188","0.4424647553496188","0.4437127248813039","0.4437127248813039","0.4437127248813039","0.4503568856111966","0.4503568856111966","0.4503568856111966","0.44145025655412573","0.44145025655412573","0.44145025655412573","0.44057306303213556","0.44057306303213556","0.44057306303213556","0.44429678559702873","0.44429678559702873","0.44429678559702873","0.44746963091994874","0.44746963091994874","0.44746963091994874","0.4437245017812221","0.4437245017812221","0.4437245017812221","0.4483048325653053","0.4483048325653053","0.4483048325653053","0.44603418358401303","0.44603418358401303","0.44603418358401303","0.4432790768628142","0.4432790768628142","0.4432790768628142","0.44137106400685094","0.44137106400685094","0.44137106400685094"
"14","0.4474367858263384","0.4474367858263384","0.4474367858263384","0.44816001042322823","0.44816001042322823","0.44816001042322823","0.4399281344442585","0.4399281344442585","0.4399281344442585","0.44731914264521994","0.44731914264521994","0.44731914264521994","0.4437255075865028","0.4437255075865028","0.4437255075865028","0.4404870074081283","0.4404870074081283","0.4404870074081283","0.43930257826605823","0.43930257826605823","0.43930257826605823","0.4387558376051472","0.4387558376051472","0.4387558376051472","0.4482864971137844","0.4482864971137844","0.4482864971137844","0.44690594678525286","0.44690594678525286","0.44690594678525286","0.44408919258941537","0.44408919258941537","0.44408919258941537","0.44966788835997196","0.44966788835997196","0.44966788835997196","0.44025524462601434","0.44025524462601434","0.44025524462601434","0.44250924379321305","0.44250924379321305","0.44250924379321305","0.4471632192385859","0.4471632192385859","0.4471632192385859"
"15","0.44115807708805904","0.44115807708805904","0.44115807708805904","0.4465196625305875","0.4465196625305875","0.4465196625305875","0.4458157965778508","0.4458157965778508","0.4458157965778508","0.4455051863339475","0.4455051863339475","0.4455051863339475","0.4552448020822572","0.4552448020822572","0.4552448020822572","0.4512507151713593","0.4512507151713593","0.4512507151713593","0.4451390945730447","0.4451390945730447","0.4451390945730447","0.4437836087184336","0.4437836087184336","0.4437836087184336","0.44950738801323226","0.44950738801323226","0.44950738801323226","0.4454026696449578","0.4454026696449578","0.4454026696449578","0.45079643771061356","0.45079643771061356","0.45079643771061356","0.4454888686070772","0.4454888686070772","0.4454888686070772","0.44422896976460813","0.44422896976460813","0.44422896976460813","0.441089008564715","0.441089008564715","0.441089008564715","0.4500071910893034","0.4500071910893034","0.4500071910893034"
"16","0.4450023934867725","0.4450023934867725","0.4450023934867725","0.44681577570153064","0.44681577570153064","0.44681577570153064","0.4494430726504408","0.4494430726504408","0.4494430726504408","0.4450953775840822","0.4450953775840822","0.4450953775840822","0.4528210519377104","0.4528210519377104","0.4528210519377104","0.4442736481090356","0.4442736481090356","0.4442736481090356","0.44829440842524454","0.44829440842524454","0.44829440842524454","0.4435613736823327","0.4435613736823327","0.4435613736823327","0.45037608992771533","0.45037608992771533","0.45037608992771533","0.4422752622169294","0.4422752622169294","0.4422752622169294","0.45751483127227954","0.45751483127227954","0.45751483127227954","0.44642549399544107","0.44642549399544107","0.44642549399544107","0.44487373622617504","0.44487373622617504","0.44487373622617504","0.4463423010979107","0.4463423010979107","0.4463423010979107","0.44284132374951596","0.44284132374951596","0.44284132374951596"
"17","0.4523136076545253","0.4523136076545253","0.4523136076545253","0.44584568972892413","0.44584568972892413","0.44584568972892413","0.4472927372851373","0.4472927372851373","0.4472927372851373","0.4480493902370371","0.4480493902370371","0.4480493902370371","0.4458411424572019","0.4458411424572019","0.4458411424572019","0.4489826345042844","0.4489826345042844","0.4489826345042844","0.45063000414020227","0.45063000414020227","0.45063000414020227","0.43844097967600426","0.43844097967600426","0.43844097967600426","0.4530257433589751","0.4530257433589751","0.4530257433589751","0.4476390943337412","0.4476390943337412","0.4476390943337412","0.448184733658941","0.448184733658941","0.448184733658941","0.4541908035783969","0.4541908035783969","0.4541908035783969","0.44631255335070796","0.44631255335070796","0.44631255335070796","0.4537289604095866","0.4537289604095866","0.4537289604095866","0.4436160417200737","0.4436160417200737","0.4436160417200737"
"18","0.43977245687332805","0.43977245687332805","0.43977245687332805","0.4389938612782249","0.4389938612782249","0.4389938612782249","0.4479342302212117","0.4479342302212117","0.4479342302212117","0.44886694409654176","0.44886694409654176","0.44886694409654176","0.45297414529095864","0.45297414529095864","0.45297414529095864","0.4438211184584481","0.4438211184584481","0.4438211184584481","0.439960383358927","0.439960383358927","0.439960383358927","0.4463882245212403","0.4463882245212403","0.4463882245212403","0.44693504533757833","0.44693504533757833","0.44693504533757833","0.4458147242552226","0.4458147242552226","0.4458147242552226","0.450825034459221","0.450825034459221","0.450825034459221","0.4432484689859279","0.4432484689859279","0.4432484689859279","0.4466303287681686","0.4466303287681686","0.4466303287681686","0.44312009448560674","0.44312009448560674","0.44312009448560674","0.44567809570849987","0.44567809570849987","0.44567809570849987"
"19","0.4517957334933682","0.4517957334933682","0.4517957334933682","0.4458246471284577","0.4458246471284577","0.4458246471284577","0.4432224772527764","0.4432224772527764","0.4432224772527764","0.4494730703003328","0.4494730703003328","0.4494730703003328","0.4468221593049157","0.4468221593049157","0.4468221593049157","0.4425761164927086","0.4425761164927086","0.4425761164927086","0.44468453800212576","0.44468453800212576","0.44468453800212576","0.4406044687294592","0.4406044687294592","0.4406044687294592","0.44910698068068367","0.44910698068068367","0.44910698068068367","0.44515474186593673","0.44515474186593673","0.44515474186593673","0.45235874806187204","0.45235874806187204","0.45235874806187204","0.4509178293227804","0.4509178293227804","0.4509178293227804","0.44675407587913135","0.44675407587913135","0.44675407587913135","0.44421545881893376","0.44421545881893376","0.44421545881893376","0.4453803073242481","0.4453803073242481","0.4453803073242481"
