,GNN_expression_cnv_1,GNN_expression_cnv_999,GNN_expression_cnv_42,Mean,Stdev,GNN_cnv_expression_1,GNN_cnv_expression_999,GNN_cnv_expression_42,Mean,Stdev,GNN_cnv_soft_1,GNN_cnv_soft_999,GNN_cnv_soft_42,Mean,Stdev,GNN_expression_1,GNN_expression_999,GNN_expression_42,Mean,Stdev,GNN_cnv_1,GNN_cnv_999,GNN_cnv_42,Mean,Stdev
TestAP,0.9347192563057805,0.9292984485215596,0.929629405398657,0.9312157034086658,0.0021486676442374016,0.9352246590113368,0.9305436438194322,0.9262925735638954,0.9306869587982215,0.0031591883449279823,0.9348049020449654,0.9329890414839278,0.9482708660186632,0.9386882698491853,0.00590313261771874,0.924136509754891,0.925715345741718,0.9192230978324836,0.9230249844430309,0.0023941529940585513,0.9258906182654688,0.927186326056408,0.9347102302441992,0.9292623915220254,0.003367411819705728
AssayAP,0.5719924134395693,0.6014716999329807,0.5920871156065252,0.5885170763263584,0.010649318484922092,0.5457142818200069,0.5881305230670091,0.5743168872803555,0.5693872307224571,0.015297230398263181,0.6124560433906155,0.6161011238578257,0.6099570454650296,0.6128380709044903,0.002184820769562559,0.5443272153796097,0.5896547441065793,0.5617925987506052,0.5652581860789314,0.016165610671596258,0.5336949771832088,0.5456602841411669,0.5662651196633092,0.5485401269958948,0.011649542189383582
GeneAP,0.4560430985510659,0.45428075995273,0.456561871948247,0.4556285768173476,0.0008454996111224695,0.4576001925158002,0.4479834836802417,0.4523780377589436,0.4526539046516618,0.003404214234874964,0.4433624960237585,0.447381613719054,0.4523323385832477,0.44769214944202007,0.0031770145744027052,0.4509047202665316,0.4559388783051259,0.4580425239774665,0.454962040849708,0.002593522605905855,0.4484260670828911,0.4503923819702421,0.449663815352081,0.44949408813507147,0.0007029239130944057
