,times in top 5%,Mean Prob,Original Dependency,Original Dependency Score
SF3A1,37,0.9767456119124954,19,-1.497048778469106
PPWD1,37,0.9853847655090124,31,-1.8115368384534924
DYNC1H1,37,0.9726134710483726,25,-1.5459737474568989
ORC6,37,0.9830416612796955,36,-2.2210142366331174
H2BC15,37,0.9822552687412983,37,-2.17885949727584
SNRNP27,37,0.9613976553753689,10,-1.3592009771176088
SPC25,37,0.9783089842882241,31,-1.7815668205337476
DDX49,37,0.9790866434037148,28,-1.6270200472299015
COPA,37,0.9730572555516215,34,-1.9944488771564088
SNRPA1,37,0.9924925694594512,36,-2.8504458574097895
PSMC5,37,0.9183426373176746,10,-1.369325147363893
MCM2,37,0.991344714486921,34,-1.9767903882501607
SUPT5H,37,0.9657273485853866,22,-1.5807742401129032
CDC5L,37,0.9858312617551098,32,-1.951468027863127
CLP1,37,0.9689539380975671,25,-1.6461680568298427
MMS22L,37,0.9773343248410267,22,-1.6317234004533496
SOD2,37,0.9045754942271085,11,-1.1878734000477447
PSMD7,37,0.9755525841369285,23,-1.626921150327489
EPRS1,37,0.9768001147218652,32,-1.7756049522145587
SRSF2,37,0.9903950245530755,37,-2.7205514868813756
SRSF3,37,0.9867305213266665,37,-2.713979452691788
NEDD1,37,0.9805337545034047,34,-1.9354561268372878
UBE2I,37,0.9757447436049178,33,-1.9238702800760457
TONSL,37,0.9872712686255174,34,-1.8950688939188256
SNW1,37,0.9777084465499396,26,-1.6052784324212306
POLR1C,37,0.9825054498406142,37,-1.930425017465551
CDC16,37,0.9849495007111149,36,-2.377527372465147
CCT4,37,0.9902830693098874,36,-2.1623927075129177
GSPT1,37,0.9640175243755722,20,-1.4481672424975152
DHX8,37,0.9667515786918432,16,-1.4738954553397825
CCT3,37,0.9850224857931739,34,-2.087645559835257
VPS28,37,0.9808733307563507,26,-1.6377374935468703
NOP56,37,0.9726998306609487,24,-1.6235462941117147
SF3A2,37,0.9712497849722168,25,-1.6083578840008639
EIF3I,37,0.985338952627268,24,-1.6274021952569726
POLA2,37,0.960319676377752,21,-1.449234126391272
EEF1A1,37,0.9585756111789392,14,-1.907562212066515
RBM22,37,0.9724777883237548,22,-1.5301095682403043
MAT2A,37,0.9651620758546365,21,-1.5071701259380055
POLR1F,37,0.9829542223397675,33,-1.9415363156979943
TINF2,37,0.9798782043628865,31,-1.915935024639245
CNOT3,37,0.9553963321823258,17,-1.5290122240504556
ELL,37,0.9756491844718521,24,-1.6558216970354416
SNRPE,37,0.9704587330689304,23,-1.8962416308945351
POLR2E,37,0.9772721335694596,22,-1.6184325139048092
TCP1,37,0.9693582262004817,26,-1.65302164692658
IPO13,37,0.9555725836539053,10,-1.2507198627400955
CHMP6,37,0.983526498347789,30,-1.7337865407467947
MCM5,37,0.9807067824913576,21,-1.555110687990194
PSMC2,37,0.9764684143367114,22,-1.6019985654842648
SYS1,37,0.9542943013680948,16,-1.5496512751991818
MARS1,37,0.9713231980263647,33,-1.833334774712408
NOP58,37,0.9858153988649179,29,-1.805193705707675
RFC5,37,0.9764268247930853,17,-1.4574410235438648
OGT,37,0.960479844797839,27,-1.6645829835936463
POLD1,37,0.9866194445807654,37,-2.5756964440597203
PRPF6,37,0.8973348221263369,10,-1.2955715166931077
MAK16,37,0.9895464181900027,33,-1.775116680885517
ECD,37,0.9858384980811731,33,-1.9465868069447183
PSMG4,37,0.9047418294457703,22,-1.632721150544384
SF3A3,37,0.9849094694799131,37,-2.42621620249774
TAF6,37,0.975299982874243,19,-1.5480231527001092
XPO1,37,0.975341903196799,30,-1.7579840138090457
ATP6V1B2,37,0.967533032099406,22,-1.6383097841597265
NCAPG,37,0.9728662124625199,26,-1.6773010154295172
CIAO3,37,0.9789600962991114,34,-1.9800726597923595
XAB2,37,0.9834756861935864,37,-2.2718253541225004
PMF1,37,0.9700112036756567,23,-1.562310318457176
GRPEL1,37,0.953318466474344,11,-1.3465902847240745
POLR3A,37,0.9731212634224076,34,-2.1820923505480305
NUP93,37,0.974036063696887,26,-1.7664563974988636
PMPCB,37,0.9777453031625832,30,-1.6995993234242068
SNRPG,37,0.9619971911112468,21,-1.972280138952013
ETF1,37,0.9752117604822725,29,-1.7730679965440415
EIF3B,37,0.9802357318165067,35,-2.000575188694984
COPS5,37,0.9739460295385068,24,-1.6559908249078057
RNGTT,37,0.9852683436763178,31,-1.8404824533869586
MED6,37,0.9757791016552901,25,-1.539370077702357
U2AF2,37,0.9708028382009214,23,-1.581782786003312
EIF4E,37,0.966657903280344,24,-1.684001458368784
EIF3A,37,0.9670016803182998,28,-1.729122015280422
CRNKL1,37,0.9789293515789613,27,-1.6678135212979477
GTF2B,37,0.972615169512259,30,-2.0573539263323357
DTYMK,37,0.9714739344141505,26,-1.7190606902214702
EIF2S1,37,0.9799104843053735,28,-1.6201970707981688
SF3B6,37,0.9842629813933157,33,-1.8507408291699894
WDR82,37,0.9674370643254873,23,-1.5901490041098665
SF3B3,37,0.9838278964833096,35,-2.4108494200904005
ZPR1,37,0.9835249620514949,20,-1.5213678965688386
PRPF31,37,0.982452168657973,37,-2.0564862958805747
PSMD2,37,0.9635088304141619,20,-1.522275279014324
NFS1,37,0.971041947871715,26,-1.741251728740207
NDC80,37,0.9209257624707782,14,-1.401495574237042
COPS6,37,0.9734487538939123,27,-1.6518566105091772
IK,37,0.9599301165288634,18,-1.5058571394778801
SMC4,37,0.9868668570174824,22,-1.549299116106237
RPSA,37,0.9688773327045612,17,-2.4248332695244375
PSMD6,37,0.9775530980513978,30,-1.8931074982948661
CKAP5,37,0.9751445634945018,33,-2.008552165378016
PSMB2,37,0.9905578934394562,37,-2.061461117618907
UTP20,37,0.9774654421720417,18,-1.4851701001995958
RPS2,37,0.9626134279611949,16,-2.0206527738360656
HEATR1,37,0.9854612967989467,26,-1.8023307716401171
SNRNP35,37,0.979355019492072,25,-1.6370388044724784
RACGAP1,37,0.9378423126968177,16,-1.4646867305329503
PFDN6,37,0.9659517761823295,20,-1.563425165656635
NSF,37,0.9809729741500306,33,-2.0590413127319684
PSMD3,37,0.9861127863059173,25,-1.6857408879426992
DDX54,37,0.9585870262738823,25,-1.653388871753166
CDT1,37,0.9749372102118827,34,-1.92501830477974
GPN2,37,0.9746392959946986,34,-2.1818873093952678
CCT6A,37,0.9765978997892089,18,-1.5319568886543762
POLR2F,37,0.9762086938093373,33,-2.108030074486261
YKT6,37,0.970411838711919,18,-1.4807106796556702
CDK7,37,0.9791461567620974,27,-1.7755224898520336
ALG2,37,0.9843285835541046,22,-1.5617093985911232
RPS21,37,0.9834072670421085,27,-1.62722865271823
PAM16,37,0.9628625769872923,20,-1.4347775335136865
NARS1,37,0.9703679385485949,29,-1.833383927535332
MED11,37,0.9620080982242621,35,-2.1911007386244195
IARS1,37,0.9781032993986802,34,-1.888703518081915
INTS3,37,0.9723999140498876,22,-1.511234860913973
RRP12,37,0.9408502071290401,12,-1.2866403384435845
QARS1,37,0.9665066658913551,30,-1.786382751644256
SEC61A1,37,0.9504662830013412,28,-1.6732481574651568
EIF2B2,37,0.9817179103155393,23,-1.5922275934778316
H2BC4,37,0.9751902560929996,27,-1.6994968557287309
HCFC1,37,0.9335584216289693,27,-1.6510909833038858
ATP6V0C,37,0.9793239488258018,36,-2.4237801244891437
EIF1,37,0.9611773045213372,14,-1.485170317693241
PSMD4,37,0.9563213243140832,17,-1.4032146808532988
SART3,37,0.9757132567800918,25,-1.6215001305551475
ANAPC11,37,0.9601693056725169,23,-1.5647647469999806
GTF2E1,37,0.8671904657338116,8,-1.2825023582210366
DDX10,37,0.9356433867334244,12,-1.3541581002494938
MED30,37,0.9707890426790392,33,-2.078214565207458
COPB2,37,0.9740610117310876,34,-2.0604821320266025
PSMC4,37,0.9815821583206589,24,-1.568066392900856
ISCU,37,0.9783231997275139,34,-2.0327043917182452
KANSL2,37,0.9561893070066295,11,-1.1884499852723394
SUPT16H,37,0.9797797041970331,32,-1.755433396143247
RSL1D1,37,0.9479430763571112,10,-1.3563868489479658
SAE1,37,0.937544810342359,18,-1.507521801088324
RBBP4,37,0.9801223047144777,25,-1.5982454885989377
UPF2,37,0.9486053441021893,16,-1.4196292852833232
UBE2M,37,0.969666043917338,20,-1.5238860051722345
CTCF,37,0.9381559883152043,26,-1.6876165238616712
CDC6,37,0.930870699989903,13,-1.4052713613962426
PHB2,37,0.9694819794044841,34,-2.074010332143654
RUVBL1,37,0.9791354751801706,24,-1.579762765147592
YBX1,37,0.9684940420829501,23,-1.6763198705237041
DYNC1I2,37,0.975791942965877,26,-1.6379650816561837
TUBG1,37,0.9651341191283219,21,-1.5475329550603856
SRSF11,37,0.9352306229574185,9,-1.3216406894389745
NIFK,37,0.9816683428781526,33,-1.8689406556129409
ATP6V1A,37,0.9545943817576846,24,-1.7043004881540575
CHEK1,37,0.9649832705119707,27,-1.70165072437811
USP39,37,0.9548473019857666,22,-1.5625872162804086
DHX37,37,0.9817461473447783,34,-1.7879708009878172
LSM8,37,0.943141982362077,14,-1.3689879159393366
HINFP,37,0.9534063827884091,27,-1.6512156885033988
SBDS,37,0.9741066935900096,20,-1.568678434810618
SKP1,37,0.9470329386693938,15,-1.3895887949625851
LSM5,37,0.9345876684596945,18,-1.4557053932645423
TIMELESS,37,0.9090470056813045,10,-1.34596551082216
RAD21,37,0.9581343327556643,25,-1.5488179460422256
GTPBP4,37,0.9701744699263357,29,-1.7609531880965743
H3-3A,37,0.9268507828583589,20,-1.8342974644569845
POLE2,37,0.9530956444439586,21,-1.4189466470427523
PSMD12,37,0.9605875187092,23,-1.5417218399129193
NOB1,37,0.9019508914904553,9,-1.3021080956934612
CHMP4B,37,0.9732486165321624,31,-1.911526470167129
NIP7,37,0.9813716728408057,36,-2.2804621884703926
PABPC1,37,0.9137591628340989,9,-1.2269841337987943
RPS25,37,0.9156584191966701,10,-1.3509444332013218
CCT8,37,0.9330350090791515,15,-1.4730278943920645
SSU72,37,0.9634125850222133,23,-1.5617659357758453
TUBB,37,0.9801883858603402,21,-1.6398825994723494
RFC3,37,0.9794709183074333,23,-1.5345669164437339
GEMIN5,37,0.9469923908646041,17,-1.4845521868275346
POLD3,37,0.9504537926063882,24,-1.657130423863521
IMP3,37,0.9741978682913218,20,-1.5598020464919393
TUBGCP3,37,0.8969062017696398,10,-1.3394941568951075
FCF1,37,0.9700801979314099,17,-1.497747287897655
POLE,37,0.9655442479494454,20,-1.5572235282436346
RPS17,37,0.9393547150465817,11,-1.4301046594949152
DYNLRB1,37,0.961042969613462,28,-1.955333319790217
RABGGTB,37,0.9238104302066941,16,-1.4601240100401904
PCBP1,37,0.9538203934291463,13,-1.3545215858940352
POLR3H,37,0.961007119836034,23,-1.6128977380773497
RNPC3,37,0.9502642143954027,24,-1.6829340438746894
DKC1,37,0.9108644369486217,13,-1.392138053751742
LONP1,37,0.9747034971778458,17,-1.3507662875662116
U2SURP,37,0.9497815966606142,11,-1.3495674368815365
RRS1,37,0.9168018572502308,8,-1.3522526154222598
PABPN1,37,0.9682805677791975,24,-1.5660390377391675
GINS4,37,0.9259970515697926,11,-1.35446855003132
CENPK,37,0.9313874395044001,20,-1.5114157891394537
TRAPPC3,37,0.9586216683860297,24,-1.6712930011417202
CDCA8,37,0.9399899485948922,17,-1.429252867877383
HNRNPH1,37,0.9314666159518131,14,-1.3720095829882142
MDN1,37,0.9487464100390941,22,-1.5703486077167892
NSA2,37,0.9626395385544578,22,-1.6320107617877686
EXOSC2,37,0.9668493764894502,16,-1.4597807073766598
SNRNP70,37,0.9573012724653022,11,-1.4477492894215405
POLD2,37,0.9405224564913158,17,-1.4445362682666856
SEC13,37,0.9597299582249411,18,-1.4652508223988412
USP5,37,0.9827145875037254,11,-1.337304196371451
SFPQ,37,0.9232255770816459,21,-1.5057447381450009
YJU2,37,0.9380662972862656,16,-1.453531984895931
ZBTB8OS,37,0.9189416546005386,10,-1.3192805886241807
CENPW,37,0.9548874287991909,26,-1.7856602249716402
RPP21,37,0.959444006284078,18,-1.5309982510670475
PLK4,37,0.9425230128271085,9,-1.3314865673284195
NUP88,37,0.9398456113832492,9,-1.2806439150031017
TRRAP,37,0.8795630091482454,13,-1.409422716819332
SPATA5L1,37,0.9432790244484806,7,-1.197081901579112
POLR3K,37,0.9694227361464285,20,-1.505628153875865
RBM17,37,0.9452279771233465,11,-1.3532670305501417
RCC1,37,0.9628221564464742,29,-1.8061286253513622
LCE2C,37,0.9550361837352718,13,-1.7347181468792354
NCBP1,37,0.9248045626524333,11,-1.3268519744560785
SCFD1,37,0.9233688985979235,9,-1.2701869513997408
EIF5,37,0.9190811050367784,9,-1.3073492388192727
WDR36,37,0.9343968635206823,15,-1.7630453034712816
CPSF1,37,0.8778120910262204,9,-1.3099799425660372
WDR70,37,0.9644607949901274,13,-1.7571441104835335
USP7,37,0.853219836950302,7,-0.950357150146406
SF3B2,37,0.9164958121003332,10,-1.3293984174581468
TRAPPC8,37,0.8494581392219476,11,-1.3162941333680058
DDX18,37,0.9184969145435473,16,-1.503238460385339
NUDT21,37,0.9438973804851909,24,-1.6077029792852693
RBX1,37,0.9210548808982781,11,-1.412037986454514
PDRG1,37,0.9420027526112291,22,-1.5327111658540842
POLR2H,37,0.9502217630008318,25,-1.5720545292816706
GTF2A2,37,0.9362780983383593,11,-1.3881678058824634
EIF2S3,37,0.9751882676605707,34,-1.872992233773013
PPIL2,37,0.8826939426026902,14,-1.4252457212764362
UFD1,37,0.9421982781307118,16,-1.4495502304228838
RBM25,37,0.9238412084880178,15,-1.4962258549358545
KAT8,37,0.923258703571182,20,-1.5936990405900298
PWP2,37,0.9552428668683713,19,-1.4992090051834106
ALDOA,37,0.85348192716504,5,-1.0743423003816925
GUK1,37,0.9261901937089524,18,-1.4708937075714146
KPNB1,37,0.9392905858185914,31,-1.8261394875336978
COPZ1,37,0.8765929746735205,10,-1.336073700701121
NUP133,37,0.9334893167555868,11,-1.3857430721311965
DPAGT1,37,0.9127125487671245,18,-1.513558678955865
EIF4A1,37,0.8783191686814971,9,-1.1846667346314208
GAPDH,37,0.8105714522503517,10,-1.2983225031759562
PSMC1,37,0.8922911906564558,9,-1.2401275924650959
PAK1IP1,37,0.925896782595832,14,-1.4164282903955097
CRCP,37,0.9609251999640249,19,-1.509947387261623
SNAPC1,37,0.9470968037038234,24,-1.7077066101239124
THAP1,37,0.919022003809611,15,-1.5358835606421894
PKMYT1,37,0.858079270468102,14,-1.353072096197447
TNPO3,37,0.9081479113649678,12,-1.3710101201651521
ANAPC4,37,0.8801562783417399,6,-1.2257741480880449
CDK9,37,0.9374680707046577,15,-1.433053065269816
INTS4,37,0.9371867228198696,13,-1.720333128821169
ANAPC10,37,0.9483506894326426,23,-1.595571031202897
WDR77,37,0.9708009018554343,18,-1.4625347477509152
CPSF2,37,0.9351270123644992,18,-1.4305499594836002
BRF1,37,0.9002013585051974,13,-1.4212246175510197
DHX15,37,0.9617903844730274,17,-1.4772963628596463
SMC1A,37,0.8752199448980728,8,-1.3082565624210063
NELFB,37,0.9119306332893199,8,-1.2203083030929944
HAUS5,37,0.916151312825916,15,-1.4346271531898183
TOMM40,37,0.8998639731256812,21,-1.5787832024596855
KIN,37,0.9485109142355018,11,-1.3497432302786216
EIF3G,37,0.9096908335750166,12,-1.3658454346600395
SNAPC2,37,0.8555989797050888,13,-1.4124719429407373
EXOSC3,37,0.9119243949383229,12,-1.3937471951987301
RANGAP1,37,0.9232254076648403,14,-1.4130331036515806
NAPA,37,0.8911916014847455,9,-1.1350488216102925
TBL3,37,0.8987105445818857,9,-1.3154513715115375
KIF11,37,0.9954010919407683,35,-2.578703566666825
LARS1,37,0.7973844923146135,10,-1.2842417189857123
SNRPD3,37,0.9464442993069555,17,-4.628475809254397
PRPF4,37,0.9162627639802728,6,-1.2029350425032415
ABCB7,37,0.8331335831332852,13,-1.3389738216611786
