,GNN_expression_cnv_soft_1,GNN_expression_cnv_soft_999,GNN_expression_cnv_soft_42,Mean,Stdev,GNN_cnv_soft_expression_1,GNN_cnv_soft_expression_999,GNN_cnv_soft_expression_42,Mean,Stdev,GNN_expression_rnd_1,GNN_expression_rnd_999,GNN_expression_rnd_42,Mean,Stdev,GNN_cnv_rnd_1,GNN_cnv_rnd_999,GNN_cnv_rnd_42,Mean,Stdev,GNN_expression_cnv_1,GNN_expression_cnv_999,GNN_expression_cnv_42,Mean,Stdev,GNN_cnv_expression_1,GNN_cnv_expression_999,GNN_cnv_expression_42,Mean,Stdev,GNN_cnv_full_1,GNN_cnv_full_999,GNN_cnv_full_42,Mean,Stdev,GNN_expression_full_1,GNN_expression_full_999,GNN_expression_full_42,Mean,Stdev,GNN_cnv_soft_rnd_1,GNN_cnv_soft_rnd_999,GNN_cnv_soft_rnd_42,Mean,Stdev,GNN_cnv_soft_99,GNN_cnv_soft_42,GNN_cnv_soft_1,Mean,Stdev,GNN_expression_99,GNN_expression_42,GNN_expression_1,Mean,Stdev,GNN_cnv_99,GNN_cnv_42,GNN_cnv_1,Mean,Stdev
TestAP,0.9547755334373108,0.9481180439191316,0.9487156168165846,0.9505363980576756,0.0026045129023579915,0.9539243860140306,0.9384474941187602,0.9474266046833528,0.9465994949387145,0.005495299290381227,0.9307835165909862,0.9229511313683848,0.9241673531974572,0.9259673337189428,0.0029804791541882814,0.9140611394309692,0.9058141641343764,0.894869360483194,0.9049148880161799,0.006807628733547248,0.9478583126840414,0.9398163850349788,0.9433081067819796,0.9436609348336665,0.0028514483866740833,0.949034066383749,0.9382470611906354,0.9480740454960288,0.945118391023471,0.004221480207221626,0.9302896055252292,0.9218041275934652,0.94025204754868,0.9307819268891248,0.006529288740456877,0.9343149141303682,0.9197546246232148,0.9404284984679152,0.9314993457404994,0.00750992123644344,0.9107893477367268,0.9147415616761666,0.9155358432775936,0.9136889175634958,0.0017976859710225666,0.9505195388133582,0.940573105271151,0.946190956719239,0.9457612002679161,0.0035264290016939316,0.9427964370621528,0.9427235579522152,0.94006372992405,0.9418612416461393,0.0011010481675323683,0.9509377057110174,0.9429234106808824,0.9469713175786652,0.9469441446568551,0.0028335300407152627
AssayAP,0.7027474873901524,0.6861558946267109,0.7134511748806918,0.700784852299185,0.009724891603793376,0.706453318844191,0.6593096720402698,0.7058406930630301,0.6905345613158304,0.01912248820486231,0.5949435894292241,0.582106477555891,0.6013331243227459,0.5927943971026203,0.006923881036561167,0.5635585545239327,0.5357869256021792,0.5439793110455705,0.5477749303905607,0.010090116151485607,0.6861883129401457,0.674036302746386,0.6745793744545218,0.6782679967136844,0.004853982311741712,0.6831709843486261,0.6644575775487592,0.6771088635142236,0.674912475137203,0.006751517975291168,0.59707879979928,0.5252464325049022,0.6054847346209945,0.5759366556417255,0.031183240501128445,0.5791598294646862,0.557835414801058,0.6101772037210397,0.5823908159955947,0.018611087720874376,0.5757622831301555,0.6137695484855004,0.5832028271628327,0.5909115529261629,0.014242654152554775,0.7122662744279681,0.7202112736995788,0.7487378695954872,0.727071805907678,0.013561793578830661,0.6025669413666737,0.6396966914774094,0.6681710297361736,0.6368115541934188,0.02326174021391019,0.711001860012102,0.6805119465261825,0.7233366665239519,0.7049501576874121,0.015587759404286259
GeneAP,0.5924894876794261,0.5631851526651254,0.6352398963501041,0.5969715122315519,0.02562262603580467,0.61670715880176,0.5820880644825055,0.5877597867405484,0.5955183366749379,0.013129484865840538,0.5706348038823145,0.5907041976562758,0.5845881458338289,0.5819757157908064,0.007273710698840186,0.5886182290089093,0.5441678289125529,0.5820168960105359,0.5716009846439993,0.01696065924983752,0.5535113258486641,0.6053227860714813,0.5664612346787434,0.5750984488662962,0.01906643587952909,0.540933380332516,0.5635741645681988,0.5905835960175642,0.565030380306093,0.01757663794073568,0.5577784365323448,0.5723013414760236,0.4631604166279625,0.5310800648787769,0.04190786117118457,0.504108061285296,0.5618068838671109,0.5109891756271867,0.5256347069265311,0.02228404386676706,0.5932457761219384,0.5878547662820565,0.6073063613448353,0.5961356345829434,0.007101218172435697,0.5893628685235144,0.6053642238352389,0.6755252391087192,0.6234174438224909,0.0324070022537308,0.5614520751432406,0.5561940555791046,0.5855695891998801,0.5677385733074084,0.011076338254414052,0.562901964800957,0.5146920319513357,0.5357799956535313,0.5377913308019413,0.017089229183182463
