,GNN_expression_cnv_soft_1,GNN_expression_cnv_soft_999,GNN_expression_cnv_soft_42,Mean,Stdev,GNN_cnv_soft_expression_1,GNN_cnv_soft_expression_999,GNN_cnv_soft_expression_42,Mean,Stdev,GNN_expression_rnd_1,GNN_expression_rnd_999,GNN_expression_rnd_42,Mean,Stdev,GNN_cnv_rnd_1,GNN_cnv_rnd_999,GNN_cnv_rnd_42,Mean,Stdev,GNN_expression_cnv_1,GNN_expression_cnv_999,GNN_expression_cnv_42,Mean,Stdev,GNN_cnv_expression_1,GNN_cnv_expression_999,GNN_cnv_expression_42,Mean,Stdev,GNN_cnv_full_1,GNN_cnv_full_999,GNN_cnv_full_42,Mean,Stdev,GNN_expression_full_1,GNN_expression_full_999,GNN_expression_full_42,Mean,Stdev,GNN_cnv_soft_rnd_1,GNN_cnv_soft_rnd_999,GNN_cnv_soft_rnd_42,Mean,Stdev,GNN_cnv_soft_99,GNN_cnv_soft_42,GNN_cnv_soft_1,Mean,Stdev,GNN_expression_99,GNN_expression_42,GNN_expression_1,Mean,Stdev,GNN_cnv_99,GNN_cnv_42,GNN_cnv_1,Mean,Stdev
TestAP,0.937109199258342,0.9378004325650028,0.9454783806258428,0.9401293374830626,0.0032847106248916806,0.9459005864051886,0.9478443399352432,0.9434009801876662,0.9457153021760326,0.0015750570062345996,0.9354256978993496,0.9126967642652932,0.9122462077161732,0.9201228899602719,0.009372371589310017,0.9028884067774988,0.8944736001060148,0.892864022422901,0.8967420097688049,0.0038066607558893354,0.9495467836324496,0.93766748358647,0.940311168084494,0.9425084784344712,0.00441024783749113,0.9506115565035468,0.9328111865742492,0.93910664070716,0.9408431279283187,0.006382586987534748,0.9185199880956144,0.927145844348266,0.919188881524948,0.9216182379896095,0.0033932048749777985,0.9183180400386208,0.9114057144167308,0.939586445205282,0.923103399886878,0.010385401980717515,0.9284559113152334,0.9161634097264404,0.9100268167275336,0.9182153792564026,0.006635729652589692,0.9600087317453386,0.946818296193746,0.9579595323684796,0.9549288534358548,0.005019245889806143,0.94751865666343,0.9334239116049112,0.9269156619299026,0.9359527433994147,0.007447049438573252,0.9560096890700542,0.9427385961503812,0.952177917244103,0.9503087341548463,0.004829640819280526
AssayAP,0.6432010403617773,0.6620774058828874,0.6991589814363471,0.668145809227004,0.020130100989394235,0.6717776138890688,0.693573860843154,0.720818411117798,0.6953899619500069,0.017374170708699573,0.581215825959105,0.547608128481197,0.5827032595708894,0.5705090713370639,0.014033762903318637,0.5024722503451321,0.5437586856700923,0.5173929579066301,0.5212079646406181,0.014782728820245129,0.6790502579508608,0.6525921729665863,0.680960062028716,0.6708674976487211,0.011211655923235189,0.6648212438100778,0.6733922339428382,0.6628326824758175,0.6670153867429112,0.0039677908969249975,0.5097576491017031,0.5426232952920073,0.5506728431514583,0.5343512625150562,0.015326988789868268,0.4896259050165061,0.5512033716007128,0.5806209963655511,0.54048342432759,0.03283454442016182,0.5844305653411935,0.6176218335693257,0.5629071321181719,0.5883198436762304,0.019490632406335126,0.7269444667186163,0.7333093778476814,0.7302769098343541,0.7301769181335506,0.0022511688270092146,0.6701933333274956,0.6593748555579799,0.6279773875398693,0.6525151921417817,0.015505446725644481,0.6918260838487054,0.7142489782366904,0.721237361841872,0.7091041413090893,0.010865261813608976
GeneAP,0.5883723582693247,0.5298513358766542,0.6175514707561692,0.5785917216340494,0.03157985160046472,0.637092924631273,0.5848812115192541,0.6032684395449928,0.6084141918985067,0.01872664975356926,0.5649143099909323,0.5821282972260814,0.5576906377049818,0.5682444149739986,0.008877415167603089,0.5367531736573518,0.562635305286918,0.5490100741740556,0.5494661843727752,0.009154977111046752,0.5845603697361096,0.603729735548121,0.5814997843875628,0.5899299632239311,0.008519597491036271,0.5766120567244356,0.5834187770142418,0.5535916994356199,0.5712075110580992,0.01105261223907995,0.5695362328882573,0.4927304866296956,0.5620692361037912,0.5414453185405814,0.029948206509941438,0.571593214333278,0.4769182492188115,0.4802523882194898,0.5095879505905264,0.0379886079606446,0.6159291102882543,0.5916489955840187,0.5601121100831187,0.5892300719851306,0.019789805096412268,0.5548752189373148,0.5574276726156333,0.6082442437033652,0.5735157117521044,0.021285933777524222,0.5472974894134136,0.5722150370009645,0.5298372087937472,0.5497832450693751,0.01505995213763917,0.5054409126526198,0.5382759221209266,0.5532197125851669,0.5323121824529045,0.017282622397505908
