,GNN_expression_cnv_soft_1,GNN_expression_cnv_soft_999,GNN_expression_cnv_soft_42,Mean,Stdev,GNN_cnv_soft_expression_1,GNN_cnv_soft_expression_999,GNN_cnv_soft_expression_42,Mean,Stdev,GNN_expression_rnd_1,GNN_expression_rnd_999,GNN_expression_rnd_42,Mean,Stdev,GNN_cnv_rnd_1,GNN_cnv_rnd_999,GNN_cnv_rnd_42,Mean,Stdev,GNN_expression_cnv_1,GNN_expression_cnv_999,GNN_expression_cnv_42,Mean,Stdev,GNN_cnv_expression_1,GNN_cnv_expression_999,GNN_cnv_expression_42,Mean,Stdev,GNN_cnv_soft_1,GNN_cnv_soft_999,GNN_cnv_soft_42,Mean,Stdev,GNN_cnv_full_1,GNN_cnv_full_999,GNN_cnv_full_42,Mean,Stdev,GNN_expression_full_1,GNN_expression_full_999,GNN_expression_full_42,Mean,Stdev,GNN_cnv_soft_rnd_1,GNN_cnv_soft_rnd_999,GNN_cnv_soft_rnd_42,Mean,Stdev,GNN_expression_99,GNN_expression_42,GNN_expression_1,Mean,Stdev,GNN_cnv_99,GNN_cnv_42,GNN_cnv_1,Mean,Stdev
TestAP,0.9449164492078356,0.9376735109849392,0.9412461550139046,0.9412787050688932,0.002560842942737121,0.9414466918674742,0.9409056676692884,0.937835916050748,0.9400627585291702,0.001377007146592708,0.921239629269842,0.9248968020282462,0.917639021401867,0.9212584842333186,0.0025660389257956464,0.8835732640362847,0.8752159461367537,0.8875406057660035,0.8821099386463472,0.004448612123002038,0.9523531030735568,0.9325120905065578,0.9371319857351174,0.9406657264384107,0.007341046840864622,0.9489933065485144,0.9376249829201028,0.946827799733201,0.9444820297339395,0.004268294343010596,0.9465776654595754,0.9449424399136072,0.9477570916468182,0.9464257323400003,0.0009994695716816179,0.9376273337112192,0.9004204191812253,0.9115363653326314,0.9165280394083585,0.013505114397317849,0.9321405640692222,0.8784973083971095,0.9024171678038324,0.9043516800900546,0.019002716557311897,0.9322727522206788,0.9230136547489408,0.9154496859097052,0.9235786976264416,0.005957908404629716,0.9335171418119704,0.9271839055921408,0.9356094365414498,0.9321034946485204,0.003102111512461208,0.953358148361314,0.9442360586490706,0.95298220993387,0.9501921389814182,0.003649760411269548
AssayAP,0.6981327682653545,0.7025029442516442,0.6583270425092776,0.6863209183420921,0.017212167537022482,0.6500795903678304,0.674174826708975,0.7221740578870007,0.6821428249879354,0.02595206936978547,0.6181698601008532,0.593793971557295,0.5850292522170487,0.5989976946250656,0.012142570219100176,0.4887023673753957,0.4917573259364547,0.5076706685156,0.49604345394248345,0.007201641548960129,0.6712411184893957,0.6348928383619271,0.6586550909203946,0.6549296825905725,0.013051980069594104,0.6709307142705623,0.6383175279770128,0.6789857730372704,0.6627446717616151,0.0152271961969203,0.6778816280154258,0.6991840591735525,0.7065833124139059,0.6945496665342947,0.010536955636676889,0.5627232845772226,0.5414373725654472,0.5209075808885738,0.5416894126770813,0.014784889446790336,0.523352717913329,0.5213024416637801,0.5417736670628023,0.5288096088799704,0.0079718571111364,0.6003503216402023,0.5955980375854985,0.6102290905984008,0.6020591499413671,0.005277641456594806,0.6407802143571906,0.6497495144865755,0.6685654779945552,0.6530317356127737,0.010027087076773881,0.7286481146270559,0.6850072531425351,0.7276124243907437,0.7137559307201116,0.017608705381301958
GeneAP,0.5989164864109774,0.6217007455087086,0.6385483549822147,0.6197218623006336,0.014064285187583452,0.5843136160202613,0.591489053332436,0.6195347020881039,0.598445790480267,0.013161086006815767,0.5990979659159429,0.5849957519201922,0.56163614000094,0.5819099526123583,0.01337887734915876,0.5231482543969959,0.5090151731247623,0.5387241575100081,0.5236291950105888,0.010507840315831971,0.5957018876368453,0.5648344228758456,0.5634903734193062,0.5746755613106657,0.012884708307071809,0.6084821444576838,0.564914941524622,0.6093486814650858,0.5942485891491306,0.017965729651414478,0.4973330499087069,0.5871910087577229,0.6286157283104301,0.5710465956589533,0.0474566484689467,0.5434241568877151,0.5917433340063769,0.6043717397878805,0.5798464102273242,0.022746478429600675,0.5582236427606881,0.5895626318748595,0.5777706290948756,0.5751856345768077,0.01119251328273431,0.5649411052661293,0.5520600803544125,0.6093060309770669,0.5754357388658695,0.021235321006137942,0.5672207120688719,0.5986576949719131,0.6141007004623008,0.5933263691676953,0.01689305484607574,0.5657392326135726,0.4986267755965063,0.5260505071637968,0.5301388384579586,0.023859550617048617
