,times in top 5%,Mean Prob,Original Dependency,Original Dependency Score
RNGTT,37,0.9832760686272974,31,-1.8404824533869586
RPS24,37,0.9863592724542362,24,-1.627793322847713
H2BC11,37,0.9859488826614242,34,-2.1084900081053815
POLR2C,37,0.9875567995750151,37,-2.5754517135416233
POLA2,37,0.9829121436084712,21,-1.449234126391272
PSMB2,37,0.9899106122351984,37,-2.061461117618907
EIF2B4,37,0.9880866209665934,32,-1.7756381486178787
PSMA5,37,0.9901185814324801,32,-1.8361708092117064
HARS1,37,0.9818783090995238,27,-1.730659606337001
CKAP5,37,0.9834417808163273,33,-2.008552165378016
SF3B4,37,0.9851507174002158,35,-2.0902975814844025
ANAPC11,37,0.9792701011305459,23,-1.5647647469999806
ACTR10,37,0.9801343727756191,24,-1.5564736674060051
H2BC15,37,0.9828985913379772,37,-2.17885949727584
PLK1,37,0.9826633704675211,36,-2.786873904889452
NIP7,37,0.9856296079652803,36,-2.2804621884703926
MCM7,37,0.988539981412458,35,-1.9875373351223222
ATP2A2,37,0.9930061365033056,35,-1.9607050614182848
COPB1,37,0.9884545384226621,36,-2.3175465365885284
RAD21,37,0.9680977732211621,25,-1.5488179460422256
WDR74,37,0.9894602824975778,32,-1.9413530241714376
BCL2L1,37,0.8882507079087937,6,-1.1002686115802311
CSE1L,37,0.9869214580939698,37,-2.1809719828676473
NUTF2,37,0.9817376405269177,34,-1.880783550489363
SPC25,37,0.981634096519367,31,-1.7815668205337476
CIAO3,37,0.9849714969729517,34,-1.9800726597923595
CHEK1,37,0.9714782340032561,27,-1.70165072437811
SNRPD2,37,0.9829764258754147,34,-2.1212249099574176
NOP56,37,0.9759473639565543,24,-1.6235462941117147
DDX47,37,0.9802367064329953,33,-1.8040914831288637
UBA1,37,0.9832863324397317,33,-1.8243849368751757
ANAPC1,37,0.9883558062819744,31,-1.7580636054338927
CRNKL1,37,0.9823055439167194,27,-1.6678135212979477
ELOB,37,0.9837050958796663,28,-1.8374255745109598
FCF1,37,0.9681175533715668,17,-1.497747287897655
RPS15A,37,0.9906830293638212,36,-2.5646473152356224
PSMA3,37,0.9914326313379647,37,-2.70916135446046
PSMD14,37,0.9520127813558321,18,-1.490965759670244
PSMC4,37,0.9834198930242043,24,-1.568066392900856
PSMB5,37,0.9844381234667321,36,-2.005219978664687
YKT6,37,0.9824212220338013,18,-1.4807106796556702
TOMM40,37,0.9477794632181392,21,-1.5787832024596855
ANKLE2,37,0.987389473764746,37,-2.4179166615562435
VPS28,37,0.9818671673267811,26,-1.6377374935468703
INTS3,37,0.9795811144081322,22,-1.511234860913973
RBM22,37,0.9795295816284042,22,-1.5301095682403043
ELL,37,0.9828310377962953,24,-1.6558216970354416
NEDD8,37,0.9815413683384389,30,-1.9263790887108572
PSMD7,37,0.9756894428450782,23,-1.626921150327489
CHMP4B,37,0.9890700551840637,31,-1.911526470167129
SRP19,37,0.9873801346297736,26,-1.6235612338860015
LUC7L3,37,0.9787643460540085,30,-1.9229365815578716
POLE2,37,0.9682576344893861,21,-1.4189466470427523
ANAPC10,37,0.9673627416292826,23,-1.595571031202897
SRSF3,37,0.9870316171431324,37,-2.713979452691788
WDR33,37,0.9873039115656602,35,-1.9984204655028668
BUD31,37,0.9806025656493934,33,-2.118409691230392
ARL2,37,0.9743999650886469,30,-1.7378607336190162
NSF,37,0.986539144236762,33,-2.0590413127319684
SNRPD1,37,0.9866399673728254,37,-2.757139810727092
DBR1,37,0.9810315418887783,27,-1.7382266209523587
POLR2F,37,0.9846605465218827,33,-2.108030074486261
SF3B5,37,0.9883967133255691,37,-3.044901409267346
AARS1,37,0.9892151941050279,37,-2.314373884258067
H2BC4,37,0.9818728098998201,27,-1.6994968557287309
PPWD1,37,0.9803015176240389,31,-1.8115368384534924
IARS1,37,0.9881637783737869,34,-1.888703518081915
POP5,37,0.9676891275354333,33,-2.13187261099773
NSA2,37,0.9694551100602021,22,-1.6320107617877686
NDC80,37,0.9560463133158986,14,-1.401495574237042
PSMB3,37,0.991181792439641,37,-2.8693241837655465
HAUS1,37,0.9824913707939356,31,-1.9033051141944972
DDX56,37,0.9853901739593024,37,-2.2737539301789726
NCAPG,37,0.9787710717132501,26,-1.6773010154295172
SRP54,37,0.989023895414026,36,-2.2120624774601882
