,GNN_cnv_soft_1,GNN_cnv_soft_999,GNN_cnv_soft_42,Mean,Stdev,GNN_expression_1,GNN_expression_999,GNN_expression_42,Mean,Stdev,GNN_cnv_1,GNN_cnv_999,GNN_cnv_42,Mean,Stdev
TestAP,0.8830732942204029,0.8869174090827349,0.8736029120656988,0.8811978717896123,0.004845454812223512,0.8960925428408041,0.8928280818051196,0.8912500643868065,0.8933902296775768,0.0017463400395167407,0.9093365023978612,0.888424935776602,0.906043244776536,0.9012682276503331,0.007950597337794482
AssayAP,0.4328932446154791,0.4390000478242319,0.4239626094963418,0.4319519673120176,0.005347692964624256,0.4734517748978709,0.4560013431885679,0.4250378533004723,0.4514969904623037,0.017337731198483232,0.427076581459554,0.4110173844622677,0.4179082912889077,0.41866741907024313,0.0056967823501828125
GeneAP,0.4541532511932401,0.4532098185561022,0.4399079770619076,0.4490903489370833,0.005632915818016355,0.4589143191419062,0.4572443474331352,0.4507686590623059,0.4556424418791158,0.0030424102769101746,0.4676505522021416,0.4757254631936671,0.4864865389837895,0.47662085145986605,0.006682061419204371
