,GNN_expression_cnv_soft_1,GNN_expression_cnv_soft_999,GNN_expression_cnv_soft_42,Mean,Stdev,GNN_cnv_soft_expression_1,GNN_cnv_soft_expression_999,GNN_cnv_soft_expression_42,Mean,Stdev,GNN_expression_rnd_1,GNN_expression_rnd_999,GNN_expression_rnd_42,Mean,Stdev,GNN_cnv_rnd_1,GNN_cnv_rnd_999,GNN_cnv_rnd_42,Mean,Stdev,GNN_expression_cnv_1,GNN_expression_cnv_999,GNN_expression_cnv_42,Mean,Stdev,GNN_cnv_expression_1,GNN_cnv_expression_999,GNN_cnv_expression_42,Mean,Stdev,GNN_cnv_full_1,GNN_cnv_full_999,GNN_cnv_full_42,Mean,Stdev,GNN_expression_full_1,GNN_expression_full_999,GNN_expression_full_42,Mean,Stdev,GNN_cnv_soft_rnd_1,GNN_cnv_soft_rnd_999,GNN_cnv_soft_rnd_42,Mean,Stdev,GNN_cnv_soft_1,GNN_cnv_soft_999,GNN_cnv_soft_42,Mean,Stdev,GNN_expression_1,GNN_expression_999,GNN_expression_42,Mean,Stdev,GNN_cnv_1,GNN_cnv_999,GNN_cnv_42,Mean,Stdev
TestAP,0.9489093280702376,0.93863245516465,0.9360350229213384,0.9411922687187421,0.004814115564697637,0.945245466755918,0.9451651990425726,0.9433158161758962,0.9445754939914623,0.000771913815047826,0.93192965739901,0.9278092975613168,0.9181627039581066,0.9259672196394778,0.004996358176892217,0.8897391155192181,0.8889302762059723,0.886339981096055,0.8883364576070818,0.0012555863377271693,0.9502764914004478,0.9244485520301348,0.951405650028686,0.9420435644864229,0.010782093889978684,0.954908844961972,0.9396559000258664,0.9435992948348196,0.946054679940886,0.0055984269808709245,0.9157889968530616,0.9179470265350956,0.9360479442561768,0.9232613225481113,0.007867259499216125,0.9157126822847887,0.9248309882909695,0.9345191804027564,0.9250209503261715,0.006650118684895543,0.9397660288282236,0.9147704538396652,0.9317573629156694,0.9287646151945194,0.00902530045051128,0.9553564689525929,0.9387829674574616,0.9575130718824996,0.950550836097518,0.007246543427612157,0.9458746464404164,0.9240305446109056,0.9420098248823452,0.9373050053112224,0.00824295734497408,0.9510071756468994,0.9360975096977628,0.95293990435735,0.9466815299006708,0.006517283667630326
AssayAP,0.7007451965316794,0.6793178133103107,0.6780355109751014,0.6860328402723638,0.009020841004182696,0.6882872099675206,0.6722842655106345,0.7146133942370494,0.6917282899050682,0.015113231918368678,0.5994981167177587,0.5671852285330848,0.5866970610883999,0.5844601354464144,0.011506162760769491,0.495399474474585,0.4997127938181135,0.5263659164191875,0.507159394903962,0.01185999646871637,0.6449948322531275,0.5950915391812416,0.6879381318068255,0.6426748344137315,0.03285695689672421,0.679191329469339,0.6571479950019673,0.659099481065011,0.6651462685121058,0.00862843779118971,0.5463376155368637,0.5730221667938766,0.6062442269901747,0.575201336440305,0.021222183078272474,0.5391990723532691,0.5635522508719845,0.5620343025285582,0.5549285419179374,0.00964723279968649,0.6220027748900743,0.5891205759202359,0.6266844552902447,0.6126026020335184,0.01447469681255867,0.6965498420957628,0.7176064097247601,0.7232088550220627,0.7124550356141951,0.00993927145145471,0.6404910773641082,0.6277415214725345,0.6466704591248195,0.6383010193204873,0.006825446353054287,0.7139970814676139,0.6882712776501296,0.7082879551504111,0.7035187714227181,0.009552828915700565
GeneAP,0.5986201405361019,0.6536050211475197,0.6381082036442215,0.6301111217759477,0.02004743453373614,0.5894356010789311,0.5536597919996817,0.6444436479348166,0.5958463470044765,0.03233612818585623,0.5854701032644637,0.56155759566628,0.5542727920875082,0.5671001636727507,0.011540322812809681,0.5390322212384263,0.5250915703358631,0.5309519020104165,0.5316918978615687,0.004949552115675523,0.6040546993173668,0.5251820345991165,0.6024641060514815,0.5772336133226549,0.03187991242494173,0.5784760287448361,0.5579995106893489,0.5817847093232434,0.5727534162524761,0.009110300182121868,0.5968863479276193,0.5967508452980417,0.443145895599448,0.545594362941703,0.06273663577138748,0.5726070995905805,0.4684903861229324,0.4520883180817354,0.4977286012650828,0.046218768333969006,0.6151713767639243,0.5958493840527245,0.5950445652182345,0.6020217753449612,0.00805747933436032,0.5107747028584526,0.6520875447549205,0.6019627138966489,0.5882749871700073,0.050659871784388896,0.6112403509579348,0.5470958950754327,0.5571126928198151,0.5718163129510608,0.024400564940576155,0.523301332025242,0.5051003348584804,0.5231348430472463,0.5171788366436562,0.007396775773126446
