"Step","DLP-LinEmb_expression_1 - val ap","DLP-LinEmb_expression_1 - val ap__MIN","DLP-LinEmb_expression_1 - val ap__MAX","DLP-LinEmb_expression_999 - val ap","DLP-LinEmb_expression_999 - val ap__MIN","DLP-LinEmb_expression_999 - val ap__MAX","DLP-LinEmb_expression_42 - val ap","DLP-LinEmb_expression_42 - val ap__MIN","DLP-LinEmb_expression_42 - val ap__MAX","DLP-Lin_expression_1 - val ap","DLP-Lin_expression_1 - val ap__MIN","DLP-Lin_expression_1 - val ap__MAX","DLP-Lin_expression_999 - val ap","DLP-Lin_expression_999 - val ap__MIN","DLP-Lin_expression_999 - val ap__MAX","DLP-Lin_expression_42 - val ap","DLP-Lin_expression_42 - val ap__MIN","DLP-Lin_expression_42 - val ap__MAX","DLP_expression_1 - val ap","DLP_expression_1 - val ap__MIN","DLP_expression_1 - val ap__MAX","DLP_expression_999 - val ap","DLP_expression_999 - val ap__MIN","DLP_expression_999 - val ap__MAX","DLP_expression_42 - val ap","DLP_expression_42 - val ap__MIN","DLP_expression_42 - val ap__MAX","DLP-LinEmb_cnv_soft_1 - val ap","DLP-LinEmb_cnv_soft_1 - val ap__MIN","DLP-LinEmb_cnv_soft_1 - val ap__MAX","DLP-LinEmb_cnv_soft_999 - val ap","DLP-LinEmb_cnv_soft_999 - val ap__MIN","DLP-LinEmb_cnv_soft_999 - val ap__MAX","DLP-LinEmb_cnv_soft_42 - val ap","DLP-LinEmb_cnv_soft_42 - val ap__MIN","DLP-LinEmb_cnv_soft_42 - val ap__MAX","DLP-Lin_cnv_soft_1 - val ap","DLP-Lin_cnv_soft_1 - val ap__MIN","DLP-Lin_cnv_soft_1 - val ap__MAX","DLP-Lin_cnv_soft_999 - val ap","DLP-Lin_cnv_soft_999 - val ap__MIN","DLP-Lin_cnv_soft_999 - val ap__MAX","DLP-Lin_cnv_soft_42 - val ap","DLP-Lin_cnv_soft_42 - val ap__MIN","DLP-Lin_cnv_soft_42 - val ap__MAX","DLP_cnv_soft_1 - val ap","DLP_cnv_soft_1 - val ap__MIN","DLP_cnv_soft_1 - val ap__MAX","DLP_cnv_soft_999 - val ap","DLP_cnv_soft_999 - val ap__MIN","DLP_cnv_soft_999 - val ap__MAX","DLP_cnv_soft_42 - val ap","DLP_cnv_soft_42 - val ap__MIN","DLP_cnv_soft_42 - val ap__MAX"
"0","0.5526088915949666","0.5526088915949666","0.5526088915949666","0.5382189176716241","0.5382189176716241","0.5382189176716241","0.5645925272054175","0.5645925272054175","0.5645925272054175","0.2580741197407039","0.2580741197407039","0.2580741197407039","0.25002821987362783","0.25002821987362783","0.25002821987362783","0.2506307678054314","0.2506307678054314","0.2506307678054314","0.5669883162169516","0.5669883162169516","0.5669883162169516","0.5634004669727823","0.5634004669727823","0.5634004669727823","0.5500513628329917","0.5500513628329917","0.5500513628329917","0.5775621042644045","0.5775621042644045","0.5775621042644045","0.5708776353453802","0.5708776353453802","0.5708776353453802","0.6046829934573315","0.6046829934573315","0.6046829934573315","0.2498945501803482","0.2498945501803482","0.2498945501803482","0.2504023718763236","0.2504023718763236","0.2504023718763236","0.24386901953056325","0.24386901953056325","0.24386901953056325","0.3853501639248928","0.3853501639248928","0.3853501639248928","0.5206866294039743","0.5206866294039743","0.5206866294039743","0.6048439619148429","0.6048439619148429","0.6048439619148429"
"1","0.39930310325971957","0.39930310325971957","0.39930310325971957","0.37959139229946914","0.37959139229946914","0.37959139229946914","0.45006069598538606","0.45006069598538606","0.45006069598538606","0.24976729525551794","0.24976729525551794","0.24976729525551794","0.24978844405623926","0.24978844405623926","0.24978844405623926","0.25025372124492556","0.25025372124492556","0.25025372124492556","0.4245105130605969","0.4245105130605969","0.4245105130605969","0.35184349512061885","0.35184349512061885","0.35184349512061885","0.4119376573027619","0.4119376573027619","0.4119376573027619","0.46166515592899815","0.46166515592899815","0.46166515592899815","0.44468900680426054","0.44468900680426054","0.44468900680426054","0.4231979301416854","0.4231979301416854","0.4231979301416854","0.2500545405343089","0.2500545405343089","0.2500545405343089","0.25035941874201806","0.25035941874201806","0.25035941874201806","0.25","0.25","0.25","0.3891007763128407","0.3891007763128407","0.3891007763128407","0.3892085687550074","0.3892085687550074","0.3892085687550074","0.5234906047645522","0.5234906047645522","0.5234906047645522"
"2","0.39141698459803465","0.39141698459803465","0.39141698459803465","0.39094116068839746","0.39094116068839746","0.39094116068839746","0.4070975887434196","0.4070975887434196","0.4070975887434196","0.24996375410786778","0.24996375410786778","0.24996375410786778","0.25023259390434005","0.25023259390434005","0.25023259390434005","0.25","0.25","0.25","0.39800165494766104","0.39800165494766104","0.39800165494766104","0.37456180257380967","0.37456180257380967","0.37456180257380967","0.4308576956662719","0.4308576956662719","0.4308576956662719","0.41236549240497083","0.41236549240497083","0.41236549240497083","0.3824235417135927","0.3824235417135927","0.3824235417135927","0.40624804229662403","0.40624804229662403","0.40624804229662403","0.25","0.25","0.25","0.2503595547675184","0.2503595547675184","0.2503595547675184","0.2500845737483085","0.2500845737483085","0.2500845737483085","0.3647488846879474","0.3647488846879474","0.3647488846879474","0.4163278485154783","0.4163278485154783","0.4163278485154783","0.6753032653064894","0.6753032653064894","0.6753032653064894"
"3","0.3679381874579995","0.3679381874579995","0.3679381874579995","0.38303299688034903","0.38303299688034903","0.38303299688034903","0.38625759058995385","0.38625759058995385","0.38625759058995385","0.25","0.25","0.25","0.2508457159795047","0.2508457159795047","0.2508457159795047","0.25","0.25","0.25","0.3834369839043581","0.3834369839043581","0.3834369839043581","0.3478610028470895","0.3478610028470895","0.3478610028470895","0.4265282858121488","0.4265282858121488","0.4265282858121488","0.42775726022344246","0.42775726022344246","0.42775726022344246","0.39955521526903665","0.39955521526903665","0.39955521526903665","0.40811081315315656","0.40811081315315656","0.40811081315315656","0.25","0.25","0.25","0.2500845737483085","0.2500845737483085","0.2500845737483085","0.2499717872815128","0.2499717872815128","0.2499717872815128","0.36694973677818093","0.36694973677818093","0.36694973677818093","0.4126811726919978","0.4126811726919978","0.4126811726919978","0.6908599355227693","0.6908599355227693","0.6908599355227693"
"4","0.404743340493553","0.404743340493553","0.404743340493553","0.3750010363018853","0.3750010363018853","0.3750010363018853","0.36086140090246527","0.36086140090246527","0.36086140090246527","0.25","0.25","0.25","0.25066950813949057","0.25066950813949057","0.25066950813949057","0.25","0.25","0.25","0.3922807707022394","0.3922807707022394","0.3922807707022394","0.3762927809980777","0.3762927809980777","0.3762927809980777","0.40765136159548326","0.40765136159548326","0.40765136159548326","0.4233497246247502","0.4233497246247502","0.4233497246247502","0.39131427841645827","0.39131427841645827","0.39131427841645827","0.4168318374330799","0.4168318374330799","0.4168318374330799","0.25","0.25","0.25","0.25","0.25","0.25","0.24989151557003153","0.24989151557003153","0.24989151557003153","0.33978331536252404","0.33978331536252404","0.33978331536252404","0.4182811503408839","0.4182811503408839","0.4182811503408839","0.6777919470324598","0.6777919470324598","0.6777919470324598"
"5","0.3947950863136643","0.3947950863136643","0.3947950863136643","0.38871789344770874","0.38871789344770874","0.38871789344770874","0.39282424576656866","0.39282424576656866","0.39282424576656866","0.25","0.25","0.25","0.2500704566545395","0.2500704566545395","0.2500704566545395","0.25","0.25","0.25","0.3946544496544597","0.3946544496544597","0.3946544496544597","0.39895411952256665","0.39895411952256665","0.39895411952256665","0.4167528740006888","0.4167528740006888","0.4167528740006888","0.4308656124168251","0.4308656124168251","0.4308656124168251","0.3750903134293617","0.3750903134293617","0.3750903134293617","0.39241675769383355","0.39241675769383355","0.39241675769383355","0.25","0.25","0.25","0.25","0.25","0.25","0.24991969249405732","0.24991969249405732","0.24991969249405732","0.35506398873805767","0.35506398873805767","0.35506398873805767","0.4187955754520134","0.4187955754520134","0.4187955754520134","0.7123521665630275","0.7123521665630275","0.7123521665630275"
"6","0.38058157615312016","0.38058157615312016","0.38058157615312016","0.37685886852157263","0.37685886852157263","0.37685886852157263","0.39550194316703513","0.39550194316703513","0.39550194316703513","0.2500211452254081","0.2500211452254081","0.2500211452254081","0.2500704566545395","0.2500704566545395","0.2500704566545395","0.25006344640893324","0.25006344640893324","0.25006344640893324","0.38589574713891495","0.38589574713891495","0.38589574713891495","0.388795372026992","0.388795372026992","0.388795372026992","0.41344397942490235","0.41344397942490235","0.41344397942490235","0.40330774813455683","0.40330774813455683","0.40330774813455683","0.40279224419771953","0.40279224419771953","0.40279224419771953","0.37774095718106204","0.37774095718106204","0.37774095718106204","0.25","0.25","0.25","0.25","0.25","0.25","0.24989429892382028","0.24989429892382028","0.24989429892382028","0.32575768822937845","0.32575768822937845","0.32575768822937845","0.34808894758698905","0.34808894758698905","0.34808894758698905","0.7560451259558219","0.7560451259558219","0.7560451259558219"
"7","0.28691270261145124","0.28691270261145124","0.28691270261145124","0.389429847124213","0.389429847124213","0.389429847124213","0.39795392786690786","0.39795392786690786","0.39795392786690786","0.25","0.25","0.25","0.2500704566545395","0.2500704566545395","0.2500704566545395","0.25","0.25","0.25","0.3858404889357637","0.3858404889357637","0.3858404889357637","0.39253349342918475","0.39253349342918475","0.39253349342918475","0.41732124612274846","0.41732124612274846","0.41732124612274846","0.3977904789667952","0.3977904789667952","0.3977904789667952","0.4042940702150136","0.4042940702150136","0.4042940702150136","0.3888304530427997","0.3888304530427997","0.3888304530427997","0.2501812294606611","0.2501812294606611","0.2501812294606611","0.25","0.25","0.25","0.24989429892382028","0.24989429892382028","0.24989429892382028","0.3431102985633259","0.3431102985633259","0.3431102985633259","0.40499370950450464","0.40499370950450464","0.40499370950450464","0.7565718775381424","0.7565718775381424","0.7565718775381424"
"8","0.342234569102197","0.342234569102197","0.342234569102197","0.38268164996621046","0.38268164996621046","0.38268164996621046","0.37828364416668875","0.37828364416668875","0.37828364416668875","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.25","0.382861345659089","0.382861345659089","0.382861345659089","0.38288940180001474","0.38288940180001474","0.38288940180001474","0.41019967497782467","0.41019967497782467","0.41019967497782467","0.4133125814754285","0.4133125814754285","0.4133125814754285","0.4062141115240573","0.4062141115240573","0.4062141115240573","0.4142493705507289","0.4142493705507289","0.4142493705507289","0.25","0.25","0.25","0.25","0.25","0.25","0.24989429892382028","0.24989429892382028","0.24989429892382028","0.338902155655603","0.338902155655603","0.338902155655603","0.35826038291236445","0.35826038291236445","0.35826038291236445","0.7636494854712185","0.7636494854712185","0.7636494854712185"
"9","0.3663589673491878","0.3663589673491878","0.3663589673491878","0.39508482082607654","0.39508482082607654","0.39508482082607654","0.3869578269291269","0.3869578269291269","0.3869578269291269","0.25","0.25","0.25","0.25019572781751404","0.25019572781751404","0.25019572781751404","0.25","0.25","0.25","0.401283284564074","0.401283284564074","0.401283284564074","0.3309845306398945","0.3309845306398945","0.3309845306398945","0.38488752606297305","0.38488752606297305","0.38488752606297305","0.42021098635675797","0.42021098635675797","0.42021098635675797","0.40698840942932357","0.40698840942932357","0.40698840942932357","0.36909571792565854","0.36909571792565854","0.36909571792565854","0.25","0.25","0.25","0.25","0.25","0.25","0.2498731537041608","0.2498731537041608","0.2498731537041608","0.3332687127843411","0.3332687127843411","0.3332687127843411","0.3999369503819977","0.3999369503819977","0.3999369503819977","0.534392929444552","0.534392929444552","0.534392929444552"
