"Step","DLP-LinEmb_expression_1 - train loss","DLP-LinEmb_expression_1 - train loss__MIN","DLP-LinEmb_expression_1 - train loss__MAX","DLP-LinEmb_expression_999 - train loss","DLP-LinEmb_expression_999 - train loss__MIN","DLP-LinEmb_expression_999 - train loss__MAX","DLP-LinEmb_expression_42 - train loss","DLP-LinEmb_expression_42 - train loss__MIN","DLP-LinEmb_expression_42 - train loss__MAX","DLP-Lin_expression_1 - train loss","DLP-Lin_expression_1 - train loss__MIN","DLP-Lin_expression_1 - train loss__MAX","DLP-Lin_expression_999 - train loss","DLP-Lin_expression_999 - train loss__MIN","DLP-Lin_expression_999 - train loss__MAX","DLP-Lin_expression_42 - train loss","DLP-Lin_expression_42 - train loss__MIN","DLP-Lin_expression_42 - train loss__MAX","DLP_expression_1 - train loss","DLP_expression_1 - train loss__MIN","DLP_expression_1 - train loss__MAX","DLP_expression_999 - train loss","DLP_expression_999 - train loss__MIN","DLP_expression_999 - train loss__MAX","DLP_expression_42 - train loss","DLP_expression_42 - train loss__MIN","DLP_expression_42 - train loss__MAX","DLP-LinEmb_cnv_soft_1 - train loss","DLP-LinEmb_cnv_soft_1 - train loss__MIN","DLP-LinEmb_cnv_soft_1 - train loss__MAX","DLP-LinEmb_cnv_soft_999 - train loss","DLP-LinEmb_cnv_soft_999 - train loss__MIN","DLP-LinEmb_cnv_soft_999 - train loss__MAX","DLP-LinEmb_cnv_soft_42 - train loss","DLP-LinEmb_cnv_soft_42 - train loss__MIN","DLP-LinEmb_cnv_soft_42 - train loss__MAX","DLP-Lin_cnv_soft_1 - train loss","DLP-Lin_cnv_soft_1 - train loss__MIN","DLP-Lin_cnv_soft_1 - train loss__MAX","DLP-Lin_cnv_soft_999 - train loss","DLP-Lin_cnv_soft_999 - train loss__MIN","DLP-Lin_cnv_soft_999 - train loss__MAX","DLP-Lin_cnv_soft_42 - train loss","DLP-Lin_cnv_soft_42 - train loss__MIN","DLP-Lin_cnv_soft_42 - train loss__MAX","DLP_cnv_soft_1 - train loss","DLP_cnv_soft_1 - train loss__MIN","DLP_cnv_soft_1 - train loss__MAX","DLP_cnv_soft_999 - train loss","DLP_cnv_soft_999 - train loss__MIN","DLP_cnv_soft_999 - train loss__MAX","DLP_cnv_soft_42 - train loss","DLP_cnv_soft_42 - train loss__MIN","DLP_cnv_soft_42 - train loss__MAX"
"0","0.08268608152866364","0.08268608152866364","0.08268608152866364","0.08549875020980835","0.08549875020980835","0.08549875020980835","0.08254609256982803","0.08254609256982803","0.08254609256982803","0.11505293101072311","0.11505293101072311","0.11505293101072311","0.11175639182329178","0.11175639182329178","0.11175639182329178","0.11796141415834427","0.11796141415834427","0.11796141415834427","0.10280555486679077","0.10280555486679077","0.10280555486679077","0.10448132455348969","0.10448132455348969","0.10448132455348969","0.10304079204797745","0.10304079204797745","0.10304079204797745","0.07816994190216064","0.07816994190216064","0.07816994190216064","0.07989656180143356","0.07989656180143356","0.07989656180143356","0.08166051656007767","0.08166051656007767","0.08166051656007767","0.1117871031165123","0.1117871031165123","0.1117871031165123","0.11336963623762131","0.11336963623762131","0.11336963623762131","0.11968746781349182","0.11968746781349182","0.11968746781349182","0.10257978737354279","0.10257978737354279","0.10257978737354279","0.1049015149474144","0.1049015149474144","0.1049015149474144","0.10192710906267166","0.10192710906267166","0.10192710906267166"
"1","0.06559813022613525","0.06559813022613525","0.06559813022613525","0.04773362725973129","0.04773362725973129","0.04773362725973129","0.07807861268520355","0.07807861268520355","0.07807861268520355","0.11350948363542557","0.11350948363542557","0.11350948363542557","0.11135182529687881","0.11135182529687881","0.11135182529687881","0.10418205708265305","0.10418205708265305","0.10418205708265305","0.041445955634117126","0.041445955634117126","0.041445955634117126","0.041993118822574615","0.041993118822574615","0.041993118822574615","0.04060477390885353","0.04060477390885353","0.04060477390885353","0.07439548522233963","0.07439548522233963","0.07439548522233963","0.05529920011758804","0.05529920011758804","0.05529920011758804","0.06687753647565842","0.06687753647565842","0.06687753647565842","0.10881485790014267","0.10881485790014267","0.10881485790014267","0.11163737624883652","0.11163737624883652","0.11163737624883652","0.11533459275960922","0.11533459275960922","0.11533459275960922","0.03988854959607124","0.03988854959607124","0.03988854959607124","0.04198186844587326","0.04198186844587326","0.04198186844587326","0.03975820168852806","0.03975820168852806","0.03975820168852806"
"2","0.12461008876562119","0.12461008876562119","0.12461008876562119","0.1058446541428566","0.1058446541428566","0.1058446541428566","0.09129039198160172","0.09129039198160172","0.09129039198160172","0.10778135806322098","0.10778135806322098","0.10778135806322098","0.11122661828994751","0.11122661828994751","0.11122661828994751","0.11676161736249924","0.11676161736249924","0.11676161736249924","0.022869812324643135","0.022869812324643135","0.022869812324643135","0.023209532722830772","0.023209532722830772","0.023209532722830772","0.022601531818509102","0.022601531818509102","0.022601531818509102","0.09386222809553146","0.09386222809553146","0.09386222809553146","0.10069587826728821","0.10069587826728821","0.10069587826728821","0.11451026052236557","0.11451026052236557","0.11451026052236557","0.10806716233491898","0.10806716233491898","0.10806716233491898","0.10623934864997864","0.10623934864997864","0.10623934864997864","0.10236053168773651","0.10236053168773651","0.10236053168773651","0.02163400687277317","0.02163400687277317","0.02163400687277317","0.022802023217082024","0.022802023217082024","0.022802023217082024","0.022152738645672798","0.022152738645672798","0.022152738645672798"
"3","0.1139451339840889","0.1139451339840889","0.1139451339840889","0.11113818734884262","0.11113818734884262","0.11113818734884262","0.09813288599252701","0.09813288599252701","0.09813288599252701","0.1085762158036232","0.1085762158036232","0.1085762158036232","0.11046144366264343","0.11046144366264343","0.11046144366264343","0.10850029438734055","0.10850029438734055","0.10850029438734055","0.014847176149487495","0.014847176149487495","0.014847176149487495","0.0156994741410017","0.0156994741410017","0.0156994741410017","0.01446438953280449","0.01446438953280449","0.01446438953280449","0.07917580008506775","0.07917580008506775","0.07917580008506775","0.10369917750358582","0.10369917750358582","0.10369917750358582","0.1742931306362152","0.1742931306362152","0.1742931306362152","0.10611630231142044","0.10611630231142044","0.10611630231142044","0.11830338835716248","0.11830338835716248","0.11830338835716248","0.10377117991447449","0.10377117991447449","0.10377117991447449","0.014114039950072765","0.014114039950072765","0.014114039950072765","0.0150041738525033","0.0150041738525033","0.0150041738525033","0.014555380679666996","0.014555380679666996","0.014555380679666996"
"4","0.0958949476480484","0.0958949476480484","0.0958949476480484","0.09626723825931549","0.09626723825931549","0.09626723825931549","0.09853808581829071","0.09853808581829071","0.09853808581829071","0.10640446841716766","0.10640446841716766","0.10640446841716766","0.10735875368118286","0.10735875368118286","0.10735875368118286","0.12134592235088348","0.12134592235088348","0.12134592235088348","0.011689973063766956","0.011689973063766956","0.011689973063766956","0.01265734899789095","0.01265734899789095","0.01265734899789095","0.012027207762002945","0.012027207762002945","0.012027207762002945","0.08498391509056091","0.08498391509056091","0.08498391509056091","0.11353560537099838","0.11353560537099838","0.11353560537099838","0.12440638244152069","0.12440638244152069","0.12440638244152069","0.09998574107885361","0.09998574107885361","0.09998574107885361","0.11404091119766235","0.11404091119766235","0.11404091119766235","0.1005782037973404","0.1005782037973404","0.1005782037973404","0.011127115227282047","0.011127115227282047","0.011127115227282047","0.011426820419728756","0.011426820419728756","0.011426820419728756","0.010958627797663212","0.010958627797663212","0.010958627797663212"
"5","0.09628523886203766","0.09628523886203766","0.09628523886203766","0.1206572949886322","0.1206572949886322","0.1206572949886322","0.08938030898571014","0.08938030898571014","0.08938030898571014","0.12626689672470093","0.12626689672470093","0.12626689672470093","0.10526353120803833","0.10526353120803833","0.10526353120803833","0.10560060292482376","0.10560060292482376","0.10560060292482376","0.009468980133533478","0.009468980133533478","0.009468980133533478","0.01043839380145073","0.01043839380145073","0.01043839380145073","0.009326489642262459","0.009326489642262459","0.009326489642262459","0.0765606090426445","0.0765606090426445","0.0765606090426445","0.0975111648440361","0.0975111648440361","0.0975111648440361","0.11855745315551758","0.11855745315551758","0.11855745315551758","0.10203006863594055","0.10203006863594055","0.10203006863594055","0.11019748449325562","0.11019748449325562","0.11019748449325562","0.1341964453458786","0.1341964453458786","0.1341964453458786","0.009183299727737904","0.009183299727737904","0.009183299727737904","0.010381106287240982","0.010381106287240982","0.010381106287240982","0.009189324453473091","0.009189324453473091","0.009189324453473091"
"6","0.09984248131513596","0.09984248131513596","0.09984248131513596","0.07975439727306366","0.07975439727306366","0.07975439727306366","0.08823822438716888","0.08823822438716888","0.08823822438716888","0.10928091406822205","0.10928091406822205","0.10928091406822205","0.12145377695560455","0.12145377695560455","0.12145377695560455","0.09913228452205658","0.09913228452205658","0.09913228452205658","0.008021663874387741","0.008021663874387741","0.008021663874387741","0.008837984874844551","0.008837984874844551","0.008837984874844551","0.008300368674099445","0.008300368674099445","0.008300368674099445","0.1102820336818695","0.1102820336818695","0.1102820336818695","0.14191295206546783","0.14191295206546783","0.14191295206546783","0.11953289806842804","0.11953289806842804","0.11953289806842804","0.10231582820415497","0.10231582820415497","0.10231582820415497","0.10826720297336578","0.10826720297336578","0.10826720297336578","0.11831134557723999","0.11831134557723999","0.11831134557723999","0.00782308541238308","0.00782308541238308","0.00782308541238308","0.008582123555243015","0.008582123555243015","0.008582123555243015","0.008085076697170734","0.008085076697170734","0.008085076697170734"
"7","0.10001261532306671","0.10001261532306671","0.10001261532306671","0.07779085636138916","0.07779085636138916","0.07779085636138916","0.1456889510154724","0.1456889510154724","0.1456889510154724","0.12108556926250458","0.12108556926250458","0.12108556926250458","0.10889074206352234","0.10889074206352234","0.10889074206352234","0.11031003296375275","0.11031003296375275","0.11031003296375275","0.007234935648739338","0.007234935648739338","0.007234935648739338","0.008340796455740929","0.008340796455740929","0.008340796455740929","0.007417332846671343","0.007417332846671343","0.007417332846671343","0.08668549358844757","0.08668549358844757","0.08668549358844757","0.0860905721783638","0.0860905721783638","0.0860905721783638","0.11269187182188034","0.11269187182188034","0.11269187182188034","0.11887720227241516","0.11887720227241516","0.11887720227241516","0.14906054735183716","0.14906054735183716","0.14906054735183716","0.13307012617588043","0.13307012617588043","0.13307012617588043","0.007180549204349518","0.007180549204349518","0.007180549204349518","0.007946441881358624","0.007946441881358624","0.007946441881358624","0.006966873537749052","0.006966873537749052","0.006966873537749052"
"8","0.10809987783432007","0.10809987783432007","0.10809987783432007","0.09787402302026749","0.09787402302026749","0.09787402302026749","0.08752759546041489","0.08752759546041489","0.08752759546041489","0.11677582561969757","0.11677582561969757","0.11677582561969757","0.10368321090936661","0.10368321090936661","0.10368321090936661","0.1514279544353485","0.1514279544353485","0.1514279544353485","0.006323697045445442","0.006323697045445442","0.006323697045445442","0.00778435543179512","0.00778435543179512","0.00778435543179512","0.007092027924954891","0.007092027924954891","0.007092027924954891","0.1817161738872528","0.1817161738872528","0.1817161738872528","0.1010667011141777","0.1010667011141777","0.1010667011141777","0.11623236536979675","0.11623236536979675","0.11623236536979675","0.10522818565368652","0.10522818565368652","0.10522818565368652","0.11875537037849426","0.11875537037849426","0.11875537037849426","0.11243743449449539","0.11243743449449539","0.11243743449449539","0.006339906249195337","0.006339906249195337","0.006339906249195337","0.0065649449825286865","0.0065649449825286865","0.0065649449825286865","0.006720108911395073","0.006720108911395073","0.006720108911395073"
"9","0.1102672591805458","0.1102672591805458","0.1102672591805458","0.11076994240283966","0.11076994240283966","0.11076994240283966","0.10864820331335068","0.10864820331335068","0.10864820331335068","0.1131969764828682","0.1131969764828682","0.1131969764828682","0.11529742181301117","0.11529742181301117","0.11529742181301117","0.10712944716215134","0.10712944716215134","0.10712944716215134","0.006079968065023422","0.006079968065023422","0.006079968065023422","0.007021356374025345","0.007021356374025345","0.007021356374025345","0.00619503203779459","0.00619503203779459","0.00619503203779459","0.12066538631916046","0.12066538631916046","0.12066538631916046","0.10477405041456223","0.10477405041456223","0.10477405041456223","0.11292345821857452","0.11292345821857452","0.11292345821857452","0.12160837650299072","0.12160837650299072","0.12160837650299072","0.11256023496389389","0.11256023496389389","0.11256023496389389","0.11172593384981155","0.11172593384981155","0.11172593384981155","0.005391995422542095","0.005391995422542095","0.005391995422542095","0.006772298365831375","0.006772298365831375","0.006772298365831375","0.005946065299212933","0.005946065299212933","0.005946065299212933"
