"Step","DLP-LinEmb_expression_1 - val ap","DLP-LinEmb_expression_1 - val ap__MIN","DLP-LinEmb_expression_1 - val ap__MAX","DLP-LinEmb_expression_999 - val ap","DLP-LinEmb_expression_999 - val ap__MIN","DLP-LinEmb_expression_999 - val ap__MAX","DLP-LinEmb_expression_42 - val ap","DLP-LinEmb_expression_42 - val ap__MIN","DLP-LinEmb_expression_42 - val ap__MAX","DLP-Lin_expression_1 - val ap","DLP-Lin_expression_1 - val ap__MIN","DLP-Lin_expression_1 - val ap__MAX","DLP-Lin_expression_999 - val ap","DLP-Lin_expression_999 - val ap__MIN","DLP-Lin_expression_999 - val ap__MAX","DLP-Lin_expression_42 - val ap","DLP-Lin_expression_42 - val ap__MIN","DLP-Lin_expression_42 - val ap__MAX","DLP_expression_1 - val ap","DLP_expression_1 - val ap__MIN","DLP_expression_1 - val ap__MAX","DLP_expression_999 - val ap","DLP_expression_999 - val ap__MIN","DLP_expression_999 - val ap__MAX","DLP_expression_42 - val ap","DLP_expression_42 - val ap__MIN","DLP_expression_42 - val ap__MAX","DLP-LinEmb_cnv_soft_1 - val ap","DLP-LinEmb_cnv_soft_1 - val ap__MIN","DLP-LinEmb_cnv_soft_1 - val ap__MAX","DLP-LinEmb_cnv_soft_999 - val ap","DLP-LinEmb_cnv_soft_999 - val ap__MIN","DLP-LinEmb_cnv_soft_999 - val ap__MAX","DLP-LinEmb_cnv_soft_42 - val ap","DLP-LinEmb_cnv_soft_42 - val ap__MIN","DLP-LinEmb_cnv_soft_42 - val ap__MAX","DLP-Lin_cnv_soft_1 - val ap","DLP-Lin_cnv_soft_1 - val ap__MIN","DLP-Lin_cnv_soft_1 - val ap__MAX","DLP-Lin_cnv_soft_999 - val ap","DLP-Lin_cnv_soft_999 - val ap__MIN","DLP-Lin_cnv_soft_999 - val ap__MAX","DLP-Lin_cnv_soft_42 - val ap","DLP-Lin_cnv_soft_42 - val ap__MIN","DLP-Lin_cnv_soft_42 - val ap__MAX","DLP_cnv_soft_1 - val ap","DLP_cnv_soft_1 - val ap__MIN","DLP_cnv_soft_1 - val ap__MAX","DLP_cnv_soft_999 - val ap","DLP_cnv_soft_999 - val ap__MIN","DLP_cnv_soft_999 - val ap__MAX","DLP_cnv_soft_42 - val ap","DLP_cnv_soft_42 - val ap__MIN","DLP_cnv_soft_42 - val ap__MAX"
"0","0.6100101092750421","0.6100101092750421","0.6100101092750421","0.6844049191219685","0.6844049191219685","0.6844049191219685","0.5801890898693258","0.5801890898693258","0.5801890898693258","0.2663380073611661","0.2663380073611661","0.2663380073611661","0.3396999158374162","0.3396999158374162","0.3396999158374162","0.24627030141719183","0.24627030141719183","0.24627030141719183","0.6130969644257628","0.6130969644257628","0.6130969644257628","0.6487706649888205","0.6487706649888205","0.6487706649888205","0.6611625326629872","0.6611625326629872","0.6611625326629872","0.728191512410896","0.728191512410896","0.728191512410896","0.6836340728783503","0.6836340728783503","0.6836340728783503","0.7185613840365453","0.7185613840365453","0.7185613840365453","0.22647228066959044","0.22647228066959044","0.22647228066959044","0.26051810500479317","0.26051810500479317","0.26051810500479317","0.23240083660351468","0.23240083660351468","0.23240083660351468","0.6469642672569451","0.6469642672569451","0.6469642672569451","0.6180952540812794","0.6180952540812794","0.6180952540812794","0.6527669347944779","0.6527669347944779","0.6527669347944779"
"1","0.49186204134933975","0.49186204134933975","0.49186204134933975","0.8052464713179248","0.8052464713179248","0.8052464713179248","0.32587648479310066","0.32587648479310066","0.32587648479310066","0.24097305012446973","0.24097305012446973","0.24097305012446973","0.2703280406593409","0.2703280406593409","0.2703280406593409","0.253842298789449","0.253842298789449","0.253842298789449","0.8650893420509715","0.8650893420509715","0.8650893420509715","0.8642860775946444","0.8642860775946444","0.8642860775946444","0.8670418445158137","0.8670418445158137","0.8670418445158137","0.524552543781529","0.524552543781529","0.524552543781529","0.5296824628228872","0.5296824628228872","0.5296824628228872","0.3789809999177083","0.3789809999177083","0.3789809999177083","0.22726644924940154","0.22726644924940154","0.22726644924940154","0.2499082019845474","0.2499082019845474","0.2499082019845474","0.23925632565548585","0.23925632565548585","0.23925632565548585","0.8610583586555302","0.8610583586555302","0.8610583586555302","0.8399203809710053","0.8399203809710053","0.8399203809710053","0.8611463141259018","0.8611463141259018","0.8611463141259018"
"2","0.465721306295095","0.465721306295095","0.465721306295095","0.3933292612962683","0.3933292612962683","0.3933292612962683","0.2776494316109567","0.2776494316109567","0.2776494316109567","0.2519934804241454","0.2519934804241454","0.2519934804241454","0.26350699967085656","0.26350699967085656","0.26350699967085656","0.25491584774320647","0.25491584774320647","0.25491584774320647","0.895113082418071","0.895113082418071","0.895113082418071","0.8951608787431037","0.8951608787431037","0.8951608787431037","0.8818717507268498","0.8818717507268498","0.8818717507268498","0.4000581078516231","0.4000581078516231","0.4000581078516231","0.38424279699881325","0.38424279699881325","0.38424279699881325","0.2644486951225469","0.2644486951225469","0.2644486951225469","0.24478856259108267","0.24478856259108267","0.24478856259108267","0.24970273515796299","0.24970273515796299","0.24970273515796299","0.24087285845155001","0.24087285845155001","0.24087285845155001","0.8876950232107814","0.8876950232107814","0.8876950232107814","0.8836789101022015","0.8836789101022015","0.8836789101022015","0.887036335680557","0.887036335680557","0.887036335680557"
"3","0.4965523491305096","0.4965523491305096","0.4965523491305096","0.5027838489236489","0.5027838489236489","0.5027838489236489","0.25862581255144884","0.25862581255144884","0.25862581255144884","0.24922862683388874","0.24922862683388874","0.24922862683388874","0.2514159836394765","0.2514159836394765","0.2514159836394765","0.2495774965651249","0.2495774965651249","0.2495774965651249","0.8956765065048634","0.8956765065048634","0.8956765065048634","0.9044887666314628","0.9044887666314628","0.9044887666314628","0.8967048495445553","0.8967048495445553","0.8967048495445553","0.41810686350896326","0.41810686350896326","0.41810686350896326","0.35429588967190784","0.35429588967190784","0.35429588967190784","0.3972414987610864","0.3972414987610864","0.3972414987610864","0.24553335238632912","0.24553335238632912","0.24553335238632912","0.24952926742100245","0.24952926742100245","0.24952926742100245","0.2501000337336027","0.2501000337336027","0.2501000337336027","0.9073181699770436","0.9073181699770436","0.9073181699770436","0.8973905873838802","0.8973905873838802","0.8973905873838802","0.8914925115020598","0.8914925115020598","0.8914925115020598"
"4","0.517571158210991","0.517571158210991","0.517571158210991","0.5769688319878856","0.5769688319878856","0.5769688319878856","0.2512969354145132","0.2512969354145132","0.2512969354145132","0.251386880469908","0.251386880469908","0.251386880469908","0.2483626881923477","0.2483626881923477","0.2483626881923477","0.2519577324094289","0.2519577324094289","0.2519577324094289","0.9072363273564714","0.9072363273564714","0.9072363273564714","0.9113829426246272","0.9113829426246272","0.9113829426246272","0.9085412047783477","0.9085412047783477","0.9085412047783477","0.3185574281596168","0.3185574281596168","0.3185574281596168","0.3258296653718503","0.3258296653718503","0.3258296653718503","0.3915346240247758","0.3915346240247758","0.3915346240247758","0.2484606062596543","0.2484606062596543","0.2484606062596543","0.2503251579139168","0.2503251579139168","0.2503251579139168","0.24826144502382214","0.24826144502382214","0.24826144502382214","0.9089274566579675","0.9089274566579675","0.9089274566579675","0.905515406562446","0.905515406562446","0.905515406562446","0.8958790410945098","0.8958790410945098","0.8958790410945098"
"5","0.5036767891938584","0.5036767891938584","0.5036767891938584","0.45111192610198514","0.45111192610198514","0.45111192610198514","0.25045163337232323","0.25045163337232323","0.25045163337232323","0.2505160222953971","0.2505160222953971","0.2505160222953971","0.2690378745347547","0.2690378745347547","0.2690378745347547","0.2517708289249176","0.2517708289249176","0.2517708289249176","0.9085200360396246","0.9085200360396246","0.9085200360396246","0.9107710696629369","0.9107710696629369","0.9107710696629369","0.9048911139106067","0.9048911139106067","0.9048911139106067","0.3363361956685236","0.3363361956685236","0.3363361956685236","0.3179248030249192","0.3179248030249192","0.3179248030249192","0.3474150144045271","0.3474150144045271","0.3474150144045271","0.24686030731207198","0.24686030731207198","0.24686030731207198","0.25044407119354184","0.25044407119354184","0.25044407119354184","0.2517160107749978","0.2517160107749978","0.2517160107749978","0.9119283861856573","0.9119283861856573","0.9119283861856573","0.9043680281832058","0.9043680281832058","0.9043680281832058","0.9023045299135234","0.9023045299135234","0.9023045299135234"
"6","0.46525919148362266","0.46525919148362266","0.46525919148362266","0.430897897893763","0.430897897893763","0.430897897893763","0.25033875338753386","0.25033875338753386","0.25033875338753386","0.25119417569637975","0.25119417569637975","0.25119417569637975","0.2985248143642534","0.2985248143642534","0.2985248143642534","0.2510102747905884","0.2510102747905884","0.2510102747905884","0.9142887529190094","0.9142887529190094","0.9142887529190094","0.9129622797319207","0.9129622797319207","0.9129622797319207","0.9099699338340221","0.9099699338340221","0.9099699338340221","0.29440494508486253","0.29440494508486253","0.29440494508486253","0.266389008677664","0.266389008677664","0.266389008677664","0.48677346111491","0.48677346111491","0.48677346111491","0.24136232916638747","0.24136232916638747","0.24136232916638747","0.25004229402808326","0.25004229402808326","0.25004229402808326","0.243657632336028","0.243657632336028","0.243657632336028","0.9044747754019622","0.9044747754019622","0.9044747754019622","0.9039338769480886","0.9039338769480886","0.9039338769480886","0.898976462343227","0.898976462343227","0.898976462343227"
"7","0.4382095259173908","0.4382095259173908","0.4382095259173908","0.5243972486369128","0.5243972486369128","0.5243972486369128","0.25","0.25","0.25","0.2496152946611822","0.2496152946611822","0.2496152946611822","0.32907127751682674","0.32907127751682674","0.32907127751682674","0.24969826243741652","0.24969826243741652","0.24969826243741652","0.9083341249319744","0.9083341249319744","0.9083341249319744","0.9046788454814164","0.9046788454814164","0.9046788454814164","0.9024624295252381","0.9024624295252381","0.9024624295252381","0.30249440712261944","0.30249440712261944","0.30249440712261944","0.2775672527600259","0.2775672527600259","0.2775672527600259","0.3992417522969103","0.3992417522969103","0.3992417522969103","0.2404567245952554","0.2404567245952554","0.2404567245952554","0.25","0.25","0.25","0.24739416097646916","0.24739416097646916","0.24739416097646916","0.9133444435408365","0.9133444435408365","0.9133444435408365","0.9098171814974032","0.9098171814974032","0.9098171814974032","0.9052963957501557","0.9052963957501557","0.9052963957501557"
"8","0.41690840648234073","0.41690840648234073","0.41690840648234073","0.3903048853860885","0.3903048853860885","0.3903048853860885","0.25025372124492556","0.25025372124492556","0.25025372124492556","0.2482854431570064","0.2482854431570064","0.2482854431570064","0.35549616409605667","0.35549616409605667","0.35549616409605667","0.2507045073370954","0.2507045073370954","0.2507045073370954","0.9103643542458589","0.9103643542458589","0.9103643542458589","0.9108801547539962","0.9108801547539962","0.9108801547539962","0.9063239051844536","0.9063239051844536","0.9063239051844536","0.26814341124102464","0.26814341124102464","0.26814341124102464","0.25343571258917774","0.25343571258917774","0.25343571258917774","0.3642678587505279","0.3642678587505279","0.3642678587505279","0.24954653096184726","0.24954653096184726","0.24954653096184726","0.25","0.25","0.25","0.24929876909963458","0.24929876909963458","0.24929876909963458","0.9066618831046779","0.9066618831046779","0.9066618831046779","0.9073101810732057","0.9073101810732057","0.9073101810732057","0.9071784187984616","0.9071784187984616","0.9071784187984616"
"9","0.5186136272161566","0.5186136272161566","0.5186136272161566","0.4424334566508454","0.4424334566508454","0.4424334566508454","0.25025372124492556","0.25025372124492556","0.25025372124492556","0.24895399304055693","0.24895399304055693","0.24895399304055693","0.3363604972921799","0.3363604972921799","0.3363604972921799","0.24960459717792016","0.24960459717792016","0.24960459717792016","0.9111480400017756","0.9111480400017756","0.9111480400017756","0.9080223609212917","0.9080223609212917","0.9080223609212917","0.9026218983930223","0.9026218983930223","0.9026218983930223","0.26926094940000966","0.26926094940000966","0.26926094940000966","0.2515316924368986","0.2515316924368986","0.2515316924368986","0.4466180069760731","0.4466180069760731","0.4466180069760731","0.2471545396420755","0.2471545396420755","0.2471545396420755","0.25","0.25","0.25","0.24749445544075746","0.24749445544075746","0.24749445544075746","0.9072696495326977","0.9072696495326977","0.9072696495326977","0.902551320858689","0.902551320858689","0.902551320858689","0.9056120103358524","0.9056120103358524","0.9056120103358524"
