"Step","DLP-LinEmb_expression_1 - train loss","DLP-LinEmb_expression_1 - train loss__MIN","DLP-LinEmb_expression_1 - train loss__MAX","DLP-LinEmb_expression_999 - train loss","DLP-LinEmb_expression_999 - train loss__MIN","DLP-LinEmb_expression_999 - train loss__MAX","DLP-LinEmb_expression_42 - train loss","DLP-LinEmb_expression_42 - train loss__MIN","DLP-LinEmb_expression_42 - train loss__MAX","DLP-Lin_expression_1 - train loss","DLP-Lin_expression_1 - train loss__MIN","DLP-Lin_expression_1 - train loss__MAX","DLP-Lin_expression_999 - train loss","DLP-Lin_expression_999 - train loss__MIN","DLP-Lin_expression_999 - train loss__MAX","DLP-Lin_expression_42 - train loss","DLP-Lin_expression_42 - train loss__MIN","DLP-Lin_expression_42 - train loss__MAX","DLP_expression_1 - train loss","DLP_expression_1 - train loss__MIN","DLP_expression_1 - train loss__MAX","DLP_expression_999 - train loss","DLP_expression_999 - train loss__MIN","DLP_expression_999 - train loss__MAX","DLP_expression_42 - train loss","DLP_expression_42 - train loss__MIN","DLP_expression_42 - train loss__MAX","DLP-LinEmb_cnv_soft_1 - train loss","DLP-LinEmb_cnv_soft_1 - train loss__MIN","DLP-LinEmb_cnv_soft_1 - train loss__MAX","DLP-LinEmb_cnv_soft_999 - train loss","DLP-LinEmb_cnv_soft_999 - train loss__MIN","DLP-LinEmb_cnv_soft_999 - train loss__MAX","DLP-LinEmb_cnv_soft_42 - train loss","DLP-LinEmb_cnv_soft_42 - train loss__MIN","DLP-LinEmb_cnv_soft_42 - train loss__MAX","DLP-Lin_cnv_soft_1 - train loss","DLP-Lin_cnv_soft_1 - train loss__MIN","DLP-Lin_cnv_soft_1 - train loss__MAX","DLP-Lin_cnv_soft_999 - train loss","DLP-Lin_cnv_soft_999 - train loss__MIN","DLP-Lin_cnv_soft_999 - train loss__MAX","DLP-Lin_cnv_soft_42 - train loss","DLP-Lin_cnv_soft_42 - train loss__MIN","DLP-Lin_cnv_soft_42 - train loss__MAX","DLP_cnv_soft_1 - train loss","DLP_cnv_soft_1 - train loss__MIN","DLP_cnv_soft_1 - train loss__MAX","DLP_cnv_soft_999 - train loss","DLP_cnv_soft_999 - train loss__MIN","DLP_cnv_soft_999 - train loss__MAX","DLP_cnv_soft_42 - train loss","DLP_cnv_soft_42 - train loss__MIN","DLP_cnv_soft_42 - train loss__MAX"
"0","0.4312968850135803","0.4312968850135803","0.4312968850135803","0.42695921659469604","0.42695921659469604","0.42695921659469604","0.4232446849346161","0.4232446849346161","0.4232446849346161","0.560064971446991","0.560064971446991","0.560064971446991","0.5628925561904907","0.5628925561904907","0.5628925561904907","0.5614761114120483","0.5614761114120483","0.5614761114120483","0.425416499376297","0.425416499376297","0.425416499376297","0.4219069480895996","0.4219069480895996","0.4219069480895996","0.42605680227279663","0.42605680227279663","0.42605680227279663","0.4157925248146057","0.4157925248146057","0.4157925248146057","0.4242109954357147","0.4242109954357147","0.4242109954357147","0.4236864745616913","0.4236864745616913","0.4236864745616913","0.5624869465827942","0.5624869465827942","0.5624869465827942","0.5626086592674255","0.5626086592674255","0.5626086592674255","0.5609044432640076","0.5609044432640076","0.5609044432640076","0.44429391622543335","0.44429391622543335","0.44429391622543335","0.42886367440223694","0.42886367440223694","0.42886367440223694","0.4120798408985138","0.4120798408985138","0.4120798408985138"
"1","0.42194557189941406","0.42194557189941406","0.42194557189941406","0.42750996351242065","0.42750996351242065","0.42750996351242065","0.41065987944602966","0.41065987944602966","0.41065987944602966","0.5618395805358887","0.5618395805358887","0.5618395805358887","0.5625131726264954","0.5625131726264954","0.5625131726264954","0.5618106126785278","0.5618106126785278","0.5618106126785278","0.41643330454826355","0.41643330454826355","0.41643330454826355","0.4267879128456116","0.4267879128456116","0.4267879128456116","0.42883485555648804","0.42883485555648804","0.42883485555648804","0.3960147202014923","0.3960147202014923","0.3960147202014923","0.39007866382598877","0.39007866382598877","0.39007866382598877","0.3808462917804718","0.3808462917804718","0.3808462917804718","0.5627415776252747","0.5627415776252747","0.5627415776252747","0.5625714063644409","0.5625714063644409","0.5625714063644409","0.5605311989784241","0.5605311989784241","0.5605311989784241","0.4425865411758423","0.4425865411758423","0.4425865411758423","0.4201521873474121","0.4201521873474121","0.4201521873474121","0.3650662302970886","0.3650662302970886","0.3650662302970886"
"2","0.44745033979415894","0.44745033979415894","0.44745033979415894","0.43437984585762024","0.43437984585762024","0.43437984585762024","0.43072575330734253","0.43072575330734253","0.43072575330734253","0.5625944137573242","0.5625944137573242","0.5625944137573242","0.5624419450759888","0.5624419450759888","0.5624419450759888","0.5624369978904724","0.5624369978904724","0.5624369978904724","0.43710702657699585","0.43710702657699585","0.43710702657699585","0.45234984159469604","0.45234984159469604","0.45234984159469604","0.43592962622642517","0.43592962622642517","0.43592962622642517","0.42272746562957764","0.42272746562957764","0.42272746562957764","0.4308749735355377","0.4308749735355377","0.4308749735355377","0.43285617232322693","0.43285617232322693","0.43285617232322693","0.5625249743461609","0.5625249743461609","0.5625249743461609","0.5624837279319763","0.5624837279319763","0.5624837279319763","0.5619871616363525","0.5619871616363525","0.5619871616363525","0.44765979051589966","0.44765979051589966","0.44765979051589966","0.4425610303878784","0.4425610303878784","0.4425610303878784","0.4009263217449188","0.4009263217449188","0.4009263217449188"
"3","0.447735995054245","0.447735995054245","0.447735995054245","0.4332553446292877","0.4332553446292877","0.4332553446292877","0.4495087265968323","0.4495087265968323","0.4495087265968323","0.562473475933075","0.562473475933075","0.562473475933075","0.5623968839645386","0.5623968839645386","0.5623968839645386","0.5625446438789368","0.5625446438789368","0.5625446438789368","0.43396371603012085","0.43396371603012085","0.43396371603012085","0.4710625112056732","0.4710625112056732","0.4710625112056732","0.4350658059120178","0.4350658059120178","0.4350658059120178","0.42580336332321167","0.42580336332321167","0.42580336332321167","0.4326382875442505","0.4326382875442505","0.4326382875442505","0.43055054545402527","0.43055054545402527","0.43055054545402527","0.5628243684768677","0.5628243684768677","0.5628243684768677","0.5628191232681274","0.5628191232681274","0.5628191232681274","0.5630672574043274","0.5630672574043274","0.5630672574043274","0.4469508230686188","0.4469508230686188","0.4469508230686188","0.4412735402584076","0.4412735402584076","0.4412735402584076","0.3755774199962616","0.3755774199962616","0.3755774199962616"
"4","0.4442562460899353","0.4442562460899353","0.4442562460899353","0.4355626404285431","0.4355626404285431","0.4355626404285431","0.44783687591552734","0.44783687591552734","0.44783687591552734","0.5624228119850159","0.5624228119850159","0.5624228119850159","0.5624054074287415","0.5624054074287415","0.5624054074287415","0.5626941919326782","0.5626941919326782","0.5626941919326782","0.4376426339149475","0.4376426339149475","0.4376426339149475","0.4556293487548828","0.4556293487548828","0.4556293487548828","0.4385901093482971","0.4385901093482971","0.4385901093482971","0.42555105686187744","0.42555105686187744","0.42555105686187744","0.43181300163269043","0.43181300163269043","0.43181300163269043","0.42693573236465454","0.42693573236465454","0.42693573236465454","0.562476634979248","0.562476634979248","0.562476634979248","0.5623977184295654","0.5623977184295654","0.5623977184295654","0.5623168349266052","0.5623168349266052","0.5623168349266052","0.4569934010505676","0.4569934010505676","0.4569934010505676","0.44542330503463745","0.44542330503463745","0.44542330503463745","0.37415599822998047","0.37415599822998047","0.37415599822998047"
"5","0.44886717200279236","0.44886717200279236","0.44886717200279236","0.43211445212364197","0.43211445212364197","0.43211445212364197","0.44033709168434143","0.44033709168434143","0.44033709168434143","0.5624459981918335","0.5624459981918335","0.5624459981918335","0.5624513030052185","0.5624513030052185","0.5624513030052185","0.5623897910118103","0.5623897910118103","0.5623897910118103","0.43726933002471924","0.43726933002471924","0.43726933002471924","0.4546455144882202","0.4546455144882202","0.4546455144882202","0.4553026854991913","0.4553026854991913","0.4553026854991913","0.42407315969467163","0.42407315969467163","0.42407315969467163","0.43769222497940063","0.43769222497940063","0.43769222497940063","0.4339969754219055","0.4339969754219055","0.4339969754219055","0.5623975992202759","0.5623975992202759","0.5623975992202759","0.5625859498977661","0.5625859498977661","0.5625859498977661","0.5623014569282532","0.5623014569282532","0.5623014569282532","0.4577905237674713","0.4577905237674713","0.4577905237674713","0.437397837638855","0.437397837638855","0.437397837638855","0.38162416219711304","0.38162416219711304","0.38162416219711304"
"6","0.442553848028183","0.442553848028183","0.442553848028183","0.4419541358947754","0.4419541358947754","0.4419541358947754","0.4354100525379181","0.4354100525379181","0.4354100525379181","0.5624544620513916","0.5624544620513916","0.5624544620513916","0.5623918771743774","0.5623918771743774","0.5623918771743774","0.5624260902404785","0.5624260902404785","0.5624260902404785","0.4476868510246277","0.4476868510246277","0.4476868510246277","0.4479709267616272","0.4479709267616272","0.4479709267616272","0.4413580596446991","0.4413580596446991","0.4413580596446991","0.42982715368270874","0.42982715368270874","0.42982715368270874","0.4474223554134369","0.4474223554134369","0.4474223554134369","0.43807896971702576","0.43807896971702576","0.43807896971702576","0.5625752806663513","0.5625752806663513","0.5625752806663513","0.562527596950531","0.562527596950531","0.562527596950531","0.5623740553855896","0.5623740553855896","0.5623740553855896","0.46120694279670715","0.46120694279670715","0.46120694279670715","0.4532753527164459","0.4532753527164459","0.4532753527164459","0.37791842222213745","0.37791842222213745","0.37791842222213745"
"7","0.48317205905914307","0.48317205905914307","0.48317205905914307","0.4426543414592743","0.4426543414592743","0.4426543414592743","0.4443032145500183","0.4443032145500183","0.4443032145500183","0.562443733215332","0.562443733215332","0.562443733215332","0.5624029636383057","0.5624029636383057","0.5624029636383057","0.5624093413352966","0.5624093413352966","0.5624093413352966","0.44598081707954407","0.44598081707954407","0.44598081707954407","0.4487040042877197","0.4487040042877197","0.4487040042877197","0.4442940056324005","0.4442940056324005","0.4442940056324005","0.44532087445259094","0.44532087445259094","0.44532087445259094","0.4378545582294464","0.4378545582294464","0.4378545582294464","0.44508054852485657","0.44508054852485657","0.44508054852485657","0.5623931884765625","0.5623931884765625","0.5623931884765625","0.5624010562896729","0.5624010562896729","0.5624010562896729","0.5622749924659729","0.5622749924659729","0.5622749924659729","0.4723484516143799","0.4723484516143799","0.4723484516143799","0.45275449752807617","0.45275449752807617","0.45275449752807617","0.3709384500980377","0.3709384500980377","0.3709384500980377"
"8","0.47601956129074097","0.47601956129074097","0.47601956129074097","0.45585572719573975","0.45585572719573975","0.45585572719573975","0.4509660303592682","0.4509660303592682","0.4509660303592682","0.5623968243598938","0.5623968243598938","0.5623968243598938","0.5624111890792847","0.5624111890792847","0.5624111890792847","0.5624497532844543","0.5624497532844543","0.5624497532844543","0.44672831892967224","0.44672831892967224","0.44672831892967224","0.44716545939445496","0.44716545939445496","0.44716545939445496","0.4470331072807312","0.4470331072807312","0.4470331072807312","0.4437350332736969","0.4437350332736969","0.4437350332736969","0.44070473313331604","0.44070473313331604","0.44070473313331604","0.44025468826293945","0.44025468826293945","0.44025468826293945","0.5624013543128967","0.5624013543128967","0.5624013543128967","0.5623965263366699","0.5623965263366699","0.5623965263366699","0.5623323321342468","0.5623323321342468","0.5623323321342468","0.47168534994125366","0.47168534994125366","0.47168534994125366","0.4483782947063446","0.4483782947063446","0.4483782947063446","0.370930939912796","0.370930939912796","0.370930939912796"
"9","0.4514700472354889","0.4514700472354889","0.4514700472354889","0.43785423040390015","0.43785423040390015","0.43785423040390015","0.4449124336242676","0.4449124336242676","0.4449124336242676","0.5624032020568848","0.5624032020568848","0.5624032020568848","0.5624162554740906","0.5624162554740906","0.5624162554740906","0.5624071359634399","0.5624071359634399","0.5624071359634399","0.43585261702537537","0.43585261702537537","0.43585261702537537","0.4623243808746338","0.4623243808746338","0.4623243808746338","0.4534028172492981","0.4534028172492981","0.4534028172492981","0.433329313993454","0.433329313993454","0.433329313993454","0.43757158517837524","0.43757158517837524","0.43757158517837524","0.4446090757846832","0.4446090757846832","0.4446090757846832","0.5627250075340271","0.5627250075340271","0.5627250075340271","0.5625025629997253","0.5625025629997253","0.5625025629997253","0.5623266696929932","0.5623266696929932","0.5623266696929932","0.46847620606422424","0.46847620606422424","0.46847620606422424","0.4506808817386627","0.4506808817386627","0.4506808817386627","0.4150068759918213","0.4150068759918213","0.4150068759918213"
