"Step","DLP-LinEmb_expression_1 - val loss","DLP-LinEmb_expression_1 - val loss__MIN","DLP-LinEmb_expression_1 - val loss__MAX","DLP-LinEmb_expression_999 - val loss","DLP-LinEmb_expression_999 - val loss__MIN","DLP-LinEmb_expression_999 - val loss__MAX","DLP-LinEmb_expression_42 - val loss","DLP-LinEmb_expression_42 - val loss__MIN","DLP-LinEmb_expression_42 - val loss__MAX","DLP-Lin_expression_1 - val loss","DLP-Lin_expression_1 - val loss__MIN","DLP-Lin_expression_1 - val loss__MAX","DLP-Lin_expression_999 - val loss","DLP-Lin_expression_999 - val loss__MIN","DLP-Lin_expression_999 - val loss__MAX","DLP-Lin_expression_42 - val loss","DLP-Lin_expression_42 - val loss__MIN","DLP-Lin_expression_42 - val loss__MAX","DLP_expression_1 - val loss","DLP_expression_1 - val loss__MIN","DLP_expression_1 - val loss__MAX","DLP_expression_999 - val loss","DLP_expression_999 - val loss__MIN","DLP_expression_999 - val loss__MAX","DLP_expression_42 - val loss","DLP_expression_42 - val loss__MIN","DLP_expression_42 - val loss__MAX","DLP-LinEmb_cnv_soft_1 - val loss","DLP-LinEmb_cnv_soft_1 - val loss__MIN","DLP-LinEmb_cnv_soft_1 - val loss__MAX","DLP-LinEmb_cnv_soft_999 - val loss","DLP-LinEmb_cnv_soft_999 - val loss__MIN","DLP-LinEmb_cnv_soft_999 - val loss__MAX","DLP-LinEmb_cnv_soft_42 - val loss","DLP-LinEmb_cnv_soft_42 - val loss__MIN","DLP-LinEmb_cnv_soft_42 - val loss__MAX","DLP-Lin_cnv_soft_1 - val loss","DLP-Lin_cnv_soft_1 - val loss__MIN","DLP-Lin_cnv_soft_1 - val loss__MAX","DLP-Lin_cnv_soft_999 - val loss","DLP-Lin_cnv_soft_999 - val loss__MIN","DLP-Lin_cnv_soft_999 - val loss__MAX","DLP-Lin_cnv_soft_42 - val loss","DLP-Lin_cnv_soft_42 - val loss__MIN","DLP-Lin_cnv_soft_42 - val loss__MAX","DLP_cnv_soft_1 - val loss","DLP_cnv_soft_1 - val loss__MIN","DLP_cnv_soft_1 - val loss__MAX","DLP_cnv_soft_999 - val loss","DLP_cnv_soft_999 - val loss__MIN","DLP_cnv_soft_999 - val loss__MAX","DLP_cnv_soft_42 - val loss","DLP_cnv_soft_42 - val loss__MIN","DLP_cnv_soft_42 - val loss__MAX"
"0","0.4649873673915863","0.4649873673915863","0.4649873673915863","0.4056824743747711","0.4056824743747711","0.4056824743747711","0.4922104477882385","0.4922104477882385","0.4922104477882385","0.599776566028595","0.599776566028595","0.599776566028595","0.586277961730957","0.586277961730957","0.586277961730957","0.6420202851295471","0.6420202851295471","0.6420202851295471","0.4475429952144623","0.4475429952144623","0.4475429952144623","0.44118762016296387","0.44118762016296387","0.44118762016296387","0.42485740780830383","0.42485740780830383","0.42485740780830383","0.3737123906612396","0.3737123906612396","0.3737123906612396","0.3885078430175781","0.3885078430175781","0.3885078430175781","0.3937527537345886","0.3937527537345886","0.3937527537345886","0.6080870032310486","0.6080870032310486","0.6080870032310486","0.5952412486076355","0.5952412486076355","0.5952412486076355","0.6090617179870605","0.6090617179870605","0.6090617179870605","0.43817102909088135","0.43817102909088135","0.43817102909088135","0.449294775724411","0.449294775724411","0.449294775724411","0.4301145672798157","0.4301145672798157","0.4301145672798157"
"1","0.47753453254699707","0.47753453254699707","0.47753453254699707","0.3347199261188507","0.3347199261188507","0.3347199261188507","0.5609725713729858","0.5609725713729858","0.5609725713729858","0.6562986969947815","0.6562986969947815","0.6562986969947815","0.7062742114067078","0.7062742114067078","0.7062742114067078","0.5858865976333618","0.5858865976333618","0.5858865976333618","0.2760828733444214","0.2760828733444214","0.2760828733444214","0.2747631072998047","0.2747631072998047","0.2747631072998047","0.2648022174835205","0.2648022174835205","0.2648022174835205","0.6953244805335999","0.6953244805335999","0.6953244805335999","0.4832034111022949","0.4832034111022949","0.4832034111022949","0.6565113663673401","0.6565113663673401","0.6565113663673401","0.675041675567627","0.675041675567627","0.675041675567627","0.6047347784042358","0.6047347784042358","0.6047347784042358","0.6673122048377991","0.6673122048377991","0.6673122048377991","0.28346267342567444","0.28346267342567444","0.28346267342567444","0.29290518164634705","0.29290518164634705","0.29290518164634705","0.28689301013946533","0.28689301013946533","0.28689301013946533"
"2","0.7092519998550415","0.7092519998550415","0.7092519998550415","1.0021480321884155","1.0021480321884155","1.0021480321884155","0.8107031583786011","0.8107031583786011","0.8107031583786011","0.5924628376960754","0.5924628376960754","0.5924628376960754","0.6513875126838684","0.6513875126838684","0.6513875126838684","0.6838878393173218","0.6838878393173218","0.6838878393173218","0.24310946464538574","0.24310946464538574","0.24310946464538574","0.23425501585006714","0.23425501585006714","0.23425501585006714","0.270011305809021","0.270011305809021","0.270011305809021","0.552718460559845","0.552718460559845","0.552718460559845","0.6905691623687744","0.6905691623687744","0.6905691623687744","2.4276514053344727","2.4276514053344727","2.4276514053344727","0.6140734553337097","0.6140734553337097","0.6140734553337097","0.6193431615829468","0.6193431615829468","0.6193431615829468","0.612643301486969","0.612643301486969","0.612643301486969","0.24427475035190582","0.24427475035190582","0.24427475035190582","0.2623371183872223","0.2623371183872223","0.2623371183872223","0.252632737159729","0.252632737159729","0.252632737159729"
"3","0.5981971621513367","0.5981971621513367","0.5981971621513367","0.6341442465782166","0.6341442465782166","0.6341442465782166","0.5980340838432312","0.5980340838432312","0.5980340838432312","0.5903283953666687","0.5903283953666687","0.5903283953666687","0.6880558729171753","0.6880558729171753","0.6880558729171753","0.6090772151947021","0.6090772151947021","0.6090772151947021","0.2562102973461151","0.2562102973461151","0.2562102973461151","0.2561383843421936","0.2561383843421936","0.2561383843421936","0.23540525138378143","0.23540525138378143","0.23540525138378143","0.486055463552475","0.486055463552475","0.486055463552475","0.5688105821609497","0.5688105821609497","0.5688105821609497","0.6859913468360901","0.6859913468360901","0.6859913468360901","0.6043393015861511","0.6043393015861511","0.6043393015861511","0.5772640705108643","0.5772640705108643","0.5772640705108643","0.5793499946594238","0.5793499946594238","0.5793499946594238","0.27658969163894653","0.27658969163894653","0.27658969163894653","0.2765345275402069","0.2765345275402069","0.2765345275402069","0.29630836844444275","0.29630836844444275","0.29630836844444275"
"4","0.5500516295433044","0.5500516295433044","0.5500516295433044","0.45256590843200684","0.45256590843200684","0.45256590843200684","0.6028178334236145","0.6028178334236145","0.6028178334236145","0.5973712801933289","0.5973712801933289","0.5973712801933289","0.6648913621902466","0.6648913621902466","0.6648913621902466","0.6746684312820435","0.6746684312820435","0.6746684312820435","0.2636321187019348","0.2636321187019348","0.2636321187019348","0.31210726499557495","0.31210726499557495","0.31210726499557495","0.29820501804351807","0.29820501804351807","0.29820501804351807","0.6487094759941101","0.6487094759941101","0.6487094759941101","0.7616021037101746","0.7616021037101746","0.7616021037101746","0.7054895162582397","0.7054895162582397","0.7054895162582397","0.5923157930374146","0.5923157930374146","0.5923157930374146","0.5784521698951721","0.5784521698951721","0.5784521698951721","0.5849347710609436","0.5849347710609436","0.5849347710609436","0.3694537281990051","0.3694537281990051","0.3694537281990051","0.2639809846878052","0.2639809846878052","0.2639809846878052","0.37020063400268555","0.37020063400268555","0.37020063400268555"
"5","0.5410263538360596","0.5410263538360596","0.5410263538360596","0.6290889382362366","0.6290889382362366","0.6290889382362366","0.598556399345398","0.598556399345398","0.598556399345398","0.6459364295005798","0.6459364295005798","0.6459364295005798","0.7638922333717346","0.7638922333717346","0.7638922333717346","0.605099618434906","0.605099618434906","0.605099618434906","0.2888588309288025","0.2888588309288025","0.2888588309288025","0.2844699025154114","0.2844699025154114","0.2844699025154114","0.2976548373699188","0.2976548373699188","0.2976548373699188","0.5273740291595459","0.5273740291595459","0.5273740291595459","0.5572413206100464","0.5572413206100464","0.5572413206100464","0.69582599401474","0.69582599401474","0.69582599401474","0.6130550503730774","0.6130550503730774","0.6130550503730774","0.6137312650680542","0.6137312650680542","0.6137312650680542","0.5934168100357056","0.5934168100357056","0.5934168100357056","0.3244870603084564","0.3244870603084564","0.3244870603084564","0.31176337599754333","0.31176337599754333","0.31176337599754333","0.26235252618789673","0.26235252618789673","0.26235252618789673"
"6","0.609325647354126","0.609325647354126","0.609325647354126","0.6289324164390564","0.6289324164390564","0.6289324164390564","0.5836598873138428","0.5836598873138428","0.5836598873138428","0.6101536154747009","0.6101536154747009","0.6101536154747009","1.0051937103271484","1.0051937103271484","1.0051937103271484","0.6029909253120422","0.6029909253120422","0.6029909253120422","0.24365630745887756","0.24365630745887756","0.24365630745887756","0.31335189938545227","0.31335189938545227","0.31335189938545227","0.27722957730293274","0.27722957730293274","0.27722957730293274","0.59518963098526","0.59518963098526","0.59518963098526","0.5984665751457214","0.5984665751457214","0.5984665751457214","0.7783299684524536","0.7783299684524536","0.7783299684524536","0.7744136452674866","0.7744136452674866","0.7744136452674866","0.5883016586303711","0.5883016586303711","0.5883016586303711","0.6135757565498352","0.6135757565498352","0.6135757565498352","0.32660192251205444","0.32660192251205444","0.32660192251205444","0.2790737748146057","0.2790737748146057","0.2790737748146057","0.3226817846298218","0.3226817846298218","0.3226817846298218"
"7","0.5934084057807922","0.5934084057807922","0.5934084057807922","0.47346845269203186","0.47346845269203186","0.47346845269203186","0.5986557006835938","0.5986557006835938","0.5986557006835938","0.6111302971839905","0.6111302971839905","0.6111302971839905","1.448655366897583","1.448655366897583","1.448655366897583","0.6173940896987915","0.6173940896987915","0.6173940896987915","0.38250601291656494","0.38250601291656494","0.38250601291656494","0.3686181902885437","0.3686181902885437","0.3686181902885437","0.495513379573822","0.495513379573822","0.495513379573822","0.5919772386550903","0.5919772386550903","0.5919772386550903","0.647819995880127","0.647819995880127","0.647819995880127","0.7989643812179565","0.7989643812179565","0.7989643812179565","0.6740692853927612","0.6740692853927612","0.6740692853927612","0.5947796702384949","0.5947796702384949","0.5947796702384949","0.5909594297409058","0.5909594297409058","0.5909594297409058","0.2683047652244568","0.2683047652244568","0.2683047652244568","0.3181367516517639","0.3181367516517639","0.3181367516517639","0.3639158010482788","0.3639158010482788","0.3639158010482788"
"8","0.5954580903053284","0.5954580903053284","0.5954580903053284","0.690628170967102","0.690628170967102","0.690628170967102","0.5814827084541321","0.5814827084541321","0.5814827084541321","0.6214238405227661","0.6214238405227661","0.6214238405227661","4.45970344543457","4.45970344543457","4.45970344543457","0.6268270611763","0.6268270611763","0.6268270611763","0.2976667284965515","0.2976667284965515","0.2976667284965515","0.3368774354457855","0.3368774354457855","0.3368774354457855","0.3699684739112854","0.3699684739112854","0.3699684739112854","0.7817379236221313","0.7817379236221313","0.7817379236221313","0.8790919184684753","0.8790919184684753","0.8790919184684753","0.6694546937942505","0.6694546937942505","0.6694546937942505","0.601124107837677","0.601124107837677","0.601124107837677","0.5901013016700745","0.5901013016700745","0.5901013016700745","0.595087468624115","0.595087468624115","0.595087468624115","0.402481347322464","0.402481347322464","0.402481347322464","0.412418395280838","0.412418395280838","0.412418395280838","0.39895936846733093","0.39895936846733093","0.39895936846733093"
"9","0.5956488847732544","0.5956488847732544","0.5956488847732544","0.7162989377975464","0.7162989377975464","0.7162989377975464","0.5811780095100403","0.5811780095100403","0.5811780095100403","0.7527065277099609","0.7527065277099609","0.7527065277099609","1.5645390748977661","1.5645390748977661","1.5645390748977661","0.6169726252555847","0.6169726252555847","0.6169726252555847","0.35970622301101685","0.35970622301101685","0.35970622301101685","0.5088334679603577","0.5088334679603577","0.5088334679603577","0.47877228260040283","0.47877228260040283","0.47877228260040283","0.7287638187408447","0.7287638187408447","0.7287638187408447","0.5897541046142578","0.5897541046142578","0.5897541046142578","0.7594367265701294","0.7594367265701294","0.7594367265701294","0.6160404086112976","0.6160404086112976","0.6160404086112976","0.5871456861495972","0.5871456861495972","0.5871456861495972","0.6042544841766357","0.6042544841766357","0.6042544841766357","0.3953777253627777","0.3953777253627777","0.3953777253627777","0.7339518666267395","0.7339518666267395","0.7339518666267395","0.49167460203170776","0.49167460203170776","0.49167460203170776"
